,Industry,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
438,Consumer Services,FWR Holding Corporation (17),,First lien senior secured loan ($0.8 par due 8/2023),7.29% (Libor + 5.50%/M),,2/28/2019,,0.8,0.8
439,Consumer Services,FWR Holding Corporation (17),,First lien senior secured loan ($0.5 par due 8/2023),7.29% (Libor + 5.50%/M),,2/28/2019,,0.5,0.5
440,Consumer Services,FWR Holding Corporation (17),,First lien senior secured loan ($0.7 par due 8/2023),7.29% (Libor + 5.50%/M),,2/28/2019,,0.7,0.7
441,Consumer Services,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (17),Restaurant owner and operator,First lien senior secured revolving loan ($1.8 par due 2/2022),9.88% (Libor + 8.00%/Q),,2/1/2017,,1.8,1.8
442,Consumer Services,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (17),,First lien senior secured loan ($18.4 par due 2/2022),9.91% (Libor + 8.00%/M),,2/1/2017,,18.4,18.4
443,Consumer Services,"Jenny C Acquisition, Inc.",Health club franchisor,Senior subordinated loan ($1.2 par due 4/2025),8.00% PIK,,4/5/2019,,1.2,1.2
444,Consumer Services,"Jim N Nicks Management, LLC (17)",Restaurant owner and operator,First lien senior secured revolving loan ($2.8 par due 7/2023),7.20% (Libor + 5.25%/Q),,7/10/2017,,2.8,2.7
445,Consumer Services,"Jim N Nicks Management, LLC (17)",,First lien senior secured loan ($13.8 par due 7/2023),7.20% (Libor + 5.25%/Q),,7/10/2017,,13.8,13.4
446,Consumer Services,"Jim N Nicks Management, LLC (17)",,First lien senior secured loan ($1.2 par due 7/2023),7.20% (Libor + 5.25%/Q),,7/10/2017,,1.2,1.1
447,Consumer Services,"Massage Envy, LLC and ME Equity LLC",Franchisor in the massage industry,"Common stock (3,000,000 shares)",,,9/27/2012,,3.0,5.8
448,Consumer Services,Movati Athletic (Group) Inc. (17),Premier health club operator,First lien senior secured loan ($2.9 par due 10/2022),6.47% (CIBOR + 4.50%/Q),,10/5/2017,,3.0,2.9
449,Consumer Services,Movati Athletic (Group) Inc. (17),,First lien senior secured loan ($1.1 par due 10/2022),6.49% (CIBOR + 4.50%/Q),,10/5/2017,,1.2,1.1
450,Consumer Services,"OTG Management, LLC (17)",Airport restaurant operator,First lien senior secured revolving loan ($10.0 par due 8/2021),9.01% (Libor + 7.00%/Q),,8/26/2016,,10.0,10.0
451,Consumer Services,"OTG Management, LLC (17)",,First lien senior secured loan ($23.6 par due 8/2021),8.90% (Libor + 7.00%/Q),,8/26/2016,,23.6,23.6
452,Consumer Services,"OTG Management, LLC (17)",,First lien senior secured loan ($97.8 par due 8/2021),9.00% (Libor + 7.00%/Q),,8/26/2016,,97.8,97.8
453,Consumer Services,"OTG Management, LLC (17)",,First lien senior secured loan ($6.4 par due 8/2021),8.91% (Libor + 7.00%/Q),,10/10/2018,,6.4,6.4
454,Consumer Services,"OTG Management, LLC (17)",,Senior subordinated loan ($33.9 par due 2/2022),13.00% PIK,,8/26/2016,,33.8,33.9
455,Consumer Services,"OTG Management, LLC (17)",,"Class A preferred units (3,000,000 units)",14.50% PIK,,8/26/2016,,36.5,46.3
456,Consumer Services,"OTG Management, LLC (17)",,"Common units (3,000,000 units)",,,1/5/2011,,3.0,9.9
457,Consumer Services,"OTG Management, LLC (17)",,Warrant to purchase up to 7.73% of common units,,,6/19/2008,,0.1,21.8
458,Consumer Services,"Portillo's Holdings, LLC",Fast casual restaurant brand,Second lien senior secured loan ($34.0 par due 12/2024),11.44% (Libor + 9.50%/Q),,11/27/2019,,32.9,33.3
459,Consumer Services,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",Hotel operator,First lien senior secured revolving loan ($2.6 par due 7/2023),7.55% (Libor + 5.75%/Q),,4/12/2018,,2.6,2.6
460,Consumer Services,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",,First lien senior secured loan ($16.9 par due 7/2023),7.55% (Libor + 5.75%/M),,4/12/2018,,16.9,16.9
461,Consumer Services,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",,First lien senior secured loan ($1.5 par due 7/2023),7.55% (Libor + 5.75%/M),,4/12/2018,,1.5,1.5
462,Consumer Services,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",,"Preferred membership units (996,833 units)",,,7/15/2016,,1.0,1.3
463,Consumer Services,"Spectra Finance, LLC (17)",Venue management and food and beverage provider,First lien senior secured revolving loan ($4.7 par due 4/2023),5.75% (Libor + 4.00%/Q),,4/2/2018,,4.7,4.7
464,Consumer Services,"Spectra Finance, LLC (17)",,First lien senior secured loan ($3.4 par due 4/2024),6.20% (Libor + 4.25%/Q),,4/2/2018,,3.4,3.4
465,Consumer Services,Spin HoldCo Inc.,Laundry service and equipment provider,Second lien senior secured loan ($154.2 par due 5/2023),9.41% (Libor + 7.50%/Q),,5/14/2013,,154.2,154.2
466,Consumer Services,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (17)",Planet Fitness franchisee,First lien senior secured revolving loan ($0.7 par due 7/2024),6.12% (Libor + 4.25%/Q),,7/31/2018,,0.7,0.7
467,Consumer Services,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (17)",,"Class A units (35,374 units)",,,7/31/2018,,3.6,5.1
468,Consumer Services,"The Alaska Club Partners, LLC, Athletic Club Partners LLC and The Alaska Club, Inc. (17)",Premier health club operator,First lien senior secured loan ($15.5 par due 12/2024),10.25% (Base Rate + 5.50%/Q),,12/16/2019,,15.5,15.3
469,Consumer Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,First lien senior secured loan ($107.2 par due 5/2022),6.44% (Libor + 4.75%/M),,8/1/2019,,107.2,106.7
470,Consumer Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,,Second lien senior secured loan ($21.3 par due 5/2023),8.80% (Libor + 7.00%/M),,5/14/2015,,21.1,20.6
471,Consumer Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,,Second lien senior secured loan ($3.7 par due 5/2023),8.80% (Libor + 7.00%/M),,5/14/2015,,3.7,3.6
472,Consumer Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,,,,,,,964.4,954.3
473,Consumer Durables & Apparel,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,Second lien senior secured loan ($56.8 par due 3/2024),11.55% (Libor + 9.75%/M),,9/6/2016,,56.7,54.5
474,Consumer Durables & Apparel,"CB Trestles OpCo, LLC (17)",Apparel retailer,First lien senior secured revolving loan ($2.1 par due 10/2024),7.55% (Libor + 5.75%/M),,10/26/2018,,2.1,2.0
475,Consumer Durables & Apparel,"CB Trestles OpCo, LLC (17)",,First lien senior secured loan ($26.3 par due 10/2024),7.68% (Libor + 5.75%/Q),,10/26/2018,,26.3,25.2
476,Consumer Durables & Apparel,Centric Brands Inc. (fka Differential Brands Group Inc.),"Designer, marketer and distributor of licensed and owned apparel",First lien senior secured loan ($57.8 par due 10/2023),7.93% (Libor + 6.00%/Q),,10/29/2018,,57.8,56.6
477,Consumer Durables & Apparel,Centric Brands Inc. (fka Differential Brands Group Inc.),,"Common stock (3,077,875 shares)",,,10/29/2018,,24.6,16.0
478,Consumer Durables & Apparel,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (17)",Footwear and orthopedic foot-care brand,First lien senior secured revolving loan ($0.3 par due 11/2025),7.56% (Libor + 5.75%/M),,11/1/2019,,0.3,0.3
479,Consumer Durables & Apparel,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (17)",,First lien senior secured loan ($30.4 par due 11/2025),7.55% (Libor + 5.75%/M),,11/1/2019,,30.4,30.1
480,Consumer Durables & Apparel,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (17)",,"Common stock (8,549 shares)",,,11/1/2019,,8.5,8.5
481,Consumer Durables & Apparel,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (421 units),,,4/24/2014,,4.2,0.0
482,Consumer Durables & Apparel,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($102.6 par due 4/2024),8.20% (Libor + 6.25%/Q),,6/1/2017,,102.6,99.6
483,Consumer Durables & Apparel,"Implus Footcare, LLC",,First lien senior secured loan ($14.0 par due 4/2024),8.20% (Libor + 6.25%/Q),,6/1/2017,,14.0,13.6
484,Consumer Durables & Apparel,"Implus Footcare, LLC",,First lien senior secured loan ($1.3 par due 4/2024),8.20% (Libor + 6.25%/Q),,6/30/2016,,1.3,1.2
485,Consumer Durables & Apparel,"Implus Footcare, LLC",,First lien senior secured loan ($5.0 par due 4/2024),8.20% (Libor + 6.25%/Q),,7/17/2018,,5.0,4.8
486,Consumer Durables & Apparel,"Pelican Products, Inc.",Flashlights manufacturer,Second lien senior secured loan ($27.3 par due 5/2026),9.49% (Libor + 7.75%/M),,5/4/2018,,27.1,27.1
487,Consumer Durables & Apparel,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Class B common units (126,278,000 units)",,,10/30/2014,,0.0,0.2
488,Consumer Durables & Apparel,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",,"Common units (1,116,879 units)",,,4/1/2011,,0.0,0.0
489,Consumer Durables & Apparel,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",,"Warrant to purchase up to 3,157,895 units",,,4/1/2010,,0.0,0.0
490,Consumer Durables & Apparel,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,Second lien senior secured loan ($100.0 par due 4/2023),10.43% (Libor + 8.50%/Q),,10/27/2015,,98.9,85.0
491,Consumer Durables & Apparel,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured revolving loan ($1.9 par due 5/2024),7.89% (Base Rate + 3.50%/M),,5/21/2019,,1.9,1.9
492,Consumer Durables & Apparel,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)",,First lien senior secured loan ($19.6 par due 5/2024),6.71% (Libor + 4.75%/Q),,5/21/2019,,19.5,19.6
493,Consumer Durables & Apparel,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)",,"Preferred units (14,591 units)",13.00% PIK,,5/14/2019,,1.6,1.6
494,Consumer Durables & Apparel,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)",,"Class A preferred units (50,000 units)",,,3/14/2014,,5.0,0.6
495,Consumer Durables & Apparel,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)",,"Class C preferred units (50,000 units)",,,4/22/2015,,5.0,0.6
496,Consumer Durables & Apparel,"Simpson Performance Products, Inc.",Provider of motorsports safety equipment,First lien senior secured loan ($28.3 par due 2/2023),8.20% (Libor + 6.26%/Q),,2/20/2015,,28.3,28.3
497,Consumer Durables & Apparel,"Singer Sewing Company, SVP-Singer Holdings, LLC and SVP-Singer Holdings LP (5)(17)",Manufacturer of consumer sewing machines,First lien senior secured revolving loan ($71.9 par due 3/2023),11.10% (Libor + 9.00%/Q),,7/26/2017,,71.9,71.9
498,Consumer Durables & Apparel,"Singer Sewing Company, SVP-Singer Holdings, LLC and SVP-Singer Holdings LP (5)(17)",,First lien senior secured loan ($193.3 par due 3/2023),5.00% (Libor + 3.09%/Q),,7/26/2017,,174.6,158.3
499,Consumer Durables & Apparel,"Singer Sewing Company, SVP-Singer Holdings, LLC and SVP-Singer Holdings LP (5)(17)",,"Class A common units (6,500,000 units)",,,7/26/2017,,0.0,0.0
500,Consumer Durables & Apparel,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($2.2 par due 12/2024),7.79% (Libor + 6.00%/Q),,12/23/2019,,2.2,2.2
501,Consumer Durables & Apparel,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)",,First lien senior secured loan ($1.6 par due 6/2024),5.79% (Libor + 4.00%/M),,12/23/2019,,1.6,1.6
502,Consumer Durables & Apparel,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)",,"Common stock (861,000 shares)",,,12/23/2019,,6.0,6.0
503,Consumer Durables & Apparel,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($21.1 par due 12/2025),10.05% (Libor + 8.25%/M),,7/30/2018,,21.1,21.1
504,Consumer Durables & Apparel,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP",,Second lien senior secured loan ($122.7 par due 12/2025),10.05% (Libor + 8.25%/M),,12/15/2017,,122.7,122.7
505,Consumer Durables & Apparel,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP",,"Class A units (1,400 units)",,,7/30/2018,,1.4,1.2
506,Consumer Durables & Apparel,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP",,,,,,,922.6,862.3
507,Diversified Financials,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,Senior subordinated loan ($23.8 par due 8/2022),11.44% (Libor + 9.75%/M),,5/10/2012,,23.8,23.8
508,Diversified Financials,DFC Global Facility Borrower III LLC (17),Non-bank provider of alternative financial services,First lien senior secured revolving loan ($120.8 par due 9/2024),12.44% (Libor + 10.75%/M),,8/9/2019,,120.8,120.2
509,Diversified Financials,"Financial Asset Management Systems, Inc. and FAMS Holdings, Inc. (4)",Debt collection services provider,Common stock (180 shares),,,1/11/2017,,0.0,0.0
510,Diversified Financials,"Green Street Parent, LLC and Green Street Intermediate Holdings, LLC (17)",Provider of REIT research data and analytics,First lien senior secured loan ($3.5 par due 8/2026),7.05% (Libor + 5.25%/M),,8/27/2019,,3.5,3.5
511,Diversified Financials,"Ivy Hill Asset Management, L.P. (5)",Asset management services,Member interest (100.00% interest),,,6/15/2009,,444.0,520.7
512,Diversified Financials,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC",Asset-backed financial services company,First lien senior secured loan ($16.0 par due 6/2017),,,6/24/2014,,13.4,3.4
513,Diversified Financials,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (5)(17),Specialty finance company,First lien senior secured loan ($0.6 par due 12/2022),5.95% (Libor + 4.00%/Q),,12/27/2018,,0.6,0.6
514,Diversified Financials,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (5)(17),,Equity interests,,,11/29/2010,,12.7,2.9
515,Diversified Financials,LS DE LLC and LM LSQ Investors LLC,Asset based lender,Senior subordinated loan ($37.0 par due 3/2024),10.5%,,6/25/2015,,37.0,37.0
516,Diversified Financials,LS DE LLC and LM LSQ Investors LLC,,Senior subordinated loan ($3.0 par due 6/2021),10.5,%,,6/15/2017,3.0,3.0
517,Diversified Financials,LS DE LLC and LM LSQ Investors LLC,,"Membership units (3,275,000 units)",,,6/25/2015,,3.3,4.9
518,Diversified Financials,"Rialto Management Group, LLC (17)",Investment and asset management platform focused on real estate,First lien senior secured revolving loan,0,,11/30/2018,,0.0,0.0
519,Diversified Financials,"Rialto Management Group, LLC (17)",,First lien senior secured loan ($0.9 par due 12/2024),6.30% (Libor + 4.50%/M),,11/30/2018,,0.9,0.9
520,Diversified Financials,"TA/WEG Holdings, LLC (17)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.2 par due 10/2025),7.77% (Libor + 6.00%/M),,10/2/2019,,0.2,0.2
521,Diversified Financials,"TA/WEG Holdings, LLC (17)",,First lien senior secured loan ($9.5 par due 10/2025),7.69% (Libor + 6.00%/M),,10/2/2019,,9.5,9.4
522,Diversified Financials,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",Provider of asset-servicing capabilities for fund managers,First lien senior secured revolving loan ($1.9 par due 2/2024),8.25% (Base Rate + 3.50%/Q),,2/1/2019,,1.9,1.8
523,Diversified Financials,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",,First lien senior secured loan ($38.6 par due 2/2026),6.30% (Libor + 4.50%/M),,2/1/2019,,38.6,37.8
524,Diversified Financials,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",,"Class A units (1,443 units)",8.00% PIK,,2/1/2019,,1.5,1.5
525,Diversified Financials,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",,Class A units (245 units),,,2/1/2019,,0.2,0.0
526,Diversified Financials,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",,"Class B units (2,167,424 units)",,,2/1/2019,,0.0,0.0
527,Diversified Financials,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",,"Class B units (245,194 units)",,,2/1/2019,,0.0,0.0
528,Diversified Financials,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",,,,,,,714.9,771.6
529,Automobiles & Components,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,Second lien senior secured loan ($45.0 par due 10/2022),9.80% (Libor + 8.00%/M),,4/7/2015,,45.0,45.0
530,Automobiles & Components,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",,"Class A common stock (10,000 shares)",,,4/7/2015,,0.1,0.7
531,Automobiles & Components,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",,"Class B common stock (20,000 shares)",,,4/7/2015,,0.2,1.4
532,Automobiles & Components,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(17)",Restoration parts and accessories provider for classic automobiles,First lien senior secured revolving loan ($5.2 par due 5/2022),12.00% PIK,,7/12/2012,,5.2,4.4
533,Automobiles & Components,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(17)",,First lien senior secured loan ($20.6 par due 5/2022),12.00% PIK,,7/12/2012,,20.6,17.5
534,Automobiles & Components,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(17)",,"Class A common units (67,972 units)",,,7/12/2012,,16.4,0.0
535,Automobiles & Components,"GB Auto Service Holdings, LLC (17)",Automotive parts and repair services retailer,First lien senior secured revolving loan ($3.0 par due 10/2024),8.22% (Libor + 6.50%/M),,10/19/2018,,3.0,3.0
536,Automobiles & Components,"GB Auto Service Holdings, LLC (17)",,First lien senior secured loan ($22.2 par due 10/2024),8.30% (Libor + 6.50%/M),,10/19/2018,,22.2,21.9
537,Automobiles & Components,"GB Auto Service Holdings, LLC (17)",,First lien senior secured loan ($27.2 par due 10/2024),8.30% (Libor + 6.50%/M),,10/19/2018,,27.2,26.9
538,Automobiles & Components,"GB Auto Service Holdings, LLC (17)",,"Common units (4,084,227 units)",,,10/19/2018,,5.2,5.5
539,Automobiles & Components,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (17)",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured revolving loan ($0.0 par due 12/2023),4.78% (Libor + 2.50%/Q),,12/21/2018,,0.0,0.0
540,Automobiles & Components,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (17)",,First lien senior secured loan ($154.5 par due 12/2025),6.80% (Libor + 5.00%/M),,12/21/2018,,153.9,153.0
541,Automobiles & Components,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (17)",,First lien senior secured loan ($11.6 par due 12/2025),6.80% (Libor + 5.00%/M),,12/21/2018,,11.6,11.5
542,Automobiles & Components,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (17)",,"Preferred units (59,453 units)","4.50% Cash, 9.25% PIK",,10/9/2015,,69.6,69.6
543,Automobiles & Components,"Mavis Tire Express Services Corp. and Mavis Tire Express Services TopCo, L.P. (17)",Auto parts retailer,Second lien senior secured loan ($153.9 par due 3/2026),9.29% (Libor + 7.50%/M),,3/20/2018,,152.0,152.4
544,Automobiles & Components,"Mavis Tire Express Services Corp. and Mavis Tire Express Services TopCo, L.P. (17)",,Second lien senior secured loan ($1.4 par due 3/2026),9.29% (Libor + 7.50%/M),,3/20/2018,,1.4,1.4
545,Automobiles & Components,"Mavis Tire Express Services Corp. and Mavis Tire Express Services TopCo, L.P. (17)",,"Class A units (12,400,000 units)",,,3/20/2018,,12.4,11.8
546,Automobiles & Components,"SK SPV IV, LLC",Collision repair site operator,"Series A common stock (12,500 units)",,,8/18/2014,,0.6,1.5
547,Automobiles & Components,"SK SPV IV, LLC",,"Series B common stock (12,500 units)",,,8/18/2014,,0.6,1.5
548,Automobiles & Components,"Wand Newco 3, Inc. (dba Caliber Collision)",Collision repair company,Second lien senior secured loan ($180.2 par due 2/2027),8.96% (Libor + 7.25%/M),,2/5/2019,,177.4,180.2
549,Automobiles & Components,"Wand Newco 3, Inc. (dba Caliber Collision)",,,,,,,724.6,709.2
550,Capital Goods,"AEP Holdings, Inc. and Arrowhead Holdco Company","Distributor of non-discretionary, mission-critical aftermarket replacement parts",First lien senior secured loan ($26.6 par due 8/2021),7.91% (Libor + 6.00%/Q),,6/28/2018,,27.2,25.3
551,Capital Goods,"AEP Holdings, Inc. and Arrowhead Holdco Company",,"Common stock (3,467 shares)",,,8/31/2015,,3.5,2.4
552,Capital Goods,"Cadence Aerospace, LLC (17)",Aerospace precision components manufacturer,First lien senior secured revolving loan ($5.0 par due 11/2022),9.90% (Base Rate + 5.50%/Q),,11/14/2017,,5.0,4.9
553,Capital Goods,"Cadence Aerospace, LLC (17)",,First lien senior secured loan ($31.9 par due 11/2023),8.43% (Libor + 6.50%/Q),,11/14/2017,,31.6,31.9
554,Capital Goods,"Cadence Aerospace, LLC (17)",,First lien senior secured loan ($12.1 par due 11/2023),8.43% (Libor + 6.50%/Q),,10/31/2019,,12.1,12.1
555,Capital Goods,"Cadence Aerospace, LLC (17)",,First lien senior secured loan ($9.9 par due 11/2023),8.43% (Libor + 6.50%/Q),,7/5/2018,,9.9,9.9
556,Capital Goods,Creation Holdings Inc. (17),Manufacturer of electrical systems,First lien senior secured revolving loan,0,,8/15/2019,,0.0,0.0
557,Capital Goods,Creation Holdings Inc. (17),,First lien senior secured loan ($35.8 par due 8/2025),7.50% (Libor + 5.75%/Q),,8/15/2019,,35.5,35.4
558,Capital Goods,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($177.4 par due 2/2022),7.55% (Libor + 5.75%/M),,7/26/2017,,177.4,175.6
559,Capital Goods,"DFS Holding Company, Inc.",,First lien senior secured loan ($4.6 par due 3/2022),7.55% (Libor + 5.75%/M),,3/1/2017,,4.6,4.5
560,Capital Goods,"ESCP PPG Holdings, LLC (4)",Distributor of new equipment and aftermarket parts to the heavy-duty truck industry,"Class A units (3,500,000 units)",,,12/14/2016,,3.5,2.9
561,Capital Goods,"Flow Control Solutions, Inc. (17)",Distributor and manufacturer of flow control systems components,First lien senior secured loan ($10.9 par due 11/2024),7.20% (Libor + 5.25%/Q),,11/21/2018,,10.9,10.9
562,Capital Goods,"Harvey Tool Company, LLC (17)",Manufacturer of cutting tools used in the metalworking industry,First lien senior secured revolving loan,0,,10/12/2017,,0.0,0.0
563,Capital Goods,"Harvey Tool Company, LLC (17)",,First lien senior secured loan ($30.3 par due 10/2024),6.70% (Libor + 4.75%/Q),,10/12/2017,,30.3,30.3
564,Capital Goods,"Harvey Tool Company, LLC (17)",,Second lien senior secured loan ($43.7 par due 10/2025),10.50% (Libor + 8.50%/Q),,10/12/2017,,43.7,43.7
565,Capital Goods,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,Senior subordinated loan ($8.3 par due 6/2022),14.00%,,1/3/2017,,8.2,8.3
566,Capital Goods,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",,Senior subordinated loan ($8.3 par due 6/2022),14.00%,,1/3/2017,,8.2,8.3
567,Capital Goods,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",,"Series A preferred stock (66,424,135 shares)",,,1/3/2017,,0.0,17.7
568,Capital Goods,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",,"Class A common stock (33,173 shares)",,,1/3/2017,,0.0,0.0
569,Capital Goods,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",,"Class B common stock (134,214 shares)",,,1/3/2017,,0.0,0.2
570,Capital Goods,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured revolving loan,0,,8/8/2019,,0.0,0.0
571,Capital Goods,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)",,First lien senior secured loan ($59.8 par due 8/2026),6.05% (Libor + 4.25%/M),,8/8/2019,,59.8,59.2
572,Capital Goods,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)",,First lien senior secured loan ($2.9 par due 8/2026),6.05% (Libor + 4.25%/M),,8/8/2019,,2.9,2.8
573,Capital Goods,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)",,"Class A units (4,549,000 units)",,,8/8/2019,,4.5,5.3
574,Capital Goods,"LTG Acquisition, Inc.","Designer and manufacturer of display, lighting and passenger communication systems for mass transportation markets","Class A membership units (5,000 units)",,,1/3/2017,,5.1,2.3
575,Capital Goods,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,Second lien senior secured loan ($23.6 par due 1/2026),10.95% (Libor + 9.00%/Q),,5/28/2019,,23.6,23.2
576,Capital Goods,MB Aerospace Holdings II Corp.,,Second lien senior secured loan ($68.4 par due 1/2026),10.95% (Libor + 9.00%/Q),,1/22/2018,,68.4,67.0
577,Capital Goods,"Radius Aerospace, Inc. and Radius Aerospace Europe Limited (17)",Metal fabricator in the aerospace industry,First lien senior secured revolving loan ($0.2 par due 3/2025),7.65% (Libor + 5.75%/Q),,3/29/2019,,0.2,0.2
578,Capital Goods,"Radius Aerospace, Inc. and Radius Aerospace Europe Limited (17)",,First lien senior secured loan ($8.9 par due 3/2025),7.71% (Libor + 5.75%/Q),,3/29/2019,,8.9,8.8
579,Capital Goods,"Radius Aerospace, Inc. and Radius Aerospace Europe Limited (17)",,First lien senior secured loan ($5.7 par due 3/2025),7.70% (Libor + 5.75%/Q),,11/14/2019,,5.7,5.6
580,Capital Goods,Saw Mill PCG Partners LLC,Manufacturer of metal precision engineered components,"Common units (1,000 units)",,,1/30/2007,,1.0,0.0
581,Capital Goods,"Sunk Rock Foundry Partners LP, Hatteras Electrical Manufacturing Holding Company and Sigma Electric Manufacturing Corporation (17)","Manufacturer of metal castings, precision machined components and sub-assemblies in the electrical products, power transmission and distribution and general industrial markets",First lien senior secured revolving loan ($3.7 par due 10/2022),6.52% (Libor + 4.75%/M),,10/31/2017,,3.7,3.7
582,Capital Goods,"Sunk Rock Foundry Partners LP, Hatteras Electrical Manufacturing Holding Company and Sigma Electric Manufacturing Corporation (17)",,,,,,,595.4,602.4
583,Energy,"Birch Permian, LLC (17)",Operator of private exploration oil and production company,Second lien senior secured loan ($66.1 par due 4/2023),10.34% (Libor + 8.00%/Q),,4/12/2019,,65.6,65.5
584,Energy,"Birch Permian, LLC (17)",,Second lien senior secured loan ($7.4 par due 4/2023),9.99% (Libor + 8.00%/Q),,4/12/2019,,7.3,7.3
585,Energy,"Cheyenne Petroleum Company Limited Partnership, CPC 2001 LLC and Mill Shoals LLC",Private oil exploration and production company,Second lien senior secured loan ($63.1 par due 1/2024),10.45% (Libor + 8.50%/Q),,7/10/2019,,63.1,62.5
