,Company(1),Industry,,Investment,Interest(5)(10),Acquisition  Date,,Amortized  Cost,Fair Value
574,"Coverall North America, Inc.(7)",0,0,"Senior secured loan ($15,864 par due 7/2011)",12.00%,4/1/2010,0,15864.0,15864.0
575,"Coverall North America, Inc.(7)",0,0,"Senior subordinated loan ($5,557 par due 7/2011)",0,4/1/2010,0,5554.0,928.0
576,"Coverall North America, Inc.(7)",0,0,"Common stock (763,333 shares)",0,4/1/2010,0,2999.0,0.0
577,"Digital Videostream, LLC",Media content supply chain services company,0,Senior secured loan ($256 par due 2/2012),"10.00% Cash, 1.00% PIK",4/1/2010,0,256.0,256.0
578,"Digital Videostream, LLC",0,0,Senior secured loan ($9 par due 2/2012),"10.00% Cash, 1.00% PIK",4/1/2010,0,9.0,9.0
579,"Digital Videostream, LLC",0,0,"Senior secured loan ($10,403 par due 2/2012)","10.00% Cash, 1.00% PIK",4/1/2010,0,10345.0,10403.0
580,"Digital Videostream, LLC",0,0,"Convertible subordinated loan ($5,538 par due 2/2016)",10.00% PIK,4/1/2010,0,5978.0,6025.0
581,"Diversified Collections Services, Inc.",Collections services,0,"Senior secured loan ($6,921 par due 3/2012)",7.50% (Libor + 5.50%/Q),4/1/2010,0,6921.0,6921.0
582,"Diversified Collections Services, Inc.",0,0,Senior secured loan ($79 par due 3/2012),7.50% (Libor + 5.50%/Q),4/1/2010,0,79.0,79.0
583,"Diversified Collections Services, Inc.",0,0,"Senior secured loan ($34,000 par due 9/2012)",13.75% (Libor + 11.75%/Q),4/1/2010,0,34000.0,34000.0
584,"Diversified Collections Services, Inc.",0,0,"Senior secured loan ($2,000 par due 9/2012)",13.75% (Libor + 11.75%/Q),4/1/2010,0,2000.0,2000.0
585,"Diversified Collections Services, Inc.",0,0,"Preferred stock (14,927 shares)",0,5/18/2006,0,169.0,289.0
586,"Diversified Collections Services, Inc.",0,0,"Common stock (114,004 shares)",0,2/5/2005,0,295.0,445.0
587,"Diversified Collections Services, Inc.",0,0,"Common stock (478,816 shares)",0,4/1/2010,0,1478.0,1586.0
588,"Diversified Mercury Communications, LLC",Business media consulting services,0,"Senior secured loan ($1,774 par due 3/2013)",8.00% (Base Rate + 4.50%/M),4/1/2010,0,1613.0,1596.0
589,"Impact Innovations Group, LLC(7)",IT consulting and outsourcing services,0,Member interest (50% interest),0,4/1/2010,0,0.0,0.0
590,"Investor Group Services, LLC(6)",Business consulting for private equity and corporate clients,0,Limited liability company membership interest (10.00% interest),0,6/22/2006,0,0.0,564.0
591,"Multi-Ad Services, Inc.(6)",Marketing services and software provider,0,"Preferred units (1,725,280 units)",0,4/1/2010,0,788.0,1366.0
592,"Multi-Ad Services, Inc.(6)",0,0,"Common units (1,725,280 units)",0,4/1/2010,0,0.0,0.0
593,"MVL Group, Inc.(7)",Marketing research provider,0,"Senior secured loan ($22,772 par due 7/2012)",12.00%,4/1/2010,0,22772.0,22772.0
594,"MVL Group, Inc.(7)",0,0,"Senior subordinated loan ($34,937 par due 7/2012)","12.00% Cash, 2.50% PIK",4/1/2010,0,33884.0,34937.0
595,"MVL Group, Inc.(7)",0,0,Junior subordinated loan ($144 par due 7/2012),10.00%,4/1/2010,0,0.0,33.0
596,"MVL Group, Inc.(7)",0,0,"Common stock (554,091 shares)",0,4/1/2010,0,0.0,0.0
597,"MVL Group, Inc.(7)",0,0,"Common stock (560,716 shares)",0,4/1/2010,0,0.0,0.0
598,"PC Helps Support, LLC",Technology support provider,0,"Senior secured loan ($7,153 par due 12/2013)",3.54% (Libor + 3.25%/Q),4/1/2010,0,7153.0,7153.0
599,"PC Helps Support, LLC",0,0,"Senior subordinated loan ($23,377 par due 12/2013)",12.76%,4/1/2010,0,23377.0,23377.0
600,Pillar Processing LLC and PHL Holding Co.(6),Mortgage services,0,"Senior secured loan ($1,875 par due 5/2014)",14.50%,7/31/2008,0,1875.0,1875.0
601,Pillar Processing LLC and PHL Holding Co.(6),0,0,"Senior secured loan ($5,500 par due 5/2014)",14.50%,7/31/2008,0,5500.0,5500.0
602,Pillar Processing LLC and PHL Holding Co.(6),0,0,"Senior secured loan ($14,730 par due 11/2013)",5.80% (Libor + 5.50%/Q),11/20/2007,0,14730.0,14730.0
603,Pillar Processing LLC and PHL Holding Co.(6),0,0,"Senior secured loan ($9,194 par due 11/2013)",5.80% (Libor + 5.50%/Q),11/20/2007,0,9194.0,9194.0
604,Pillar Processing LLC and PHL Holding Co.(6),0,0,Common stock (85 shares),0,11/20/2007,0,3768.0,5701.0
605,"Primis Marketing Group, Inc. and Primis Holdings, LLC(6)",Database marketing services,0,"Senior subordinated loan ($10,222 par due 2/2013)",0,8/24/2006,0,10222.0,102.0
606,"Primis Marketing Group, Inc. and Primis Holdings, LLC(6)",0,0,"Preferred units (4,000 units)",0,8/24/2006,0,3600.0,0.0
607,"Primis Marketing Group, Inc. and Primis Holdings, LLC(6)",0,0,"Common units (4,000,000 units)",0,8/24/2006,0,400.0,0.0
608,"Prommis Solutions, LLC, E-Default Services, LLC,  Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC (formerly known as MR Processing Holding Corp.)",Bankruptcy and foreclosure processing services,0,"Senior subordinated loan ($16,788 par due 2/2014)","11.50% Cash, 2.00% PIK",2/8/2007,0,16788.0,16788.0
609,"Prommis Solutions, LLC, E-Default Services, LLC,  Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC (formerly known as MR Processing Holding Corp.)",0,0,"Senior subordinated loan ($27,032 par due 2/2014)","11.50% Cash, 2.00% PIK",2/8/2007,0,27032.0,27032.0
610,"Prommis Solutions, LLC, E-Default Services, LLC,  Statewide Tax and Title Services, LLC & Statewide Publishing Services, LLC (formerly known as MR Processing Holding Corp.)",0,0,"Preferred units (30,000 units)",0,4/11/2006,0,3000.0,4661.0
611,"Promo Works, LLC",Marketing services,0,"Senior secured loan ($8,655 par due 12/2013)",11.00%,4/1/2010,0,5105.0,5438.0
612,R2 Acquisition Corp.,Marketing services,0,"Common stock (250,000 shares)",0,5/29/2007,0,250.0,257.0
613,"Summit Business Media, LLC",Business media consulting services,0,"Junior secured loan ($11,930 par due 7/2014)",0,8/3/2007,0,10276.0,239.0
614,"Summit Energy Services, Inc.",Energy management consulting services,0,"Common stock (38,778 shares)",0,4/1/2010,0,222.0,287.0
615,"Summit Energy Services, Inc.",0,0,"Common stock (385,608 shares)",0,4/1/2010,0,2336.0,2850.0
616,"Tradesmen International, Inc.",Construction labor support,0,"Senior subordinated loan ($20,000 par due 5/2014)",10.00%,4/1/2010,0,14364.0,20000.0
617,"Tradesmen International, Inc.",0,0,"Warrants to purchase up to 771,036 shares",0,4/1/2010,0,0.0,2086.0
618,"VSS-Tranzact Holdings, LLC(6)",Management consulting services,0,Common membership interest (8.51% interest),0,10/26/2007,0,10204.0,6475.0
619,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,0,Equity interest,0,4/1/2010,0,0.0,0.0
620,"Venturehouse-Cibernet Investors, LLC",0,0,Equity interest,0,4/1/2010,0,0.0,0.0
621,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,0,"Senior secured revolving loan ($2,010 par due 11/2012)",6.50% (Libor + 3.50%/Q),11/27/2006,0,2010.0,2010.0
622,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,Senior secured revolving loan ($108 par due 11/2012),6.50% (Base Rate + 2.50%/Q),11/27/2006,0,108.0,108.0
623,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,"Senior secured loan ($22,839 par due 11/2013)",12.50% (Libor + 9.50%/Q),11/27/2006,0,22845.0,22839.0
624,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,"Senior secured loan ($10,705 par due 11/2013)",12.50% (Libor + 9.50%/Q),11/27/2006,0,10705.0,10705.0
625,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,"Promissory note ($14,897 par due 11/2016)",0,6/1/2006,0,14886.0,10957.0
626,"ADF Capital, Inc. & ADF Restaurant Group, LLC",0,0,Warrants to purchase up to 0.61 shares,0,6/1/2006,0,0.0,0.0
627,"Encanto Restaurants, Inc.",Restaurant owner and operator,0,"Junior secured loan ($20,997 par due 8/2013)",11.00%,8/16/2006,0,20997.0,19947.0
628,"Encanto Restaurants, Inc.",0,0,"Junior secured loan ($3,999 par due 8/2013)",11.00%,8/16/2006,0,3999.0,3799.0
629,Fulton Holdings Corp,Airport restaurant operator,0,"Senior secured loan ($40,000 par due 5/2016)",12.50%,5/28/2010,0,40000.0,40000.0
630,Fulton Holdings Corp,0,0,"Common stock (19,672 shares)",0,5/28/2010,0,1967.0,2430.0
631,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",Convenience food service retailer,0,"Senior secured loan ($34,357 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,0,34357.0,34357.0
632,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",0,0,"Junior secured loan ($37,552 par due 9/2014)",14.00%,4/1/2010,0,24881.0,36085.0
633,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",0,0,"Preferred stock ($10,000 par due)",0,4/1/2010,0,0.0,0.0
634,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",0,0,"Class A common units (25,001 units)",0,4/1/2010,0,0.0,0.0
635,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",0,0,"Class B common units (1,122,452 units)",0,4/1/2010,0,0.0,0.0
636,"Huddle House, Inc.(7)",Restaurant owner and operator,0,"Senior subordinated loan ($20,300 par due 12/2015)","12.00% Cash, 3.00% PIK",4/1/2010,0,20032.0,16202.0
637,"Huddle House, Inc.(7)",0,0,"Common stock (358,428 shares)",0,4/1/2010,0,0.0,0.0
638,"OTG Management, Inc.",Airport restaurant operator,0,"Junior secured loan ($12,603 par due 6/2013)","16.00% (Libor + 11.00% Cash, 2.00% PIK/M)",6/19/2008,0,12603.0,12603.0
639,"OTG Management, Inc.",0,0,"Junior secured loan ($42,030 par due 6/2013)","18.00% (Libor + 11.00% Cash, 4.00% PIK/M)",6/19/2008,0,42030.0,42030.0
640,"OTG Management, Inc.",0,0,"Warrants to purchase up to 100,857 shares of common stock",0,6/19/2008,0,100.0,4939.0
641,"OTG Management, Inc.",0,0,Warrants to purchase up to 9 shares of common stock,0,6/19/2008,0,0.0,0.0
642,"PMI Holdings, Inc.",Restaurant owner and operator,0,Senior secured revolving loan ($575 par due 5/2015),10.00% (Libor + 8.00%/Q),5/5/2010,0,575.0,575.0
643,"PMI Holdings, Inc.",0,0,"Senior secured loan ($9,918 par due 5/2015)",10.00% (Libor + 8.00%/M),5/5/2010,0,9918.0,9918.0
644,"PMI Holdings, Inc.",0,0,"Senior secured loan ($9,918 par due 5/2015)",10.00% (Libor + 8.00%/M),5/5/2010,0,9918.0,9918.0
645,"PMI Holdings, Inc.",0,0,Senior secured loan ($7 par due 5/2015),10.25% (Base Rate + 7.00%/M),5/5/2010,0,7.0,7.0
646,"PMI Holdings, Inc.",0,0,Senior secured loan ($7 par due 5/2015),10.25% (Base Rate + 7.00%/M),5/5/2010,0,7.0,7.0
647,S.B. Restaurant Company,Restaurant owner and operator,0,"Senior secured loan ($35,406 par due 7/2012)",13.00% (Libor + 11.00%/Q),4/1/2010,0,26872.0,33635.0
648,S.B. Restaurant Company,0,0,"Preferred stock (46,690 shares)",0,4/1/2010,0,0.0,0.0
649,S.B. Restaurant Company,0,0,"Warrants to purchase up to 257,429 shares of common stock",0,4/1/2010,0,0.0,0.0
650,Vistar Corporation and Wellspring Distribution Corp.,Food service distributor,0,"Senior subordinated loan ($31,625 par due 5/2015)",13.50%,5/23/2008,0,31625.0,31625.0
651,Vistar Corporation and Wellspring Distribution Corp.,0,0,"Senior subordinated loan ($30,000 par due 5/2015)",13.50%,5/23/2008,0,30000.0,30000.0
652,Vistar Corporation and Wellspring Distribution Corp.,0,0,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,0,7500.0,5287.0
653,"AllBridge Financial, LLC(7)",Asset management services,0,Equity interests,0,4/1/2010,0,11395.0,13112.0
654,Callidus Capital Corporation(7),Asset management services,0,Common stock (100 shares),0,4/1/2010,0,0.0,246.0
655,Ciena Capital LLC(7),Real estate and small business loan servicer,0,"Senior secured loan ($14,000 par due 12/2013)",6.00%,11/23/2010,0,14000.0,14000.0
656,Ciena Capital LLC(7),0,0,"Senior secured loan ($2,000 par due 12/2015)",12.00%,11/29/2010,0,2000.0,2000.0
657,Ciena Capital LLC(7),0,0,"Senior secured loan ($20,000 par due 12/2015)",12.00%,11/29/2010,0,20000.0,20000.0
658,Ciena Capital LLC(7),0,0,"Senior secured loan ($10,000 par due 12/2015)",12.00%,11/29/2010,0,10000.0,10000.0
659,Ciena Capital LLC(7),0,0,Equity interests,0,11/29/2010,0,53374.0,47063.0
660,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,0,"Senior subordinated loan ($6,000 par due 6/2015)",15.00%,4/1/2010,0,6000.0,6000.0
661,"Commercial Credit Group, Inc.",0,0,"Senior subordinated loan ($4,000 par due 6/2015)",15.00%,4/1/2010,0,4000.0,4000.0
662,"Commercial Credit Group, Inc.",0,0,"Senior subordinated loan ($9,500 par due 6/2015)",15.00%,4/1/2010,0,9500.0,9500.0
663,"Compass Group Diversified Holdings, LLC(16)",Middle market business manager,0,Senior secured revolving loan ($735 par due 12/2012),2.76% (Libor + 2.50%/M),4/1/2010,0,735.0,735.0
664,"Compass Group Diversified Holdings, LLC(16)",0,0,Senior secured revolving loan ($882 par due 12/2012),2.76% (L ibor + 2.50%/M),4/1/2010,0,882.0,882.0
665,Financial Pacific Company(7),Commercial finance leasing,0,"Preferred stock (6,500 shares)",8.00% PIK,10/13/2010,0,6500.0,6543.0
666,Financial Pacific Company(7),0,0,"Common stock (650,000 shares)",0,10/13/2010,0,0.0,0.0
667,"Imperial Capital Group, LLC(6)",Investment services,0,"Common units (2,526 units)",0,5/10/2007,0,3.0,4735.0
668,"Imperial Capital Group, LLC(6)",0,0,Common units (315 units),0,5/10/2007,0,0.0,590.0
669,"Imperial Capital Group, LLC(6)",0,0,"Common units (7,710 units)",0,5/10/2007,0,14997.0,14453.0
670,"Ivy Hill Asset Management, L.P.(7)",Asset management services,0,Member interest (100% interest),0,6/15/2009,0,103458.0,136235.0
671,"Augusta Sportswear, Inc.",Manufacturer of athletic apparel,0,"Senior secured loan ($6,556 par due 7/2015)",8.50% (Libor + 7.50%/Q),9/3/2010,0,6556.0,6556.0
672,"Augusta Sportswear, Inc.",0,0,"Senior secured loan ($9,353 par due 7/2015)",8.50% (Libor + 7.50%/Q),9/3/2010,0,9353.0,9353.0
673,"Gilchrist & Soames, Inc.",Personal care manufacturer,0,"Senior subordinated loan ($22,902 par due 10/2013)",13.44%,4/1/2010,0,22128.0,22902.0
674,Insight Pharmaceuticals Corporation(6),OTC drug products manufacturer,0,"Senior subordinated loan ($50,255 par due 9/2012)","13.00% Cash, 2.00% PIK",4/1/2010,0,50255.0,50255.0
675,Insight Pharmaceuticals Corporation(6),0,0,"Senior subordinated loan ($5,298 par due 9/2012)","13.00% Cash, 2.00% PIK",4/1/2010,0,5298.0,5298.0
676,Insight Pharmaceuticals Corporation(6),0,0,"Common stock (155,000 shares)",0,4/1/2010,0,12070.0,13432.0
677,"Making Memories Wholesale, Inc.(7)",Scrapbooking branded products manufacturer,0,Senior secured revolving loan ($250 par due 8/2014),10.00% (Libor + 6.50%/Q),8/21/2009,0,250.0,250.0
678,"Making Memories Wholesale, Inc.(7)",0,0,Senior secured revolving loan ($250 par due 8/2014),10.00% (Libor + 6.50%/Q),8/21/2009,0,250.0,250.0
679,"Making Memories Wholesale, Inc.(7)",0,0,"Senior secured loan ($9,388 par due 8/2014)",0,8/21/2009,0,7433.0,6048.0
680,"Making Memories Wholesale, Inc.(7)",0,0,"Senior secured loan ($5,129 par due 8/2014)",0,8/21/2009,0,3979.0,0.0
681,"Making Memories Wholesale, Inc.(7)",0,0,Common stock (100 shares),0,8/21/2009,0,0.0,0.0
682,"The Step2 Company, LLC",Toy manufacturer,0,"Senior secured loan ($27,000 par due 4/2015)",10.00%,4/1/2010,0,25557.0,27000.0
683,"The Step2 Company, LLC",0,0,"Senior subordinated loan ($30,000 par due 4/2015)",15.00%,4/1/2010,0,28396.0,30000.0
684,"The Step2 Company, LLC",0,0,"Common units (1,114,343 units)",0,4/1/2010,0,24.0,1010.0
685,"The Step2 Company, LLC",0,0,"Warrants to purchase up to 3,157,895 shares",0,4/1/2010,0,0.0,0.0
686,"The Thymes, LLC(7)",Cosmetic products manufacturer,0,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,0,6784.0,6902.0
687,"The Thymes, LLC(7)",0,0,"Common units (5,400 units)",0,6/21/2007,0,0.0,0.0
688,Woodstream Corporation,Pet products manufacturer,0,"Senior subordinated loan ($4,743 par due 2/2015)",12.00%,1/22/2010,0,4772.0,4505.0
689,Woodstream Corporation,0,0,"Senior subordinated loan ($50,257 par due 2/2015)",12.00%,1/22/2010,0,43287.0,47745.0
690,Woodstream Corporation,0,0,"Common stock (4,254 shares)",0,1/22/2010,0,1222.0,2194.0
691,Campus Management Corp. and Campus Management Acquisition Corp.(6),Education software developer,0,"Preferred stock (465,509 shares)",0,2/8/2008,0,9949.0,13834.0
692,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,0,"Senior secured loan ($20,000 par due 12/2014)",6.25% (Libor + 5.25%/M),12/10/2010,0,20000.0,20000.0
693,"Community Education Centers, Inc.",0,0,"Junior secured loan ($9,231 par due 12/2015)",15.28% (Libor + 15.00%/M),12/10/2010,0,9231.0,9231.0
694,"Community Education Centers, Inc.",0,0,"Junior secured loan ($30,769 par due 12/2015)",15.30% (Libor + 15.00%/M),12/10/2010,0,30769.0,30769.0
695,"Community Education Centers, Inc.",0,0,"Warrants to purchase up to 578,407 shares",0,12/13/2010,0,0.0,1009.0
696,eInstruction Corporation,"Developer, manufacturer and retailer of educational products",0,"Senior subordinated loan ($23,270 par due 1/2015)",16.00% PIK,4/1/2010,0,21290.0,22106.0
697,eInstruction Corporation,0,0,"Junior secured loan ($17,000 par due 7/2014)",7.80% (Libor + 7.50%/Q),4/1/2010,0,14881.0,14960.0
698,eInstruction Corporation,0,0,"Common stock (2,406 shares)",0,4/1/2010,0,926.0,1326.0
699,ELC Acquisition Corporation,"Developer, manufacturer and retailer of educational products",0,Senior secured loan ($160 par due 11/2012),3.51% (Libor + 3.25%/M),11/30/2006,0,160.0,160.0
700,ELC Acquisition Corporation,0,0,"Junior secured loan ($8,333 par due 11/2013)",7.26% (Libor + 7.00%/M),11/30/2006,0,8333.0,8333.0
701,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",Private school operator,0,"Series B preferred stock (1,401,385 shares)",0,8/5/2010,0,4004.0,4244.0
702,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,"Series B preferred stock (348,615 shares)",0,8/5/2010,0,996.0,1056.0
703,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,"Series C preferred stock (1,994,644 shares)",0,6/7/2010,0,547.0,2586.0
704,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,"Series C preferred stock (517,942 shares)",0,6/7/2010,0,142.0,672.0
705,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,Common stock (16 shares),0,6/7/2010,0,0.0,0.0
706,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,Common stock (4 shares),0,6/7/2010,0,0.0,0.0
707,"JTC Education Holdings, Inc.",Postsecondary school operator,0,"Senior secured loan ($19,997 par due 12/2014)",12.50% (Libor + 9.50%/M),12/31/2009,0,19997.0,19997.0
708,"JTC Education Holdings, Inc.",0,0,"Senior secured loan ($10,863 par due 12/2014)",12.50% (Libor + 9.50%/M),12/31/2009,0,10863.0,10863.0
709,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp.(8)",Medical school operator,0,"Senior secured loan ($6,275 par due 4/2013)",9.00% (Libor + 6.00%/Q),4/3/2007,0,6275.0,9652.0
710,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp.(8)",0,0,"Senior secured loan ($10,113 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,0,10113.0,15555.0
711,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp.(8)",0,0,"Senior secured loan ($4,000 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,0,4000.0,6153.0
712,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp.(8)",0,0,"Senior secured loan ($5,727 par due 4/2013)",13.00% PIK,12/8/2009,0,2335.0,8809.0
713,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp.(8)",0,0,Preferred stock (800 shares),0,7/30/2008,0,200.0,100.0
714,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp.(8)",0,0,"Preferred stock (8,000 shares)",0,7/30/2008,0,2000.0,1000.0
715,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp.(8)",0,0,Common membership interest (26.27% interest),0,9/21/2007,0,15800.0,20734.0
716,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp.(8)",0,0,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0,0.0,0.0
717,"Component Hardware Group, Inc.",Commercial equipment manufacturer,0,"Senior secured loan ($3,014 par due 12/2014)","7.00% Cash, 3.00% PIK",8/4/2010,0,3014.0,3014.0
718,"Component Hardware Group, Inc.",0,0,"Senior subordinated loan ($10,078 par due 12/2014)","7.50% Cash, 5.00% PIK",4/1/2010,0,5775.0,10078.0
719,"Component Hardware Group, Inc.",0,0,"Warrants to purchase up to 1,462,500 shares of common stock",0,8/4/2010,0,0.0,1240.0
720,"Emerald Performance Materials, LLC",Polymers and performance materials manufacturer,0,Senior secured loan ($375 par due 5/2011),8.25% (Libor + 4.25%/M),5/16/2006,0,375.0,375.0
721,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($5,801 par due 5/2011)",8.25% (Libor + 4.25%/M),5/16/2006,0,5801.0,5801.0
722,"Emerald Performance Materials, LLC",0,0,Senior secured loan ($536 par due 5/2011),8.25% (Libor + 4.25%/M),5/16/2006,0,536.0,536.0
723,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($8,296 par due 5/2011)",8.25% (Libor + 4.25%/M),5/16/2006,0,8296.0,8296.0
724,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($3,806 par due 5/2011)",10.00% (Libor + 6.00%/M),5/16/2006,0,3806.0,3806.0
725,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($1,579 par due 5/2011)",10.00% (Libor + 6.00%/M),5/16/2006,0,1579.0,1579.0
726,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($3,558 par due 5/2011)","13.00% Cash, 3.00% PIK",5/16/2006,0,3558.0,3558.0
727,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($5,089 par due 5/2011)","13.00% Cash, 3.00% PIK",5/16/2006,0,5089.0,5089.0
728,"Industrial Air Tool, LP and Affiliates d/b/a Industrial Air Tool(7)",Industrial products,0,"Class B common units (37,125 units)",0,4/1/2010,0,6000.0,14787.0
729,"Industrial Air Tool, LP and Affiliates d/b/a Industrial Air Tool(7)",0,0,Member interest (375 units),0,4/1/2010,0,7419.0,149.0
730,"NetShape Technologies, Inc.",Metal precision engineered components manufacturer,0,Senior secured revolving loan ($972 par due 2/2013),4.06% (Libor + 3.75%/M),4/1/2010,0,521.0,602.0
731,"NetShape Technologies, Inc.",0,0,"Common units (1,000 units)",0,1/30/2007,0,1000.0,0.0
732,Reflexite Corporation(7),Developer and manufacturer of high-visibility reflective products,0,"Senior subordinated loan ($3,282 par due 11/2014)","20.00% (Base Rate + 12.25% Cash, 7.50% PIK/Q)",2/26/2008,0,3282.0,3282.0
733,Reflexite Corporation(7),0,0,"Senior subordinated loan ($5,999 par due 11/2014)","20.00% (Base Rate + 12.25% Cash, 7.50% PIK/Q)",2/26/2008,0,5999.0,5999.0
734,Reflexite Corporation(7),0,0,"Common stock (1,821,860 shares)",0,3/28/2006,0,27435.0,30523.0
735,"STS Operating, Inc.",Hydraulic systems equipment and supplies provider,0,"Senior subordinated loan ($30,386 par due 1/2013)",11.00%,4/1/2010,0,29461.0,30386.0
736,Bundy Refrigeration International Holding B.V. (aka Tyde Group Worldwide)(8),Refrigeration and cooling systems parts manufacturer,0,"Senior secured loan ($9,010 par due 4/2012)",13.13% (Base Rate + 9.88%/Q),12/15/2010,0,9010.0,9010.0
737,Bundy Refrigeration International Holding B.V. (aka Tyde Group Worldwide)(8),0,0,"Senior secured loan ($15,592 par due 4/2012)",15.38% (Base Rate + 12.13%/Q),12/15/2010,0,15592.0,15592.0
738,"UL Holding Co., LLC",Petroleum product manufacturer,0,"Senior secured loan ($5,000 par due 12/2012)",15.00%,8/13/2010,0,5000.0,5000.0
739,"UL Holding Co., LLC",0,0,"Junior secured loan ($2,108 par due 12/2012)",9.66% (Libor + 9.38%/Q),2/13/2009,0,2108.0,2108.0
740,"UL Holding Co., LLC",0,0,Junior secured loan ($839 par due 12/2012),9.66% (Libor + 9.38%/Q),2/13/2009,0,839.0,839.0
741,"UL Holding Co., LLC",0,0,"Junior secured loan ($2,119 par due 12/2012)",14.50%,2/13/2009,0,2119.0,2119.0
742,"UL Holding Co., LLC",0,0,Junior secured loan ($844 par due 12/2012),14.50%,2/13/2009,0,844.0,844.0
743,"UL Holding Co., LLC",0,0,"Junior secured loan ($10,809 par due 12/2012)",9.66% (Libor + 9.38%/Q),2/13/2009,0,10809.0,10809.0
744,"UL Holding Co., LLC",0,0,"Junior secured loan ($2,963 par due 12/2012)",14.50%,2/13/2009,0,2963.0,2963.0
745,"UL Holding Co., LLC",0,0,Junior secured loan ($988 par due 12/2012),14.50%,2/13/2009,0,988.0,988.0
746,"UL Holding Co., LLC",0,0,"Common units (50,000 units)",0,4/25/2008,0,500.0,97.0
747,"UL Holding Co., LLC",0,0,"Common units (207,843 units)",0,4/25/2008,0,0.0,403.0
748,Universal Trailer Corporation(6),Livestock and specialty trailer manufacturer,0,"Common stock (74,920 shares)",0,10/8/2004,0,7930.0,0.0
749,The Dwyer Group,Operator of multiple franchise concepts primarily related to home maintenance or repairs,0,"Senior subordinated loan ($27,100 par due 12/2016)",14.50%,12/22/2010,0,27100.0,27100.0
750,The Dwyer Group,0,0,"Series A preferred units (15,000,000 units)",8.00% PIK,12/22/2010,0,15000.0,15000.0
751,"Growing Family, Inc. and GFH Holdings, LLC(6)",Photography services,0,Senior secured revolving loan ($182 par due 8/2011),"9.00% (Base Rate + 1.75% Cash, 4.00% PIK/M)",3/16/2007,0,178.0,80.0
752,"Growing Family, Inc. and GFH Holdings, LLC(6)",0,0,"Senior secured revolving loan ($2,252 par due 8/2011)","9.00% (Base Rate + 1.75% Cash, 4.00% PIK/M)",3/16/2007,0,2207.0,991.0
753,"Growing Family, Inc. and GFH Holdings, LLC(6)",0,0,Senior secured loan ($524 par due 3/2013),"9.00% (Base Rate + 1.75% Cash, 4.00% PIK/M)",3/16/2007,0,514.0,230.0
