,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,
680,"NCWS Intermediate, Inc. and NCWS Holdings LP (16)","Manufacturer and supplier of car wash equipment, parts and supplies to the conveyorized car wash market",First lien senior secured loan ($12.1 par due 12/2026),6.75% (Libor + 6.00%/Q),12/29/2020,12.1,,,12.0,,(2)(12),,,
681,,,First lien senior secured loan ($176.4 par due 12/2026),6.75% (Libor + 6.00%/Q),11/4/2021,176.4,,,174.7,,(2)(12),,,
682,,,"Class A-2 common units (12,296,000 units)",,12/29/2020,12.9,,,18.5,,(2),,,
684,"Osmose Utilities Services, Inc. and Pine Intermediate Holding LLC",Provider of structural integrity management services to transmission and distribution infrastructure,Second lien senior secured loan ($55.3 par due 6/2029),7.25% (Libor + 6.75%/M),6/23/2021,55.3,,,54.7,,(2)(12),,,
685,"Precinmac (US) Holdings Inc., Trimaster Manufacturing Inc. and Blade Group Holdings, LP. (16)",Manufacturer of high-tolerance precision machined components and assemblies for the aerospace and defense industry,First lien senior secured loan ($45.8 par due 8/2027),7.00% (Libor + 6.00%/M),8/31/2021,45.8,,,45.4,,(2)(6)(12),,,
686,,,"Class A units (88,420 units)",,8/31/2021,13.4,,,13.4,,(2),,,
688,"Sunk Rock Foundry Partners LP, Hatteras Electrical Manufacturing Holding Company and Sigma Electric Manufacturing Corporation, Diecast Beacon (16)","Manufacturer of metal castings, precision machined components and sub-assemblies in the electrical products, power transmission and distribution and general industrial markets",First lien senior secured revolving loan,-%,10/31/2017,0,,,0,,(14),,,
689,,,,,,945.3,,,957.0,,,10.79%,,
691,"Automotive Keys Group, LLC and Automotive Keys Investor, LLC",Provider of replacement wireless keys for automotive market,First lien senior secured loan ($10.0 par due 11/2025),6.00% (Libor + 5.00%/Q),12/17/2021,10.0,,,10.0,,(2)(12),,,
692,,,"Preferred units (4,113,113 units)",9.00% PIK,11/6/2020,4.5,,,4.5,,,,,
693,,,"Class A common units (4,113,113 units)",,11/6/2020,0,,,0.6,,(2),,,
696,"Continental Acquisition Holdings, Inc.","Distributor of aftermarket batteries to the electric utility vehicle, automotive, commercial, marine and industrial markets",First lien senior secured loan ($36.5 par due 1/2027),7.75% (Libor + 6.75%/Q),1/20/2021,36.5,,,36.5,,(2)(12),,,
697,,,First lien senior secured loan ($33.2 par due 1/2027),7.75% (Libor + 6.75%/Q),12/22/2021,33.2,,,33.2,,(2)(12),,,
699,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(16)",Restoration parts and accessories provider for classic automobiles,First lien senior secured revolving loan ($6.7 par due 5/2022),,7/12/2012,6.5,,,4.7,,(2)(11),,,
700,,,First lien senior secured loan ($26.3 par due 5/2022),,7/12/2012,25.5,,,18.4,,(2)(11),,,
701,,,"Class A common units (67,972 units)",,7/12/2012,16.4,,,0,,(2),,,
703,"Faraday&Future Inc., FF Inc., Faraday SPE, LLC and Faraday Future Intelligent Electric Inc.",Electric vehicle manufacturer,Second lien senior secured loan ($80.3 par due 3/2022),14.00% PIK,3/1/2021,79.9,,,80.3,,(2),,,
704,,,"Warrant to purchase up to 633,008 shares of Class A common stock (expires 8/2027)",,8/5/2021,2.3,,,1.2,,(2),,,
706,"Highline Aftermarket Acquisition, LLC, Highline Aftermarket SC Acquisition, Inc. and Highline PPC Blocker LLC (16)",Manufacturer and distributor of automotive fluids,First lien senior secured revolving loan ($5.9 par due 11/2025),3.85% (Libor + 3.75%/M),11/9/2020,5.9,,,5.8,,(2)(15),,,
707,,,Second lien senior secured loan ($70.4 par due 11/2028),8.75% (Libor + 8.00%/Q),11/9/2020,70.4,,,66.1,,(2)(12),,,
708,,,"Co-invest units (59,230 units)",,11/4/2020,5.9,,,3.5,,(2),,,
710,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured loan ($123.8 par due 12/2025),5.88% (Libor + 5.25%/M),12/21/2018,123.5,,,123.8,,(12),,,
711,,,First lien senior secured loan ($19.1 par due 12/2025),5.88% (Libor + 5.25%/M),12/21/2018,19.1,,,19.1,,(2)(12),,,
712,,,"Preferred units (59,453 units)",13.75% (4.50% Cash + 9.25% PIK),10/9/2015,75.0,,,75.0,,,,,
714,"Mavis Tire Express Services Topco Corp., Metis HoldCo, Inc., and Metis TopCo, LP (16)",Auto parts retailer,First lien senior secured revolving loan ($15.6 par due 5/2026),3.85% (Libor + 3.75%/M),5/4/2021,15.6,,,15.3,,(2)(15),,,
715,,,"Series A preferred stock (68,601 shares)",7.00% PIK,5/4/2021,71.8,,,71.8,,(2),,,
716,,,"Class A-1 units (24,586 units)",,5/4/2021,24.6,,,26.8,,(2),,,
718,McLaren Group Limited,Automobile manufacturer and retailer,"Senior preference shares (200,000 shares)",12.5% PIK,8/2/2021,20.7,,,27.1,,(2)(6),,,
719,,,"Warrant to purchase up to 49,181 ordinary shares (expires 8/2028)",,8/2/2021,5.5,,,5.1,,(2)(6),,,
720,,,"Warrant to purchase up to 13,776 ordinary shares (expires 8/2028)",,8/2/2021,1.6,,,1.4,,(2)(6),,,
722,"SK SPV IV, LLC",Collision repair site operator,"Series A common stock (12,500 units)",,8/18/2014,0.6,,,0,,(2),,,
723,,,"Series B common stock (12,500 units)",,8/18/2014,0.6,,,0,,(2),,,
725,"Sun Acquirer Corp. and Sun TopCo, LP (16)",Automotive parts and repair services retailer,First lien senior secured loan ($17.4 par due 9/2028),6.50% (Libor + 5.75%/Q),11/18/2021,17.4,,,17.2,,(2)(12),,,
726,,,First lien senior secured loan ($74.4 par due 9/2028),6.50% (Libor + 5.75%/Q),9/8/2021,74.4,,,73.7,,(2)(12),,,
727,,,"Class A units (74,896 units)",,9/8/2021,7.5,,,9.2,,(2),,,
730,"Wand Newco 3, Inc.",Collision repair company,Second lien senior secured loan ($180.2 par due 2/2027),7.43% (Libor + 7.25%/Q),2/5/2019,178.2,,,180.2,,(2),,,
731,,,,,,933.1,,,910.5,,,10.27%,,
733,"Apex Clean Energy TopCo, LLC (4)","Developer, builder and owner of utility-scale wind and solar power facilities","Class A common units (1,335,609.89 units)",,11/17/2021,80.5,,,79.1,,,,,
734,"Ferrellgas, L.P.",Distributor of propane and related accessories,"Senior preferred units (55,708 units)",8.96%,3/30/2021,55.7,,,55.7,,,,,
735,"Heelstone Renewable Energy, LLC (5)","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($39.0 par due 4/2024),8.00% (Libor + 7.00%/Q),4/14/2021,39.0,,,39.0,,(2)(12),,,
736,,,Class A1 units (100 units),,4/14/2021,23.5,,,30.4,,,,,
738,Navisun LLC and Navisun Holdings LLC (5),Owner and operater of commercial and industrial solar projects,First lien senior secured loan ($54.4 par due 11/2023),8.00% PIK,11/15/2017,54.4,,,54.4,,(2),,,
739,,,First lien senior secured loan ($15.2 par due 11/2023),9.00% PIK,3/7/2019,15.2,,,15.2,,(2),,,
740,,,First lien senior secured loan ($46.5 par due 11/2023),8% (5.00% Cash + 3.00%PIK/Q),8/15/2019,46.5,,,46.5,,(2),,,
741,,,"Series A preferred units (1,000 units)",10.50% PIK,11/15/2017,14.7,,,15.8,,,,,
742,,,Class A units (550 units),,11/15/2017,0,,,11.8,,,,,
744,Opal Fuels LLC,Owner of natural gas facilities,Senior subordinated loan ($52.7 par due 12/2026),8.00% PIK,5/1/2021,43.8,,,47.8,,,,,
745,"PosiGen, Inc.",Seller and leaser of solar power systems for residential and commercial customers,"Warrant to purchase up to 101,555 shares of series D-1 preferred stock (expires 6/2028)",,6/10/2021,0,,,0,,(2),,,
746,,,"Warrant to purchase up to 1,112,022 shares of common stock (expires 1/2027)",,1/29/2020,0,,,0,,(2),,,
748,Potomac Intermediate Holdings II LLC (5),Gas turbine power generation facilities operator,"Series A units (220,884,442 units)",,11/9/2021,179.7,,,179.7,,,,,
749,Riverview Power LLC,Operator of natural gas and oil fired power generation facilities,First lien senior secured loan ($54.2 par due 6/2024),10.00% (Libor + 9.00%/Q),8/30/2021,53.7,,,54.2,,(2)(12),,,
750,"SE1 Generation, LLC",Solar power developer,Senior subordinated loan ($58.8 par due 12/2022),10.25% (4.75% Cash + 5.50% PIK/Q),12/17/2019,58.8,,,57.0,,(2),,,
751,"Sunrun Atlas Depositor 2019-2, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,First lien senior secured loan ($0.1 par due 2/2055),3.61%,10/28/2019,0.1,,,0.1,,(2),,,
752,,,Senior subordinated loan ($142.5 par due 11/2025),8.75% (Libor + 2.75% Cash + 4.00% PIK/Q),11/26/2019,142.5,,,142.5,,(2)(12),,,
754,"Sunrun Xanadu Issuer 2019-1, LLC and Sunrun Xanadu Holdings 2019-1, LLC",Residential solar energy provider,First lien senior secured loan ($0.4 par due 6/2054),3.98%,6/7/2019,0.4,,,0.4,,(2),,,
755,,,Senior subordinated loan ($69.3 par due 7/2030),8.75% (Libor + 3.98% Cash + 2.77% PIK/Q),6/27/2019,69.3,,,69.3,,(12),,,
757,,,,,,877.8,,,898.9,,,10.14%,,
759,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,Second lien senior secured loan ($56.8 par due 3/2024),10.25% (Libor + 9.00%/Q),9/6/2016,56.8,,,56.8,,(2)(12),,,
760,"Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (421 units),,4/24/2014,4.2,,,0,,,,,
761,Centric Brands LLC and Centric Brands GP LLC (16),"Designer, marketer and distributor of licensed and owned apparel",First lien senior secured revolving loan ($2.3 par due 10/2024),6.50% (Libor + 5.50%/Q),5/20/2020,2.3,,,2.3,,(2)(12),,,
763,,,First lien senior secured loan ($67.9 par due 10/2025),10% PIK (Libor + 9%/Q),10/29/2018,67.8,,,67.3,,(2)(12),,,
764,,,"Membership interests (279,392 interests)",,10/29/2018,2.9,,,11.5,,(2),,,
766,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (16)",Footwear and orthopedic foot-care brand,First lien senior secured loan ($29.8 par due 11/2025),6.75% (Libor + 5.75%/Q),11/1/2019,29.8,,,29.8,,(12),,,
767,,,First lien senior secured loan ($46.7 par due 11/2025),6.75% (Libor + 5.75%/Q),6/1/2021,46.7,,,46.7,,(12),,,
768,,,"Common stock (8,549 shares)",,11/1/2019,8.5,,,11.3,,(2),,,
770,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($103.3 par due 4/2024),8.75% (Libor + 7.75%/Q),6/1/2017,103.3,,,95.1,,(2)(12),,,
771,,,First lien senior secured loan ($14.1 par due 4/2024),8.75% (Libor + 7.75%/Q),6/1/2017,14.1,,,13.0,,(2)(12),,,
772,,,First lien senior secured loan ($1.3 par due 4/2024),8.75% (Libor + 7.75%/Q),6/30/2016,1.3,,,1.2,,(2)(12),,,
773,,,First lien senior secured loan ($5.0 par due 4/2024),8.75% (Libor + 7.75%/Q),7/17/2018,5.0,,,4.6,,(2)(12),,,
775,"Lew's Intermediate Holdings, LLC (16)",Outdoor brand holding company,First lien senior secured revolving loan ($1.8 par due 2/2026),4.14% (Libor + 4.00%/Q),2/11/2021,1.8,,,1.8,,(2),,,
776,,,First lien senior secured loan ($1.0 par due 2/2028),5.75% (Libor + 5.00%/Q),2/11/2021,1.0,,,1.0,,(2)(12),,,
778,"Pelican Products, Inc. (16)",Flashlights manufacturer,Second lien senior secured loan ($60.0 par due 12/2029),8.25% (Libor + 7.75%/Q),12/31/2021,60.0,,,59.4,,(2)(12),,,
779,"Rawlings Sporting Goods Company, Inc. and Easton Diamond Sports, LLC",Sports equipment manufacturing company,First lien senior secured loan ($93.2 par due 12/2026),7.75% (Libor + 6.75%/Q),12/31/2020,93.2,,,93.2,,(2)(12),,,
780,,,First lien senior secured loan ($8.8 par due 12/2026),7.75% (Libor + 6.75%/Q),11/3/2021,8.8,,,8.8,,(2)(12),,,
782,"Reef Lifestyle, LLC (16)",Apparel retailer,First lien senior secured revolving loan ($12.1 par due 10/2024),8.5% (Libor + 5.50% Cash + 2.00% PIK/M),10/26/2018,12.1,,,12.1,,(2)(12)(15),,,
783,,,First lien senior secured revolving loan ($0.6 par due 10/2024),8.5% (Libor + 5.50% Cash + 2.00% PIK/M),7/31/2020,0.6,,,0.6,,(2)(12),,,
784,,,First lien senior secured loan ($25.0 par due 10/2024),8.5% (Libor + 5.50% Cash + 2.00% PIK/Q),10/26/2018,25.0,,,25.0,,(12),,,
785,,,First lien senior secured loan ($1.1 par due 10/2024),8.50% (Libor + 7.50%/Q),7/31/2020,1.1,,,1.1,,(12),,,
787,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Class B common units (126,278,000 units)",,10/30/2014,0,,,0.2,,,,,
788,,,"Common units (1,116,879 units)",,4/1/2011,0,,,0,,,,,
789,,,"Warrant to purchase up to 3,157,895 units",,4/1/2010,0,,,0,,,,,
791,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,Second lien senior secured loan ($116.2 par due 10/2024),9.54% PIK (Libor + 8.54%/M),10/27/2015,115.6,,,98.9,,(2)(12),,,
792,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(16)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured revolving loan ($1.1 par due 5/2024),7.25% (Base Rate + 4.00%/M),5/21/2019,1.1,,,1.1,,(2)(12)(15),,,
793,,,First lien senior secured revolving loan ($0.1 par due 5/2024),6.50% (Libor + 5.50%/M),5/21/2019,0.1,,,0.1,,(2)(12)(15),,,
794,,,First lien senior secured loan ($19.2 par due 5/2024),6.00% (Libor + 5.00%/Q),5/21/2019,19.1,,,19.1,,(2)(12),,,
795,,,"Class A preferred units (50,000 units)",,3/14/2014,5.0,,,0.4,,(2),,,
796,,,"Class C preferred units (50,000 units)",,4/22/2015,5.0,,,0.4,,(2),,,
797,,,"Preferred units (14,591 units)",,5/14/2019,1.6,,,2.0,,(2),,,
800,SVP-Singer Holdings Inc. and SVP-Singer Holdings LP,Manufacturer of consumer sewing machines,First lien senior secured loan ($44.9 par due 7/2028),7.50% (Libor + 6.75%/Q),7/30/2021,43.7,,,42.3,,(2)(12),,,
801,,,"Class A common units (6,264,706 units)",,7/30/2021,26.1,,,24.5,,(2),,,
803,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($2.2 par due 12/2024),7.00% (Libor + 6.00%/Q),12/23/2019,2.2,,,1.9,,(2)(12),,,
804,,,First lien senior secured loan ($1.6 par due 6/2024),5.00% (Libor + 4.00%/Q),12/23/2019,1.6,,,1.6,,(2)(12),,,
805,,,"Common stock (861,000 shares)",,12/23/2019,6.0,,,0.4,,(2),,,
807,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($21.1 par due 12/2025),9.25% (Libor + 8.25%/M),7/30/2018,21.1,,,20.3,,(2)(12),,,
808,,,Second lien senior secured loan ($122.7 par due 12/2025),9.25% (Libor + 8.25%/M),12/15/2017,122.8,,,117.9,,(12),,,
809,,,"Class A units (1,400 units)",,7/30/2018,1.4,,,0.7,,(2),,,
811,,,,,,918.7,,,874.4,,,9.86%,,
813,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,First lien senior secured loan ($111.4 par due 12/2022),,11/27/2006,0,,,0,,(2)(11),,,
814,"Aimbridge Acquisition Co., Inc.",Hotel operator,Second lien senior secured loan ($22.5 par due 2/2027),7.60% (Libor + 7.50%/M),2/1/2019,22.2,,,21.4,,(2),,,
815,American Residential Services L.L.C. and Aragorn Parent Holdings LP (16),"Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($56.4 par due 10/2028),9.50% (Libor + 8.50%/Q),10/15/2020,56.4,,,56.4,,(2)(12),,,
816,,,"Series A preferred units (2,531,500 units)",10.00% PIK,10/15/2020,2.8,,,3.7,,(2),,,
818,"ATI Restoration, LLC (16)",Provider of disaster recovery services,First lien senior secured revolving loan ($8.1 par due 7/2026),6.00% (Libor + 5.00%/Q),7/31/2020,8.1,,,8.1,,(2)(12)(15),,,
819,,,First lien senior secured revolving loan ($2.5 par due 7/2026),7.25% (Base Rate + 4.00%/Q),7/31/2020,2.5,,,2.5,,(12),,,
820,,,First lien senior secured loan ($33.3 par due 7/2026),6.00% (Libor + 5.00%/Q),7/31/2020,33.3,,,33.3,,(12),,,
822,"Belfor Holdings, Inc. (16)",Disaster recovery services provider,First lien senior secured revolving loan ($0.0 par due 4/2024),5.50% (Base Rate + 2.25%/Q),4/4/2019,0,,,0,,(2)(15),,,
823,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($68.2 par due 5/2023),11.75% (Libor + 10.75%/Q),5/30/2018,67.4,,,61.4,,(2)(12),,,
824,,,First lien senior secured loan ($15.2 par due 5/2023),11.75% (Libor + 10.75%/Q),11/5/2018,15.2,,,13.6,,(2)(12),,,
825,,,First lien senior secured loan ($15.5 par due 5/2023),11.75% PIK (Libor + 10.75%/M),7/3/2019,15.3,,,13.9,,(2)(12),,,
826,,,First lien senior secured loan ($20.0 par due 5/2023),11.75% (Libor + 10.75%/Q),12/27/2019,18.9,,,18.0,,(2)(12),,,
827,,,First lien senior secured loan ($3.0 par due 5/2023),11.75% (Libor + 10.75%/Q),8/20/2018,3.0,,,2.7,,(2)(12),,,
828,,,First lien senior secured loan ($4.9 par due 5/2023),11.75% (Libor + 10.75%/Q),6/30/2020,4.9,,,4.4,,(2)(12),,,
829,,,First lien senior secured loan ($30.0 par due 5/2023),11.75% PIK (Libor + 10.75%/Q),12/22/2020,28.8,,,27.0,,(2)(12),,,
830,,,Warrant to purchase up to 718.66 shares (expires 3/2041),,3/21/2021,2.1,,,3.4,,(2)(6),,,
832,Concert Golf Partners Holdco LLC (16),Golf club owner and operator,First lien senior secured revolving loan ($0.1 par due 8/2025),5.50% (Libor + 4.50%/Q),8/20/2019,0.1,,,0.1,,(2)(12),,,
834,Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC (16),Provider of plumbing and HVAC services,First lien senior secured revolving loan,-%,11/16/2020,0,,,0,,(14),,,
835,,,First lien senior secured loan ($72.7 par due 11/2026),6.75% (Libor + 5.75%/Q),11/16/2020,72.7,,,72.7,,(2)(12),,,
836,,,First lien senior secured loan ($80.4 par due 11/2026),6.75% (Libor + 5.75%/Q),4/2/2021,80.4,,,80.4,,(2)(12),,,
837,,,"Class A units (6,099 units)",,11/16/2020,20.9,,,34.4,,(2),,,
839,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (16),Restaurant owner and operator,First lien senior secured revolving loan ($7.5 par due 2/2022),,2/1/2017,0,,,0,,(2)(11),,,
840,,,First lien senior secured loan ($21.6 par due 2/2022),,2/1/2017,0,,,0,,(2)(11),,,
842,"Jenny C Acquisition, Inc.",Health club franchisor,Senior subordinated loan ($1.4 par due 4/2025),8.00% PIK,4/5/2019,1.4,,,1.4,,(2),,,
843,"Jim N Nicks Management, LLC (16)",Restaurant owner and operator,First lien senior secured revolving loan ($2.8 par due 7/2023),6.25% (Libor + 5.25%/Q),7/10/2017,2.8,,,2.8,,(2)(12),,,
844,,,First lien senior secured loan ($14.7 par due 7/2023),6.25% (Libor + 5.25%/Q),7/10/2017,14.7,,,14.7,,(12),,,
846,"KeyStone Sub-debt HoldCo, LLC",Planet Fitness franchisee,Senior subordinated loan ($54.3 par due 1/2027),10.00% PIK,1/20/2021,51.2,,,52.7,,(2),,,
847,,,Senior subordinated loan ($7.2 par due 1/2027),10.00% PIK,9/30/2021,7.2,,,7.0,,(2),,,
848,,,Warrant to purchase up to 24.7581 Class C interests (expires 1/2027),,1/20/2021,3.6,,,4.2,,(2),,,
850,"Len the Plumber, LLC, LTP Neffsville, LLC, LTP of NJ, LLC, and LTP LSI, LLC",Provider of plumbing services,First lien senior secured loan ($9.1 par due 2/2026),7.00% (Libor + 6.00%/Q),10/14/2021,9.1,,,9.0,,(2)(12),,,
851,"LSP Holdco, LLC and ZBS Mechanical Group Co-Invest Fund 2, LLC (16)",Provider of residential HVAC and plumbing services,First lien senior secured loan ($6.9 par due 10/2026),7.00% (Libor + 6.00%/Q),10/7/2021,6.9,,,6.8,,(2)(12),,,
852,,,"Membership interest (2,771,000 interests)",,10/7/2021,2.8,,,2.8,,,,,
854,ME Equity LLC,Franchisor in the massage industry,"Common stock (3,000,000 shares)",,9/27/2012,3.0,,,3.1,,(2),,,
855,Movati Athletic (Group) Inc.,Premier health club operator,First lien senior secured loan ($0.2 par due 10/2024),7.45% (Base rate + 3.70% Cash + .50% PIK/Q),10/5/2017,0.2,,,0.2,,(2)(6)(12),,,
856,,,First lien senior secured loan ($2.9 par due 10/2024),"7.50% (CDOR + 5.50% Cash, 0.50% PIK/Q)",10/5/2017,3.0,,,2.7,,(2)(6)(12),,,
857,,,First lien senior secured loan ($2.3 par due 10/2024),7.50% (CDOR + 5.50% Cash + .50% PIK/Q),10/5/2017,2.2,,,2.1,,(6)(12),,,
859,"OTG Management, LLC",Airport restaurant operator,"Class A preferred units (3,000,000 units)",,8/26/2016,25.3,,,15.8,,,,,
860,,,"Common units (3,000,000 units)",,1/5/2011,3.0,,,0,,,,,
861,,,Warrant to purchase up to 7.73% of common units,,6/19/2008,0.1,,,0,,,,,
863,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (16)",Hotel operator,First lien senior secured revolving loan ($9.6 par due 7/2023),8% (Libor + 5.75% Cash + 1.25% PIK/Q),4/12/2018,9.6,,,8.8,,(2)(12)(15),,,
864,,,First lien senior secured loan ($18.2 par due 7/2023),8% (Libor + 5.75% Cash + 1.25% PIK/Q),4/12/2018,18.2,,,16.8,,(12),,,
865,,,First lien senior secured loan ($6.4 par due 7/2023),8% (Libor + 5.75% Cash + 1.25% PIK/Q),12/27/2019,6.4,,,5.8,,(2)(12),,,
866,,,"Preferred membership units (996,833 units)",,7/15/2016,1.0,,,0.5,,,,,
869,"Redwood Services, LLC and Redwood Services Holdco, LLC (16)",Provider of residential HVAC and plumbing services,First lien senior secured loan ($1.0 par due 12/2025),8.00% (Libor + 7.00%/Q),12/22/2021,1.0,,,1.0,,(2)(12),,,
870,,,First lien senior secured loan ($12.5 par due 12/2025),8.00% (Libor + 7.00%/Q),12/31/2020,12.5,,,12.5,,(2)(12),,,
871,,,"Series D units (5,291,723 units)",8.00% PIK,12/31/2020,5.7,,,11.6,,,,,
873,"Safe Home Security, Inc., Security Systems Inc., Safe Home Monitoring, Inc., National Protective Services, Inc., Bright Integrations LLC and Medguard Alert, Inc.",Provider of safety systems for business and residential customers,First lien senior secured loan ($46.2 par due 8/2024),8.25% (Libor + 7.25%/M),8/4/2020,46.2,,,46.2,,(2)(12),,,
874,"SV-Burton Holdings, LLC & LBC Breeze Holdings LLC (16)",Provider of HVAC and plumbing services to residential and commercial customers,First lien senior secured loan ($11.0 par due 12/2027),6.50% (Libor + 5.50%/Q),12/6/2021,11.0,,,10.9,,(2)(12),,,
875,,,"Class A units (4,296 units)",,12/6/2021,4.3,,,4.3,,,,,
877,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (16)",Planet Fitness franchisee,First lien senior secured revolving loan ($0.5 par due 7/2024),6.75% (Libor + 5.25% Cash + .50 PIK/Q),7/31/2018,0.5,,,0.5,,(2)(12),,,
878,,,First lien senior secured loan ($1.1 par due 7/2025),6.25% (Libor + 4.75% Cash + .50 PIK/Q),3/5/2020,1.1,,,1.1,,(2)(12),,,
879,,,"Class A units (37,020 units)",,7/31/2018,3.8,,,2.0,,,,,
881,"The Alaska Club Partners, LLC, Athletic Club Partners LLC and The Alaska Club, Inc. (16)",Premier health club operator,First lien senior secured loan ($15.5 par due 12/2024),10.25% (Base rate + 5.00% Cash + 2.00% PIK/Q),12/16/2019,15.5,,,14.1,,(2)(12),,,
882,"The Arcticom Group, LLC and AMCP Mechanical Holdings, LP (16)","Refrigeration, heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($2.0 par due 12/2027),8.25% (Base Rate + 5.00%/Q),12/22/2021,2.0,,,2.0,,(2)(12),,,
883,,,First lien senior secured loan ($47.2 par due 12/2027),6.75% (Libor + 6.00%/Q),12/22/2021,47.2,,,46.7,,(2)(12),,,
884,,,"Class A units (4,897,000 units)",,12/22/2021,4.9,,,4.9,,,,,
886,"YE Brands Holdings, LLC (16)",Sports camp operator,First lien senior secured loan ($8.0 par due 10/2027),6.25% (Libor + 5.50%/Q),10/18/2021,8.0,,,7.9,,(2)(12),,,
887,,,,,,790.4,,,780.3,,,8.80%,,
889,"Atlas Intermediate III, L.L.C. (16)",Specialty chemicals distributor,First lien senior secured loan ($0.2 par due 4/2025),6.50% (Libor + 5.50%/Q),3/31/2021,0.2,,,0.2,,(2)(12),,,
890,,,First lien senior secured loan ($2.1 par due 4/2025),6.50% (Libor + 5.50%/Q),11/19/2021,2.1,,,2.1,,(2)(12),,,
892,"Bamboo Purchaser, Inc. (16)","Provider of nursery, garden, and greenhouse products",First lien senior secured loan ($39.1 par due 11/2027),6.75% (Libor + 6.00%/Q),11/5/2021,39.1,,,38.6,,(2)(12),,,
893,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (16)",Provider of visual communications solutions,First lien senior secured loan ($16.0 par due 3/2025),6.65% (Libor + 5.65%/M),3/13/2019,16.0,,,16.0,,(12),,,
894,,,First lien senior secured loan ($0.1 par due 3/2025),6.65% (Libor + 5.65%/M),8/27/2019,0.1,,,0.1,,(2)(12),,,
895,,,First lien senior secured loan ($0.1 par due 3/2025),6.65% (Libor + 5.65%/M),6/25/2021,0.1,,,0.1,,(2)(12),,,
896,,,Common units (600 units),,3/13/2019,0.6,,,1.0,,(2),,,
898,"GPM Investments, LLC and ARKO Corp.",Convenience store operator,"Common stock (2,088,478 shares)",,12/22/2020,19.8,,,18.3,,,,,
899,,,"Warrant to purchase up to 1,088,780 common stock (expires 12/2025)",,12/22/2020,1.6,,,1.9,,(2),,,
901,"Marcone Yellowstone Buyer Inc. and Marcone Yellowstone Holdings, LLC",Distributor of OEM appliance aftermarket parts,First lien senior secured loan ($18.7 par due 6/2028),6.25% (Libor + 5.50%/Q),6/23/2021,18.7,,,18.5,,(2)(12),,,
902,,,First lien senior secured loan ($2.1 par due 6/2028),6.25% (Libor + 5.50%/Q),12/31/2021,2.1,,,2.1,,(12),,,
904,,,First lien senior secured loan ($6.6 par due 6/2028),6.00% (Libor + 5.25%/Q),12/31/2021,6.6,,,6.5,,(12),,,
905,,,First lien senior secured loan ($35.0 par due 6/2028),6.25% (Libor + 5.50%/Q),6/23/2021,35.0,,,34.6,,(2)(12),,,
906,,,"Class A common units (5,578 units)",,6/23/2021,5.8,,,9.3,,(2),,,
908,"McKenzie Creative Brands, LLC (16)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured loan ($84.5 par due 9/2023),6.75% (Libor + 5.75%/Q),9/18/2014,84.5,,,84.5,,(8)(12),,,
909,,,First lien senior secured loan ($5.5 par due 9/2023),6.75% (Libor + 5.75%/A),9/18/2014,5.5,,,5.5,,(12),,,
911,"Moon Valley Nursery of Arizona Retail, LLC, Moon Valley Nursery Farm Holdings, LLC, Moon Valley Nursery RE Holdings LLC, and Stonecourt IV Partners, LP (16)",Operator of retail and wholesale tree and plant nurseries,First lien senior secured loan ($79.0 par due 10/2027),6.75% (Libor + 5.75%/Q),10/8/2021,79.0,,,78.2,,(12),,,
