,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
546,American Residential Services L.L.C.,"Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($70.8 par due 12/2022),9.80% (Libor + 8.00%/M),0,6/30/2014,0,70.6,70.8
547,"Belfor Holdings, Inc. (17)",Disaster recovery services provider,First lien senior secured revolving loan,0,0,4/4/2019,0,0.0,0.0
548,"ChargePoint, Inc.",Developer and operator of electric vehicle charging stations,"Warrant to purchase up to 809,126 shares of Series E preferred stock (expires 12/2024)",0,0,12/30/2014,0,0.3,3.0
549,"Cipriani USA, Inc.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($3.0 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",0,11/5/2018,0,3.0,3.0
550,"Cipriani USA, Inc.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($12.2 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",0,11/5/2018,0,12.2,12.2
551,"Cipriani USA, Inc.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($15.0 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",0,7/3/2019,0,14.6,15.0
552,"Cipriani USA, Inc.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($20.0 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",0,12/27/2019,0,17.5,20.0
553,"Cipriani USA, Inc.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($68.2 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",0,5/30/2018,0,66.2,68.2
554,"Cipriani USA, Inc.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($3.0 par due 5/2023),"10.55% (Libor + 6.75% Cash, 2.00% PIK/M)",0,8/20/2018,0,3.0,3.0
556,Concert Golf Partners Holdco LLC (17),Golf club owner and operator,First lien senior secured revolving loan ($0.2 par due 8/2025),6.45% (Libor + 4.50%/Q),0,8/20/2019,0,0.2,0.1
557,Concert Golf Partners Holdco LLC (17),Golf club owner and operator,First lien senior secured loan ($28.4 par due 8/2025),6.52% (Libor + 4.50%/Q),0,8/20/2019,0,28.4,28.1
559,CST Buyer Company (d/b/a Intoxalock) (17),Provider of ignition interlock devices,First lien senior secured loan ($32.4 par due 10/2025),7.55% (Libor + 5.75%/M),0,3/1/2017,0,32.4,32.0
560,FWR Holding Corporation (17),"Restaurant owner, operator, and franchisor",First lien senior secured revolving loan ($1.8 par due 8/2023),7.29% (Libor + 5.50%/M),0,8/21/2017,0,1.8,1.8
561,FWR Holding Corporation (17),"Restaurant owner, operator, and franchisor",First lien senior secured loan ($4.0 par due 8/2023),7.29% (Libor + 5.50%/M),0,8/21/2017,0,4.0,4.0
563,FWR Holding Corporation (17),"Restaurant owner, operator, and franchisor",First lien senior secured loan ($0.5 par due 8/2023),7.29% (Libor + 5.50%/M),0,8/21/2017,0,0.5,0.5
564,FWR Holding Corporation (17),"Restaurant owner, operator, and franchisor",First lien senior secured loan ($0.8 par due 8/2023),7.29% (Libor + 5.50%/M),0,2/28/2019,0,0.8,0.8
565,FWR Holding Corporation (17),"Restaurant owner, operator, and franchisor",First lien senior secured loan ($0.5 par due 8/2023),7.29% (Libor + 5.50%/M),0,2/28/2019,0,0.5,0.5
566,FWR Holding Corporation (17),"Restaurant owner, operator, and franchisor",First lien senior secured loan ($0.7 par due 8/2023),7.29% (Libor + 5.50%/M),0,2/28/2019,0,0.7,0.7
568,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (17),Restaurant owner and operator,First lien senior secured revolving loan ($1.8 par due 2/2022),9.88% (Libor + 8.00%/Q),0,2/1/2017,0,1.8,1.8
569,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (17),Restaurant owner and operator,First lien senior secured loan ($18.4 par due 2/2022),9.91% (Libor + 8.00%/M),0,2/1/2017,0,18.4,18.4
571,"Jenny C Acquisition, Inc.",Health club franchisor,Senior subordinated loan ($1.2 par due 4/2025),8.00% PIK,0,4/5/2019,0,1.2,1.2
572,"Jim N Nicks Management, LLC (17)",Restaurant owner and operator,First lien senior secured revolving loan ($2.8 par due 7/2023),7.20% (Libor + 5.25%/Q),0,7/10/2017,0,2.8,2.7
573,"Jim N Nicks Management, LLC (17)",Restaurant owner and operator,First lien senior secured loan ($13.8 par due 7/2023),7.20% (Libor + 5.25%/Q),0,7/10/2017,0,13.8,13.4
574,"Jim N Nicks Management, LLC (17)",Restaurant owner and operator,First lien senior secured loan ($1.2 par due 7/2023),7.20% (Libor + 5.25%/Q),0,7/10/2017,0,1.2,1.1
576,"Massage Envy, LLC and ME Equity LLC",Franchisor in the massage industry,"Common stock (3,000,000 shares)",0,0,9/27/2012,0,3.0,5.8
577,Movati Athletic (Group) Inc. (17),Premier health club operator,First lien senior secured loan ($2.9 par due 10/2022),6.47% (CIBOR + 4.50%/Q),0,10/5/2017,0,3.0,2.9
578,Movati Athletic (Group) Inc. (17),Premier health club operator,First lien senior secured loan ($1.1 par due 10/2022),6.49% (CIBOR + 4.50%/Q),0,10/5/2017,0,1.2,1.1
580,"OTG Management, LLC (17)",Airport restaurant operator,First lien senior secured revolving loan ($10.0 par due 8/2021),9.01% (Libor + 7.00%/Q),0,8/26/2016,0,10.0,10.0
581,"OTG Management, LLC (17)",Airport restaurant operator,First lien senior secured loan ($23.6 par due 8/2021),8.90% (Libor + 7.00%/Q),0,8/26/2016,0,23.6,23.6
582,"OTG Management, LLC (17)",Airport restaurant operator,First lien senior secured loan ($97.8 par due 8/2021),9.00% (Libor + 7.00%/Q),0,8/26/2016,0,97.8,97.8
583,"OTG Management, LLC (17)",Airport restaurant operator,First lien senior secured loan ($6.4 par due 8/2021),8.91% (Libor + 7.00%/Q),0,10/10/2018,0,6.4,6.4
584,"OTG Management, LLC (17)",Airport restaurant operator,Senior subordinated loan ($33.9 par due 2/2022),13.00% PIK,0,8/26/2016,0,33.8,33.9
585,"OTG Management, LLC (17)",Airport restaurant operator,"Class A preferred units (3,000,000 units)",14.50% PIK,0,8/26/2016,0,36.5,46.3
586,"OTG Management, LLC (17)",Airport restaurant operator,"Common units (3,000,000 units)",0,0,1/5/2011,0,3.0,9.9
587,"OTG Management, LLC (17)",Airport restaurant operator,Warrant to purchase up to 7.73% of common units,0,0,6/19/2008,0,0.1,21.8
589,"Portillo's Holdings, LLC",Fast casual restaurant brand,Second lien senior secured loan ($34.0 par due 12/2024),11.44% (Libor + 9.50%/Q),0,11/27/2019,0,32.9,33.3
590,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",Hotel operator,First lien senior secured revolving loan ($2.6 par due 7/2023),7.55% (Libor + 5.75%/Q),0,4/12/2018,0,2.6,2.6
591,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",Hotel operator,First lien senior secured loan ($16.9 par due 7/2023),7.55% (Libor + 5.75%/M),0,4/12/2018,0,16.9,16.9
592,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",Hotel operator,First lien senior secured loan ($1.5 par due 7/2023),7.55% (Libor + 5.75%/M),0,4/12/2018,0,1.5,1.5
593,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (17)",Hotel operator,"Preferred membership units (996,833 units)",0,0,7/15/2016,0,1.0,1.3
595,"Spectra Finance, LLC (17)",Venue management and food and beverage provider,First lien senior secured revolving loan ($4.7 par due 4/2023),5.75% (Libor + 4.00%/Q),0,4/2/2018,0,4.7,4.7
596,"Spectra Finance, LLC (17)",Venue management and food and beverage provider,First lien senior secured loan ($3.4 par due 4/2024),6.20% (Libor + 4.25%/Q),0,4/2/2018,0,3.4,3.4
599,Spin HoldCo Inc.,Laundry service and equipment provider,Second lien senior secured loan ($154.2 par due 5/2023),9.41% (Libor + 7.50%/Q),0,5/14/2013,0,154.2,154.2
600,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (17)",Planet Fitness franchisee,First lien senior secured revolving loan ($0.7 par due 7/2024),6.12% (Libor + 4.25%/Q),0,7/31/2018,0,0.7,0.7
601,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (17)",Planet Fitness franchisee,"Class A units (35,374 units)",0,0,7/31/2018,0,3.6,5.1
603,"The Alaska Club Partners, LLC, Athletic Club Partners LLC and The Alaska Club, Inc. (17)",Premier health club operator,First lien senior secured loan ($15.5 par due 12/2024),10.25% (Base Rate + 5.50%/Q),0,12/16/2019,0,15.5,15.3
604,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,First lien senior secured loan ($107.2 par due 5/2022),6.44% (Libor + 4.75%/M),0,8/1/2019,0,107.2,106.7
605,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,Second lien senior secured loan ($21.3 par due 5/2023),8.80% (Libor + 7.00%/M),0,5/14/2015,0,21.1,20.6
606,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,Second lien senior secured loan ($3.7 par due 5/2023),8.80% (Libor + 7.00%/M),0,5/14/2015,0,3.7,3.6
610,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,Second lien senior secured loan ($56.8 par due 3/2024),11.55% (Libor + 9.75%/M),0,9/6/2016,0,56.7,54.5
611,"CB Trestles OpCo, LLC (17)",Apparel retailer,First lien senior secured revolving loan ($2.1 par due 10/2024),7.55% (Libor + 5.75%/M),0,10/26/2018,0,2.1,2.0
612,"CB Trestles OpCo, LLC (17)",Apparel retailer,First lien senior secured loan ($26.3 par due 10/2024),7.68% (Libor + 5.75%/Q),0,10/26/2018,0,26.3,25.2
614,Centric Brands Inc. (fka Differential Brands Group Inc.),"Designer, marketer and distributor of licensed and owned apparel",First lien senior secured loan ($57.8 par due 10/2023),7.93% (Libor + 6.00%/Q),0,10/29/2018,0,57.8,56.6
615,Centric Brands Inc. (fka Differential Brands Group Inc.),"Designer, marketer and distributor of licensed and owned apparel","Common stock (3,077,875 shares)",0,0,10/29/2018,0,24.6,16.0
617,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (17)",Footwear and orthopedic foot-care brand,First lien senior secured revolving loan ($0.3 par due 11/2025),7.56% (Libor + 5.75%/M),0,11/1/2019,0,0.3,0.3
618,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (17)",Footwear and orthopedic foot-care brand,First lien senior secured loan ($30.4 par due 11/2025),7.55% (Libor + 5.75%/M),0,11/1/2019,0,30.4,30.1
619,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (17)",Footwear and orthopedic foot-care brand,"Common stock (8,549 shares)",0,0,11/1/2019,0,8.5,8.5
621,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (421 units),0,0,4/24/2014,0,4.2,0.0
622,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($102.6 par due 4/2024),8.20% (Libor + 6.25%/Q),0,6/1/2017,0,102.6,99.6
623,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($14.0 par due 4/2024),8.20% (Libor + 6.25%/Q),0,6/1/2017,0,14.0,13.6
624,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($1.3 par due 4/2024),8.20% (Libor + 6.25%/Q),0,6/30/2016,0,1.3,1.2
625,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($5.0 par due 4/2024),8.20% (Libor + 6.25%/Q),0,7/17/2018,0,5.0,4.8
627,"Pelican Products, Inc.",Flashlights manufacturer,Second lien senior secured loan ($27.3 par due 5/2026),9.49% (Libor + 7.75%/M),0,5/4/2018,0,27.1,27.1
628,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Class B common units (126,278,000 units)",0,0,10/30/2014,0,0.0,0.2
629,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Common units (1,116,879 units)",0,0,4/1/2011,0,0.0,0.0
630,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Warrant to purchase up to 3,157,895 units",0,0,4/1/2010,0,0.0,0.0
632,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,Second lien senior secured loan ($100.0 par due 4/2023),10.43% (Libor + 8.50%/Q),0,10/27/2015,0,98.9,85.0
634,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured revolving loan ($1.9 par due 5/2024),7.89% (Base Rate + 3.50%/M),0,5/21/2019,0,1.9,1.9
635,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured loan ($19.6 par due 5/2024),6.71% (Libor + 4.75%/Q),0,5/21/2019,0,19.5,19.6
636,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)","Developer, marketer and distributor of sports protection equipment and accessories","Preferred units (14,591 units)",13.00% PIK,0,5/14/2019,0,1.6,1.6
637,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)","Developer, marketer and distributor of sports protection equipment and accessories","Class A preferred units (50,000 units)",0,0,3/14/2014,0,5.0,0.6
638,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(17)","Developer, marketer and distributor of sports protection equipment and accessories","Class C preferred units (50,000 units)",0,0,4/22/2015,0,5.0,0.6
640,"Simpson Performance Products, Inc.",Provider of motorsports safety equipment,First lien senior secured loan ($28.3 par due 2/2023),8.20% (Libor + 6.26%/Q),0,2/20/2015,0,28.3,28.3
641,"Singer Sewing Company, SVP-Singer Holdings, LLC and SVP-Singer Holdings LP (5)(17)",Manufacturer of consumer sewing machines,First lien senior secured revolving loan ($71.9 par due 3/2023),11.10% (Libor + 9.00%/Q),0,7/26/2017,0,71.9,71.9
642,"Singer Sewing Company, SVP-Singer Holdings, LLC and SVP-Singer Holdings LP (5)(17)",Manufacturer of consumer sewing machines,First lien senior secured loan ($193.3 par due 3/2023),5.00% (Libor + 3.09%/Q),0,7/26/2017,0,174.6,158.3
643,"Singer Sewing Company, SVP-Singer Holdings, LLC and SVP-Singer Holdings LP (5)(17)",Manufacturer of consumer sewing machines,"Class A common units (6,500,000 units)",0,0,7/26/2017,0,0.0,0.0
645,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($2.2 par due 12/2024),7.79% (Libor + 6.00%/Q),0,12/23/2019,0,2.2,2.2
646,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($1.6 par due 6/2024),5.79% (Libor + 4.00%/M),0,12/23/2019,0,1.6,1.6
647,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products","Common stock (861,000 shares)",0,0,12/23/2019,0,6.0,6.0
649,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($21.1 par due 12/2025),10.05% (Libor + 8.25%/M),0,7/30/2018,0,21.1,21.1
650,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($122.7 par due 12/2025),10.05% (Libor + 8.25%/M),0,12/15/2017,0,122.7,122.7
651,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods","Class A units (1,400 units)",0,0,7/30/2018,0,1.4,1.2
655,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,Senior subordinated loan ($23.8 par due 8/2022),11.44% (Libor + 9.75%/M),0,5/10/2012,0,23.8,23.8
656,DFC Global Facility Borrower III LLC (17),Non-bank provider of alternative financial services,First lien senior secured revolving loan ($120.8 par due 9/2024),12.44% (Libor + 10.75%/M),0,8/9/2019,0,120.8,120.2
657,"Financial Asset Management Systems, Inc. and FAMS Holdings, Inc. (4)",Debt collection services provider,Common stock (180 shares),0,0,1/11/2017,0,0.0,0.0
658,"Green Street Parent, LLC and Green Street Intermediate Holdings, LLC (17)",Provider of REIT research data and analytics,First lien senior secured loan ($3.5 par due 8/2026),7.05% (Libor + 5.25%/M),0,8/27/2019,0,3.5,3.5
659,"Ivy Hill Asset Management, L.P. (5)",Asset management services,Member interest (100.00% interest),0,0,6/15/2009,0,444.0,520.7
660,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC",Asset-backed financial services company,First lien senior secured loan ($16.0 par due 6/2017),0,0,6/24/2014,0,13.4,3.4
661,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (5)(17),Specialty finance company,First lien senior secured loan ($0.6 par due 12/2022),5.95% (Libor + 4.00%/Q),0,12/27/2018,0,0.6,0.6
662,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (5)(17),Specialty finance company,Equity interests,0,0,11/29/2010,0,12.7,2.9
664,LS DE LLC and LM LSQ Investors LLC,Asset based lender,Senior subordinated loan ($37.0 par due 3/2024),10.5%,0,6/25/2015,0,37.0,37.0
665,LS DE LLC and LM LSQ Investors LLC,Asset based lender,Senior subordinated loan ($3.0 par due 6/2021),10.5,%,0,6/15/2017,3.0,3.0
666,LS DE LLC and LM LSQ Investors LLC,Asset based lender,"Membership units (3,275,000 units)",0,0,6/25/2015,0,3.3,4.9
668,"Rialto Management Group, LLC (17)",Investment and asset management platform focused on real estate,First lien senior secured revolving loan,0,0,11/30/2018,0,0.0,0.0
670,"Rialto Management Group, LLC (17)",Investment and asset management platform focused on real estate,First lien senior secured loan ($0.9 par due 12/2024),6.30% (Libor + 4.50%/M),0,11/30/2018,0,0.9,0.9
672,"TA/WEG Holdings, LLC (17)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.2 par due 10/2025),7.77% (Libor + 6.00%/M),0,10/2/2019,0,0.2,0.2
673,"TA/WEG Holdings, LLC (17)",Wealth management and financial planning firm,First lien senior secured loan ($9.5 par due 10/2025),7.69% (Libor + 6.00%/M),0,10/2/2019,0,9.5,9.4
675,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",Provider of asset-servicing capabilities for fund managers,First lien senior secured revolving loan ($1.9 par due 2/2024),8.25% (Base Rate + 3.50%/Q),0,2/1/2019,0,1.9,1.8
676,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",Provider of asset-servicing capabilities for fund managers,First lien senior secured loan ($38.6 par due 2/2026),6.30% (Libor + 4.50%/M),0,2/1/2019,0,38.6,37.8
677,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",Provider of asset-servicing capabilities for fund managers,"Class A units (1,443 units)",8.00% PIK,0,2/1/2019,0,1.5,1.5
678,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",Provider of asset-servicing capabilities for fund managers,Class A units (245 units),0,0,2/1/2019,0,0.2,0.0
679,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",Provider of asset-servicing capabilities for fund managers,"Class B units (2,167,424 units)",0,0,2/1/2019,0,0.0,0.0
680,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (17)",Provider of asset-servicing capabilities for fund managers,"Class B units (245,194 units)",0,0,2/1/2019,0,0.0,0.0
684,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,Second lien senior secured loan ($45.0 par due 10/2022),9.80% (Libor + 8.00%/M),0,4/7/2015,0,45.0,45.0
685,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,"Class A common stock (10,000 shares)",0,0,4/7/2015,0,0.1,0.7
686,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,"Class B common stock (20,000 shares)",0,0,4/7/2015,0,0.2,1.4
688,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(17)",Restoration parts and accessories provider for classic automobiles,First lien senior secured revolving loan ($5.2 par due 5/2022),12.00% PIK,0,7/12/2012,0,5.2,4.4
689,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(17)",Restoration parts and accessories provider for classic automobiles,First lien senior secured loan ($20.6 par due 5/2022),12.00% PIK,0,7/12/2012,0,20.6,17.5
690,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(17)",Restoration parts and accessories provider for classic automobiles,"Class A common units (67,972 units)",0,0,7/12/2012,0,16.4,0.0
692,"GB Auto Service Holdings, LLC (17)",Automotive parts and repair services retailer,First lien senior secured revolving loan ($3.0 par due 10/2024),8.22% (Libor + 6.50%/M),0,10/19/2018,0,3.0,3.0
693,"GB Auto Service Holdings, LLC (17)",Automotive parts and repair services retailer,First lien senior secured loan ($22.2 par due 10/2024),8.30% (Libor + 6.50%/M),0,10/19/2018,0,22.2,21.9
694,"GB Auto Service Holdings, LLC (17)",Automotive parts and repair services retailer,First lien senior secured loan ($27.2 par due 10/2024),8.30% (Libor + 6.50%/M),0,10/19/2018,0,27.2,26.9
695,"GB Auto Service Holdings, LLC (17)",Automotive parts and repair services retailer,"Common units (4,084,227 units)",0,0,10/19/2018,0,5.2,5.5
697,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (17)",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured revolving loan ($0.0 par due 12/2023),4.78% (Libor + 2.50%/Q),0,12/21/2018,0,0.0,0.0
698,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (17)",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured loan ($154.5 par due 12/2025),6.80% (Libor + 5.00%/M),0,12/21/2018,0,153.9,153.0
699,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (17)",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured loan ($11.6 par due 12/2025),6.80% (Libor + 5.00%/M),0,12/21/2018,0,11.6,11.5
700,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (17)",Manufacturer and supplier for the power utility and automotive markets worldwide,"Preferred units (59,453 units)","4.50% Cash, 9.25% PIK",0,10/9/2015,0,69.6,69.6
702,"Mavis Tire Express Services Corp. and Mavis Tire Express Services TopCo, L.P. (17)",Auto parts retailer,Second lien senior secured loan ($153.9 par due 3/2026),9.29% (Libor + 7.50%/M),0,3/20/2018,0,152.0,152.4
703,"Mavis Tire Express Services Corp. and Mavis Tire Express Services TopCo, L.P. (17)",Auto parts retailer,Second lien senior secured loan ($1.4 par due 3/2026),9.29% (Libor + 7.50%/M),0,3/20/2018,0,1.4,1.4
704,"Mavis Tire Express Services Corp. and Mavis Tire Express Services TopCo, L.P. (17)",Auto parts retailer,"Class A units (12,400,000 units)",0,0,3/20/2018,0,12.4,11.8
707,"SK SPV IV, LLC",Collision repair site operator,"Series A common stock (12,500 units)",0,0,8/18/2014,0,0.6,1.5
708,"SK SPV IV, LLC",Collision repair site operator,"Series B common stock (12,500 units)",0,0,8/18/2014,0,0.6,1.5
710,"Wand Newco 3, Inc. (dba Caliber Collision)",Collision repair company,Second lien senior secured loan ($180.2 par due 2/2027),8.96% (Libor + 7.25%/M),0,2/5/2019,0,177.4,180.2
713,"AEP Holdings, Inc. and Arrowhead Holdco Company","Distributor of non-discretionary, mission-critical aftermarket replacement parts",First lien senior secured loan ($26.6 par due 8/2021),7.91% (Libor + 6.00%/Q),0,6/28/2018,0,27.2,25.3
714,"AEP Holdings, Inc. and Arrowhead Holdco Company","Distributor of non-discretionary, mission-critical aftermarket replacement parts","Common stock (3,467 shares)",0,0,8/31/2015,0,3.5,2.4
716,"Cadence Aerospace, LLC (17)",Aerospace precision components manufacturer,First lien senior secured revolving loan ($5.0 par due 11/2022),9.90% (Base Rate + 5.50%/Q),0,11/14/2017,0,5.0,4.9
717,"Cadence Aerospace, LLC (17)",Aerospace precision components manufacturer,First lien senior secured loan ($31.9 par due 11/2023),8.43% (Libor + 6.50%/Q),0,11/14/2017,0,31.6,31.9
718,"Cadence Aerospace, LLC (17)",Aerospace precision components manufacturer,First lien senior secured loan ($12.1 par due 11/2023),8.43% (Libor + 6.50%/Q),0,10/31/2019,0,12.1,12.1
719,"Cadence Aerospace, LLC (17)",Aerospace precision components manufacturer,First lien senior secured loan ($9.9 par due 11/2023),8.43% (Libor + 6.50%/Q),0,7/5/2018,0,9.9,9.9
721,Creation Holdings Inc. (17),Manufacturer of electrical systems,First lien senior secured revolving loan,0,0,8/15/2019,0,0.0,0.0
722,Creation Holdings Inc. (17),Manufacturer of electrical systems,First lien senior secured loan ($35.8 par due 8/2025),7.50% (Libor + 5.75%/Q),0,8/15/2019,0,35.5,35.4
724,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($177.4 par due 2/2022),7.55% (Libor + 5.75%/M),0,7/26/2017,0,177.4,175.6
725,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($4.6 par due 3/2022),7.55% (Libor + 5.75%/M),0,3/1/2017,0,4.6,4.5
727,"ESCP PPG Holdings, LLC (4)",Distributor of new equipment and aftermarket parts to the heavy-duty truck industry,"Class A units (3,500,000 units)",0,0,12/14/2016,0,3.5,2.9
728,"Flow Control Solutions, Inc. (17)",Distributor and manufacturer of flow control systems components,First lien senior secured loan ($10.9 par due 11/2024),7.20% (Libor + 5.25%/Q),0,11/21/2018,0,10.9,10.9
729,"Harvey Tool Company, LLC (17)",Manufacturer of cutting tools used in the metalworking industry,First lien senior secured revolving loan,0,0,10/12/2017,0,0.0,0.0
730,"Harvey Tool Company, LLC (17)",Manufacturer of cutting tools used in the metalworking industry,First lien senior secured loan ($30.3 par due 10/2024),6.70% (Libor + 4.75%/Q),0,10/12/2017,0,30.3,30.3
731,"Harvey Tool Company, LLC (17)",Manufacturer of cutting tools used in the metalworking industry,Second lien senior secured loan ($43.7 par due 10/2025),10.50% (Libor + 8.50%/Q),0,10/12/2017,0,43.7,43.7
733,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,Senior subordinated loan ($8.3 par due 6/2022),14.00%,0,1/3/2017,0,8.2,8.3
734,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,Senior subordinated loan ($8.3 par due 6/2022),14.00%,0,1/3/2017,0,8.2,8.3
735,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,"Series A preferred stock (66,424,135 shares)",0,0,1/3/2017,0,0.0,17.7
736,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,"Class A common stock (33,173 shares)",0,0,1/3/2017,0,0.0,0.0
737,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,"Class B common stock (134,214 shares)",0,0,1/3/2017,0,0.0,0.2
