,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,,Fair Value,,Percentage of Net Assets,,,
696,"Pelican Products, Inc. (16)",Flashlights manufacturer,Second lien senior secured loan ($60.0 par due 12/2029),8.76% (LIBOR + 7.75%/Q),12/31/2021,60.0,,,59.4,,(2)(12),,
697,"Rawlings Sporting Goods Company, Inc. and Easton Diamond Sports, LLC",Sports equipment manufacturing company,First lien senior secured loan ($8.8 par due 12/2026),7.76% (LIBOR + 6.75%/Q),11/3/2021,8.8,,,8.8,,(2)(12),,
698,,,First lien senior secured loan ($92.9 par due 12/2026),7.76% (LIBOR + 6.75%/Q),12/31/2020,92.9,,,92.9,,(2)(12),,
700,"Reef Lifestyle, LLC (16)",Apparel retailer,First lien senior secured revolving loan ($30.6 par due 10/2024),"7.50% (LIBOR + 4.50% Cash, 2.00% PIK/M)",10/26/2018,30.6,,,30.6,,(2)(12)(15),,
701,,,First lien senior secured revolving loan ($0.7 par due 10/2024),"7.50% (LIBOR + 4.50% Cash, 2.00% PIK/M)",7/31/2020,0.7,,,0.7,,(2)(12),,
702,,,First lien senior secured loan ($24.6 par due 10/2024),"7.50% (LIBOR + 4.50% Cash, 2.00% PIK/Q)",10/26/2018,24.6,,,24.6,,(12),,
703,,,First lien senior secured loan ($1.1 par due 10/2024),"7.50% (LIBOR + 4.50% Cash, 2.00% PIK/Q)",7/31/2020,1.1,,,1.1,,(12),,
705,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Common units (1,116,879 units)",,4/1/2011,0,,,0,,,,
706,,,"Class B common units (126,278,000 units)",,10/30/2014,0,,,0.2,,,,
707,,,"Warrant to purchase up to 3,157,895 units",,4/1/2010,0,,,0,,,,
709,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,Second lien senior secured loan ($119.1 par due 10/2024),9.54% PIK (LIBOR + 8.54%/Q),10/27/2015,118.5,,,101.3,,(2)(12),,
710,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(16)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured revolving loan,,5/21/2019,0,,,0,,(14),,
711,,,First lien senior secured loan ($19.1 par due 05/2024),5.75% (SOFR + 4.75%/Q),5/21/2019,19.1,,,19.1,,(2)(12),,
712,,,"Class A preferred units (50,000 units)",,3/14/2014,5.0,,,1.4,,(2),,
713,,,"Class C preferred units (50,000 units)",,4/22/2015,5.0,,,1.4,,(2),,
714,,,"Preferred units (14,591 units)",,5/14/2019,1.6,,,2.1,,(2),,
716,SVP-Singer Holdings Inc. and SVP-Singer Holdings LP,Manufacturer of consumer sewing machines,First lien senior secured loan ($44.8 par due 07/2028),7.76% (LIBOR + 6.75%/Q),7/30/2021,43.7,,,42.5,,(2)(12),,
717,,,"Class A common units (6,264,706 units)",,7/30/2021,26.1,,,24.2,,(2),,
719,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($1.6 par due 06/2024),5.00% (LIBOR + 4.00%/Q),12/23/2019,1.6,,,1.6,,(2)(12),,
720,,,First lien senior secured loan ($2.2 par due 12/2024),7.00% (LIBOR + 6.00%/Q),12/23/2019,2.2,,,1.8,,(2)(12),,
721,,,"Common stock (861,000 shares)",,12/23/2019,6.0,,,0,,,,
723,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($21.1 par due 12/2025),9.25% (LIBOR + 8.25%/M),7/30/2018,21.1,,,20.7,,(2)(12),,
724,,,Second lien senior secured loan ($122.7 par due 12/2025),9.25% (LIBOR + 8.25%/M),12/15/2017,122.7,,,120.3,,(12),,
725,,,"Class A Units (1,400 units)",,7/30/2018,1.4,,,0.9,,(2),,
728,,,,,,974.1,,,935.8,,,9.98%,
730,"AI Aqua Merger Sub, Inc.",End to end provider of water solutions to a wide range of customer bases,First lien senior secured loan ($1.0 par due 07/2028),4.25% (LIBOR + 3.75%/M),6/17/2021,1.0,,,1.0,,(2)(12)(19),,
731,"Arrowhead Holdco Company and Arrowhead GS Holdings, Inc. (16)","Distributor of non-discretionary, mission-critical aftermarket replacement parts",First lien senior secured revolving loan ($13.7 par due 08/2027),5.25% (LIBOR + 4.50%/M),8/31/2021,13.7,,,13.7,,(2)(12)(15),,
732,,,First lien senior secured loan ($8.3 par due 08/2028),5.25% (LIBOR + 4.50%/Q),8/31/2021,8.3,,,8.3,,(2)(12),,
733,,,"Common stock (5,054 shares)",,8/31/2021,5.1,,,8.6,,(2),,
735,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured revolving loan ($10.5 par due 11/2022),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",11/14/2017,10.5,,,10.2,,(2)(12)(15),,
736,,,First lien senior secured revolving loan ($0.8 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",7/22/2020,0.7,,,0.8,,(2)(12),,
737,,,First lien senior secured loan ($31.4 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",11/14/2017,31.3,,,30.4,,(12),,
738,,,First lien senior secured loan ($9.8 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",7/5/2018,9.8,,,9.5,,(2)(12),,
739,,,First lien senior secured loan ($11.9 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",10/31/2019,11.9,,,11.6,,(2)(12),,
740,,,First lien senior secured loan ($7.8 par due 11/2023),"9.51% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",2/12/2020,7.8,,,7.6,,(2)(12),,
741,,,First lien senior secured loan ($4.3 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",7/31/2020,4.1,,,4.2,,(12),,
743,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($166.3 par due 08/2023),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",7/26/2017,166.3,,,162.9,,(12),,
744,,,First lien senior secured loan ($4.3 par due 08/2023),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",3/1/2017,4.3,,,4.2,,(2)(12),,
745,,,First lien senior secured loan ($5.6 par due 08/2023),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",5/22/2020,5.6,,,5.5,,(12),,
747,"Dynamic NC Aerospace Holdings, LLC and Dynamic NC Investment Holdings, LP (16)",Provider of aerospace technology and equipment,First lien senior secured loan ($25.7 par due 12/2026),7.50% (LIBOR + 6.50%/Q),12/30/2020,25.7,,,25.4,,(12),,
748,,,"Common units (9,773,000 units)",,12/30/2020,9.8,,,9.5,,,,
750,"EPS NASS Parent, Inc. (16)",Provider of maintenance and engineering services for electrical infrastructure,First lien senior secured revolving loan ($1.0 par due 04/2026),6.75% (LIBOR + 5.75%/M),4/19/2021,1.0,,,1.0,,(2)(12)(15),,
751,,,First lien senior secured loan ($0.1 par due 04/2028),6.76% (LIBOR + 5.75%/Q),4/19/2021,0.1,,,0.1,,(2)(12),,
753,"ESCP PPG Holdings, LLC (4)",Distributor of new equipment and aftermarket parts to the heavy-duty truck industry,"Class A units (3,500,000 units)",,12/14/2016,3.5,,,1.8,,(2),,
755,"Harvey Tool Company, LLC (16)",Manufacturer of cutting tools used in the metalworking industry,First lien senior secured revolving loan ($2.5 par due 10/2027),6.51% (LIBOR + 5.50%/Q),10/26/2021,2.5,,,2.4,,(2)(12)(15),,
756,,,First lien senior secured loan ($22.7 par due 10/2027),6.51% (LIBOR + 5.50%/Q),10/26/2021,22.7,,,22.4,,(2)(12),,
758,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,Senior subordinated loan ($16.6 par due 06/2022),14.00%,1/3/2017,16.6,,,16.6,,(2),,
759,,,"Series A preferred stock (73,804,135 shares)",8.00% PIK,1/3/2017,4.9,,,50.2,,,,
760,,,"Class A common stock (48,082 shares)",,1/3/2017,0,,,0.2,,,,
761,,,"Class B common stock (431,055 shares)",,1/3/2017,0.1,,,2.2,,,,
763,"Kene Acquisition, Inc. and Kene Holdings, L.P. (16)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured revolving loan ($5.1 par due 08/2024),5.26% (LIBOR + 4.25%/Q),8/8/2019,5.1,,,5.1,,(2)(12)(15),,
764,,,First lien senior secured loan ($41.0 par due 08/2026),5.26% (LIBOR + 4.25%/Q),8/8/2019,41.0,,,41.0,,(12),,
765,,,"Class A units (4,549,000 units)",,8/8/2019,4.5,,,5.7,,(2),,
767,"Lower ACS, Inc. (16)",Provider of commercial HVAC equipment and services,First lien senior secured loan ($24.7 par due 01/2028),6.75% (LIBOR + 5.75%/Q),1/7/2022,24.7,,,24.5,,(2)(12),,
768,"LTG Acquisition, Inc.","Designer and manufacturer of display, lighting and passenger communication systems for mass transportation markets","Class A membership units (5,000 units)",,1/3/2017,5.1,,,0,,,,
769,"Maverick Acquisition, Inc. (16)",Manufacturer of precision machined components for defense and high-tech industrial platforms,First lien senior secured loan ($27.8 par due 06/2027),7.00% (LIBOR + 6.00%/Q),6/1/2021,27.8,,,27.0,,(2)(12),,
770,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,First lien senior secured loan ($11.7 par due 01/2025),4.51% (LIBOR + 3.50%/Q),6/24/2021,11.0,,,10.5,,(2)(12),,
771,,,Second lien senior secured loan ($23.6 par due 01/2026),10.01% (LIBOR + 9.00%/Q),5/28/2019,23.6,,,21.3,,(2)(12),,
772,,,Second lien senior secured loan ($68.4 par due 01/2026),10.01% (LIBOR + 9.00%/Q),1/22/2018,68.4,,,61.6,,(2)(12),,
774,"NCWS Intermediate, Inc. and NCWS Holdings LP (16)","Manufacturer and supplier of car wash equipment, parts and supplies to the conveyorized car wash market",First lien senior secured loan ($148.0 par due 12/2026),6.75% (LIBOR + 6.00%/M),11/4/2021,148.0,,,148.0,,(2)(12),,
775,,,First lien senior secured loan ($0.2 par due 12/2026),6.75% (LIBOR + 6.00%/M),12/29/2020,0.2,,,0.2,,(2)(12),,
776,,,"Class A-2 common units (12,296,000 units)",,12/29/2020,12.9,,,26.8,,(2),,
778,"Osmose Utilities Services, Inc. and Pine Intermediate Holding LLC",Provider of structural integrity management services to transmission and distribution infrastructure,Second lien senior secured loan ($55.3 par due 06/2029),7.25% (LIBOR + 6.75%/M),6/23/2021,55.3,,,54.7,,(2)(12),,
779,"Precinmac (US) Holdings Inc., Trimaster Manufacturing Inc. and Blade Group Holdings, LP. (16)",Manufacturer of high-tolerance precision machined components and assemblies for the aerospace and defense industry,First lien senior secured loan ($32.3 par due 08/2027),7.00% (LIBOR + 6.00%/M),8/31/2021,32.3,,,32.3,,(2)(6)(12),,
780,,,"Class A units (88,420 units)",,8/31/2021,13.4,,,16.3,,(2),,
782,"Radius Aerospace, Inc. and Radius Aerospace Europe Limited (16)",Metal fabricator in the aerospace industry,First lien senior secured revolving loan ($0.4 par due 03/2025),6.75% (SOFR + 5.75%/Q),3/29/2019,0.4,,,0.4,,(2)(6)(12),,
784,"Sunk Rock Foundry Partners LP, Hatteras Electrical Manufacturing Holding Company and Sigma Electric Manufacturing Corporation, Diecast Beacon (16)","Manufacturer of metal castings, precision machined components and sub-assemblies in the electrical products, power transmission and distribution and general industrial markets",First lien senior secured revolving loan,,10/31/2017,0,,,0,,(14),,
785,,,,,,841.0,,,885.7,,,9.44%,
787,"Apex Clean Energy TopCo, LLC (4)","Developer, builder and owner of utility-scale wind and solar power facilities","Class A common units (1,335,610 units)",,11/17/2021,80.5,,,79.1,,,,
788,"Ferrellgas, L.P.",Distributor of propane and related accessories,"Senior preferred units (55,708 units)",8.96%,3/30/2021,55.7,,,55.7,,,,
789,"Heelstone Renewable Energy, LLC and Heelstone Renewable Energy Investors, LLC (5)(16)",Developer of utility scale solar systems,First lien senior secured loan ($60.5 par due 04/2024),8.00% (LIBOR + 7.00%/Q),4/14/2021,60.5,,,60.5,,(2)(12),,
790,,,Class A1 units (100 units),,4/14/2021,25.9,,,30.1,,,,
791,,,"Class A2 units (3,296,184 units)",,3/11/2022,3.8,,,2.9,,,,
793,Opal Fuels LLC,Owner of natural gas facilities,Senior subordinated loan ($53.8 par due 12/2026),8.00% PIK,5/1/2021,45.1,,,53.8,,,,
794,"PosiGen, Inc.",Seller and leaser of solar power systems for residential and commercial customers,"Warrant to purchase up to 101,555 shares of series D-1 preferred stock (expires 6/2028)",,6/10/2021,0,,,0,,,,
795,,,"Warrant to purchase up to 1,112,022 shares of common stock (expires 1/2027)",,1/29/2020,0,,,0,,,,
797,Potomac Intermediate Holdings II LLC (5),Gas turbine power generation facilities operator,"Series A units (220,884,442 units)",,11/9/2021,179.7,,,181.6,,,,
798,Riverview Power LLC,Operator of natural gas and oil fired power generation facilities,First lien senior secured loan ($53.1 par due 06/2024),10.01% (LIBOR + 9.00%/Q),8/30/2021,52.7,,,53.1,,(2)(12),,
799,"SE1 Generation, LLC",Solar power developer,Senior subordinated loan ($59.7 par due 12/2022),"4.75% Cash, 5.50% PIK",12/17/2019,59.7,,,59.7,,(2),,
800,"Sunrun Atlas Depositor 2019-2, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,First lien senior secured loan ($0.1 par due 02/2055),3.61%,10/28/2019,0.1,,,0.1,,(2),,
801,,,Senior subordinated loan ($143.5 par due 11/2025),"8.75% (LIBOR + 2.75% Cash, 4.00% PIK/Q)",11/26/2019,143.5,,,143.5,,(2)(12),,
803,"Sunrun Luna Holdco 2021, LLC (16)",Residential solar energy provider,Senior subordinated revolving loan,4.29% (SOFR + 3.50%/Q),3/23/2022,45.0,,,44.6,,(2)(6),,
804,,,Senior subordinated revolving loan,8.67% (SOFR + 7.88%/Q),3/23/2022,30.0,,,29.7,,(2)(6),,
806,"Sunrun Xanadu Issuer 2019-1, LLC and Sunrun Xanadu Holdings 2019-1, LLC",Residential solar energy provider,First lien senior secured loan ($0.4 par due 06/2054),3.98%,6/7/2019,0.4,,,0.4,,(2),,
807,,,Senior subordinated loan ($70.1 par due 07/2030),"8.75% (LIBOR + 3.98% Cash, 2.77% PIK/Q)",6/27/2019,70.1,,,70.1,,(2)(12),,
809,,,,,,852.7,,,864.9,,,9.22%,
811,"Automotive Keys Group, LLC and Automotive Keys Investor, LLC",Provider of replacement wireless keys for automotive market,First lien senior secured loan ($0.1 par due 11/2025),6.01% (LIBOR + 5.00%/Q),12/17/2021,0.1,,,0.1,,(2)(12),,
812,,,"Preferred units (4,113,113 units)",9.00% PIK,11/6/2020,4.6,,,3.3,,(2),,
814,,,"Class A common units (4,113,113 units)",,11/6/2020,0,,,0,,,,
816,"Continental Acquisition Holdings, Inc.","Distributor of aftermarket batteries to the electric utility vehicle, automotive, commercial, marine and industrial markets",First lien senior secured loan ($26.6 par due 01/2027),7.76% (LIBOR + 6.75%/Q),1/20/2021,26.6,,,26.6,,(12),,
817,,,First lien senior secured loan ($5.4 par due 01/2027),7.75% (LIBOR + 6.75%/Q),12/22/2021,5.4,,,5.4,,(2)(12),,
818,,,First lien senior secured loan ($9.8 par due 01/2027),7.75% (LIBOR + 6.75%/Q),1/20/2021,9.8,,,9.8,,(2)(12),,
820,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(16)",Restoration parts and accessories provider for classic automobiles,First lien senior secured revolving loan ($9.7 par due 05/2022),,7/12/2012,9.2,,,6.0,,(2)(11),,
821,,,First lien senior secured loan ($27.1 par due 05/2022),,7/12/2012,25.5,,,16.8,,(2)(11),,
822,,,"Class A common units (67,972 units)",,7/12/2012,16.4,,,0,,,,
824,"Faraday&Future Inc., FF Inc., Faraday SPE, LLC and Faraday Future Intelligent Electric Inc.",Electric vehicle manufacturer,"Warrant to purchase up to 633,008 shares of Class A common stock (expires 8/2027)",,8/5/2021,2.3,,,1.0,,(2),,
825,"Highline Aftermarket Acquisition, LLC, Highline Aftermarket SC Acquisition, Inc. and Highline PPC Blocker LLC (16)",Manufacturer and distributor of automotive fluids,First lien senior secured revolving loan ($6.8 par due 11/2025),4.15% (LIBOR + 3.75%/M),11/9/2020,6.8,,,6.4,,(2)(15),,
826,,,First lien senior secured loan ($11.9 par due 11/2027),5.25% (LIBOR + 4.50%/Q),3/30/2022,11.3,,,11.3,,(12),,
827,,,Second lien senior secured loan ($70.4 par due 11/2028),8.75% (LIBOR + 8.00%/Q),11/9/2020,70.4,,,66.1,,(2)(12),,
828,,,"Co-invest units (59,230 units)",,11/4/2020,5.9,,,3.6,,(2),,
830,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured loan ($106.2 par due 12/2025),5.88% (LIBOR + 5.25%/M),12/21/2018,105.9,,,106.2,,(12),,
831,,,First lien senior secured loan ($19.1 par due 12/2025),5.88% (LIBOR + 5.25%/M),12/21/2018,19.1,,,19.1,,(2)(12),,
832,,,"Preferred units (59,453 units)",13.75% (4.50% Cash + 9.25% PIK),10/9/2015,75.7,,,75.7,,(2),,
834,"Mavis Tire Express Services Topco Corp., Metis Holdco, Inc. and Metis Topco, LP (16)",Auto parts retailer,First lien senior secured revolving loan ($19.7 par due 05/2026),4.22% (LIBOR + 3.75%/Q),5/4/2021,19.7,,,19.7,,(2)(15),,
835,,,"Series A preferred stock (68,601 shares)",7.00% PIK,5/4/2021,73.1,,,73.0,,(2)(19),,
836,,,"Class A-1 units (24,586 units)",,5/4/2021,24.6,,,29.2,,(2),,
838,McLaren Group Limited,Automobile manufacturer and retailer,"Senior preference shares (200,000 shares)",12.50% PIK,8/2/2021,22.1,,,27.6,,(2)(6),,
839,,,"Warrant to purchase up to 49,181 ordinary shares (expires 8/2028)",,8/2/2021,5.5,,,4.8,,(2)(6),,
840,,,"Warrant to purchase up to 13,776 ordinary shares (expires 8/2028)",,8/2/2021,1.6,,,1.3,,(2)(6),,
842,"SK SPV IV, LLC",Collision repair site operator,"Series A common stock (12,500 units)",,8/18/2014,0.6,,,0,,,,
843,,,"Series B common stock (12,500 units)",,8/18/2014,0.6,,,0,,,,
846,"Sun Acquirer Corp. and Sun TopCo, LP (16)",Automotive parts and repair services retailer,First lien senior secured loan ($33.2 par due 09/2028),6.76% (LIBOR + 5.75%/Q),9/8/2021,33.2,,,33.2,,(12),,
847,,,First lien senior secured loan ($21.0 par due 09/2028),6.76% (LIBOR + 5.75%/Q),9/8/2021,21.0,,,21.0,,(2)(12),,
848,,,First lien senior secured loan ($17.4 par due 09/2028),6.76% (LIBOR + 5.75%/Q),11/18/2021,17.4,,,17.4,,(2)(12),,
849,,,"Class A units (74,896 units)",,9/8/2021,7.5,,,9.7,,(2),,
851,"Wand Newco 3, Inc.",Collision repair company,Second lien senior secured loan ($180.2 par due 02/2027),7.71% (LIBOR + 7.25%/M),2/5/2019,178.3,,,176.6,,(2),,
852,,,,,,800.2,,,770.9,,,8.22%,
854,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,First lien senior secured loan ($116.9 par due 12/2022),,11/27/2006,0,,,0,,(11),,
856,"Aimbridge Acquisition Co., Inc.",Hotel operator,Second lien senior secured loan ($22.5 par due 02/2027),7.96% (LIBOR + 7.50%/M),2/1/2019,22.2,,,21.6,,(2),,
857,American Residential Services L.L.C. and Aragorn Parent Holdings LP (16),"Heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($0.4 par due 10/2025),3.70% (LIBOR + 3.25%/M),10/15/2020,0.4,,,0.4,,(2),,
858,,,First lien senior secured revolving loan ($0.8 par due 10/2025),5.75% (Prime + 2.25%/M),10/15/2020,0.8,,,0.8,,(2),,
859,,,Second lien senior secured loan ($56.4 par due 10/2028),9.51% (LIBOR + 8.50%/Q),10/15/2020,56.4,,,56.4,,(2)(12),,
860,,,"Series A preferred units (2,531,500 units)",10.00% PIK,10/15/2020,2.8,,,4.1,,(2),,
862,"ATI Restoration, LLC (16)",Provider of disaster recovery services,First lien senior secured revolving loan ($9.2 par due 07/2026),6.25% (LIBOR + 5.25%/Q),7/31/2020,9.2,,,9.2,,(2)(12)(15),,
863,,,First lien senior secured loan ($33.2 par due 07/2026),6.25% (LIBOR + 5.25%/Q),7/31/2020,33.2,,,33.2,,(12),,
865,"Belfor Holdings, Inc. (16)",Disaster recovery services provider,First lien senior secured revolving loan ($0.3 par due 04/2024),5.75% (Base Rate + 2.25%/Q),4/4/2019,0.3,,,0.3,,(2),,
866,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($68.2 par due 05/2023),11.76% (LIBOR + 10.75%/Q),5/30/2018,67.5,,,61.4,,(2)(12),,
867,,,First lien senior secured loan ($15.2 par due 05/2023),11.76% (LIBOR + 10.75%/Q),11/5/2018,15.2,,,13.7,,(2)(12),,
868,,,First lien senior secured loan ($15.5 par due 05/2023),11.76% PIK (LIBOR + 10.75%/Q),7/3/2019,15.3,,,13.9,,(2)(12),,
869,,,First lien senior secured loan ($20.0 par due 05/2023),11.76% (LIBOR + 10.75%/Q),12/27/2019,19.1,,,18.0,,(2)(12),,
870,,,First lien senior secured loan ($3.0 par due 05/2023),11.76% (LIBOR + 10.75%/Q),8/20/2018,3.0,,,2.7,,(2)(12),,
871,,,First lien senior secured loan ($4.9 par due 05/2023),11.76% (LIBOR + 10.75%/Q),6/30/2020,4.9,,,4.4,,(2)(12),,
872,,,First lien senior secured loan ($30.0 par due 05/2023),11.76% (LIBOR + 10.75%/Q),12/22/2020,29.0,,,27.0,,(2)(12),,
873,,,Warrant to purchase up to 718.66 shares (expires 3/2041),,3/21/2021,2.1,,,3.4,,(2)(6),,
876,Concert Golf Partners Holdco LLC (16),Golf club owner and operator,First lien senior secured revolving loan ($0.7 par due 03/2028),6.59% (SOFR + 5.75%/Q),3/31/2022,0.7,,,0.7,,(2)(12),,
877,,,First lien senior secured loan ($10.7 par due 04/2029),6.59% (SOFR + 5.75%/Q),3/31/2022,10.7,,,10.6,,(2)(12),,
879,Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC (16),Provider of plumbing and HVAC services,First lien senior secured revolving loan,,11/16/2020,0,,,0,,(14),,
880,,,First lien senior secured loan ($0.9 par due 11/2026),6.75% (LIBOR + 5.75%/Q),11/24/2021,0.9,,,0.9,,(2)(12),,
881,,,First lien senior secured loan ($48.6 par due 11/2026),6.75% (LIBOR + 5.75%/Q),11/16/2020,48.6,,,48.6,,(2)(12),,
882,,,First lien senior secured loan ($80.2 par due 11/2026),6.75% (LIBOR + 5.75%/Q),4/2/2021,80.2,,,80.2,,(2)(12),,
883,,,"Class A units (6,099 units)",,11/16/2020,20.9,,,32.1,,(2),,
885,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (16),Restaurant owner and operator,First lien senior secured revolving loan ($7.5 par due 02/2022),,2/1/2017,0,,,0,,(11),,
886,,,First lien senior secured loan ($21.6 par due 02/2022),,2/1/2017,0,,,0,,(11),,
888,"Jenny C Acquisition, Inc.",Health club franchisor,Senior subordinated loan ($1.4 par due 04/2025),8.00% PIK,4/5/2019,1.4,,,1.4,,(2),,
889,"Jim N Nicks Management, LLC (16)",Restaurant owner and operator,First lien senior secured revolving loan ($1.8 par due 07/2023),6.26% (LIBOR + 5.25%/Q),7/10/2017,1.8,,,1.8,,(2)(12),,
890,,,First lien senior secured loan ($14.7 par due 07/2023),6.26% (LIBOR + 5.25%/Q),7/10/2017,14.7,,,14.7,,(2)(12),,
892,"KeyStone Sub-debt HoldCo, LLC",Planet Fitness franchisee,Senior subordinated loan ($7.4 par due 01/2027),10.00% PIK,9/30/2021,7.4,,,7.4,,(2),,
893,,,Senior subordinated loan ($55.7 par due 01/2027),10.00% PIK,1/20/2021,52.7,,,55.7,,(2),,
894,,,Warrant to purchase up to 24.7581 Class C interests (expires 1/2027),,1/20/2021,3.6,,,5.4,,(2),,
896,"Len the Plumber, LLC, LTP Neffsville, LLC, LTP of NJ, LLC, LTP LSI, LLC, LTP RB, LLC and Precision Air of Georgia, LLC",Provider of plumbing services,First lien senior secured loan ($15.9 par due 02/2026),7.00% (SOFR + 6.00%/M),10/14/2021,15.9,,,15.9,,(2)(12),,
897,"LSP Holdco, LLC and ZBS Mechanical Group Co-Invest Fund 2, LLC (16)",Provider of residential HVAC and plumbing services,First lien senior secured loan ($19.4 par due 10/2026),7.00% (LIBOR + 6.00%/Q),10/7/2021,19.4,,,19.2,,(2)(12),,
898,,,"Membership interest (2,771,000 interests)",,10/7/2021,2.8,,,7.3,,,,
900,ME Equity LLC,Franchisor in the massage industry,"Common stock (3,000,000 shares)",,9/27/2012,3.0,,,3.1,,(2),,
901,Movati Athletic (Group) Inc.,Premier health club operator,First lien senior secured loan ($5.6 par due 10/2024),"7.45% (CDOR + 3.70% Cash, 0.50% PIK/Q)",10/5/2017,5.4,,,5.1,,(2)(6)(12),,
902,"OTG Management, LLC",Airport restaurant operator,"Class A preferred units (3,000,000 units)",,8/26/2016,25.3,,,13.1,,(2),,
903,,,"Common units (3,000,000 units)",,1/5/2011,3.0,,,0,,,,
904,,,Warrant to purchase up to 7.73% of common units,,6/19/2008,0.1,,,0,,,,
906,"Pyramid Management Advisors, LLC and Pyramid Investors, LLC (16)",Hotel operator,First lien senior secured revolving loan ($9.6 par due 07/2023),"8.00% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",4/12/2018,9.6,,,9.1,,(2)(12)(15),,
908,,,First lien senior secured loan ($16.8 par due 07/2023),"8.01% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",4/12/2018,16.8,,,16.0,,(12),,
909,,,First lien senior secured loan ($1.4 par due 07/2023),"8.01% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",4/12/2018,1.4,,,1.4,,(2)(12),,
910,,,First lien senior secured loan ($6.4 par due 07/2023),"8.00% (LIBOR + 5.75% Cash, 1.25% PIK/Q)",12/27/2019,6.4,,,6.0,,(2)(12),,
911,,,"Preferred membership units (996,833 units)",,7/15/2016,1.0,,,0.8,,,,
913,"Redwood Services, LLC and Redwood Services Holdco, LLC (16)",Provider of residential HVAC and plumbing services,First lien senior secured loan ($1.0 par due 12/2025),8.00% (LIBOR + 7.00%/M),12/22/2021,1.0,,,1.0,,(2)(12),,
914,,,First lien senior secured loan ($12.5 par due 12/2025),8.00% (LIBOR + 7.00%/M),12/31/2020,12.5,,,12.5,,(2)(12),,
915,,,"Series D units (9,210,087 units)",8.00% PIK,12/31/2020,9.6,,,11.9,,,,
917,"Safe Home Security, Inc., Security Systems Inc., Safe Home Monitoring, Inc., National Protective Services, Inc., Bright Integrations LLC and Medguard Alert, Inc. (16)",Provider of safety systems for business and residential customers,First lien senior secured loan ($48.2 par due 08/2024),8.25% (LIBOR + 7.25%/M),8/4/2020,48.2,,,48.2,,(2)(12),,
918,"SV-Burton Holdings, LLC and LBC Breeze Holdings LLC (16)",Provider of HVAC and plumbing services to residential and commercial customers,First lien senior secured loan ($8.2 par due 12/2027),6.50% (LIBOR + 5.50%/M),12/6/2021,8.2,,,8.1,,(2)(12),,
919,,,"Class A units (4,296 units)",,12/6/2021,4.3,,,4.3,,,,
921,"Taymax Group, L.P., Taymax Group G.P., LLC, PF Salem Canada ULC and TCP Fit Parent, L.P. (16)",Planet Fitness franchisee,First lien senior secured revolving loan ($0.6 par due 07/2024),"6.25% (LIBOR + 4.75% Cash, 0.50% PIK/Q)",7/31/2018,0.6,,,0.6,,(2)(12),,
