,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,,
675,,,"Warrant to purchase up to 1,112,022 shares of common stock (expires 1/2027)",,1/29/2020,0,,,0,,(2),,,,
677,Riverview Power LLC,Operator of natural gas and oil fired power generation facilities,First lien senior secured loan ($74.6 par due 12/2022),9.00% (Libor + 8.00%/Q),12/29/2016,74.0,,,67.1,,(2)(13),,,,
678,"SE1 Generation, LLC",Solar power developer,Senior subordinated loan ($57.2 par due 12/2022),"4.00% Cash, 5.50% PIK",12/17/2019,57.2,,,54.3,,(2),,,,
679,"Sunrun Atlas Depositor 2019-2, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,First lien senior secured loan ($0.1 par due 2/2055),3.61%,10/28/2019,0.1,,,0.1,,(2),,,,
680,,,Senior subordinated loan ($139.6 par due 11/2025),"8.75% (Libor + 2.75% Cash, 4.00% PIK/Q)",11/26/2019,139.6,,,139.6,,(2)(13),,,,
682,"Sunrun Xanadu Issuer 2019-1, LLC and Sunrun Xanadu Holdings 2019-1, LLC",Residential solar energy provider,First lien senior secured loan ($0.4 par due 6/2054),3.98%,6/7/2019,0.4,,,0.4,,(2),,,,
683,,,Senior subordinated loan ($68.1 par due 7/2030),"8.75% (Libor + 3.98% Cash, 2.77% PIK/Q)",6/27/2019,68.1,,,68.1,,(2)(13),,,,
685,,,,,,875.4,,,864.8,,,10.7,%,,
687,"Automotive Keys Group, LLC and Automotive Keys Investor, LLC",Provider of replacement wireless keys for automotive market,"Preferred units (4,113,113 units)",9.00% PIK,11/6/2020,4.3,,,4.3,,(2),,,,
688,,,"Class A common units (4,113,113 units)",,11/6/2020,0,,,0.2,,(2),,,,
691,"Continental Acquisition Holdings, Inc. (17)","Distributor of aftermarket batteries to the electric utility vehicle, automotive, commercial, marine and industrial markets",First lien senior secured loan ($26.8 par due 1/2027),7.00% (Libor + 6.00%/Q),1/20/2021,26.8,,,26.6,,(2)(13),,,,
692,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(17)",Restoration parts and accessories provider for classic automobiles,First lien senior secured revolving loan ($3.4 par due 5/2022),12.00% PIK,7/12/2012,3.4,,,3.4,,(2),,,,
693,,,First lien senior secured loan ($24.8 par due 5/2022),12.00% PIK,7/12/2012,24.7,,24.8,(2),,,,,,
694,,,"Class A common units (67,972 units)",,7/12/2012,16.4,,,0.1,,(2),,,,
696,"Faraday&Future Inc., FF Inc. and Faraday SPE, LLC",Electric vehicle manufacturer,Senior subordinated loan ($52.0 par due 3/2022),14.00% PIK,3/1/2021,52.0,,,49.9,,(2),,,,
697,"GB Auto Service, Inc. and GB Auto Service Holdings, LLC (17)",Automotive parts and repair services retailer,First lien senior secured revolving loan ($6.1 par due 10/2024),7.00% (Libor + 6.00%/Q),10/19/2018,6.1,,,6.1,,(2)(13),,,,
698,,,First lien senior secured loan ($4.9 par due 10/2024),7.00% (Libor + 6.00%/Q),3/31/2021,4.9,,,4.9,,(2)(13),,,,
699,,,First lien senior secured loan ($7.5 par due 10/2024),7.00% (Libor + 6.00%/Q),5/21/2021,7.5,,,7.5,,(2)(13),,,,
700,,,First lien senior secured loan ($21.8 par due 10/2024),7.00% (Libor + 6.00%/Q),10/19/2018,21.8,,,21.8,,(13),,,,
701,,,First lien senior secured loan ($30.0 par due 10/2024),7.00% (Libor + 6.00%/Q),10/19/2018,30.0,,,30.0,,(13),,,,
702,,,First lien senior secured loan ($42.3 par due 10/2024),7.00% (Libor + 6.00%/Q),3/9/2020,42.3,,,42.3,,(2)(13),,,,
703,,,"Common units (4,389,156 units)",,10/19/2018,5.7,,,27.3,,(2),,,,
705,"Highline Aftermarket Acquisition, LLC, Highline Aftermarket SC Acquisition, Inc. and Highline PPC Blocker LLC (17)",Manufacturer and distributor of automotive fluids,First lien senior secured revolving loan ($3.1 par due 11/2025),3.83% (Libor + 3.75%/M),11/9/2020,3.1,,,3.0,,(2),,,,
706,,,Second lien senior secured loan ($70.4 par due 11/2028),8.75% (Libor + 8.00%/Q),11/9/2020,70.4,,,69.7,,(2)(13),,,,
707,,,"Co-invest units (59,230 units)",,11/4/2020,5.9,,,5.4,,(2),,,,
709,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured loan ($152.2 par due 12/2025),5.38% (Libor + 4.75%/M),12/21/2018,151.7,,,152.2,,(13),,,,
710,,,First lien senior secured loan ($19.2 par due 12/2025),5.38% (Libor + 4.75%/M),12/21/2018,19.2,,,19.2,,(2)(13),,,,
711,,,"Preferred units (59,453 units)","4.50% Cash, 9.25% PIK",10/9/2015,73.6,,,73.6,,,,,,
713,"Mavis Tire Express Services Topco Corp., Metis HoldCo, Inc., and Metis TopCo, LP (17)",Auto parts retailer,First lien senior secured revolving loan,,5/4/2021,0,,,0,,(2)(15),,,,
714,,,"Series A preferred stock (68,601 shares)",7.00% PIK,5/4/2021,69.4,,,67.3,,(2),,,,
715,,,"Class A-1 units (24,586 units)",,5/4/2021,24.6,,,24.6,,(2),,,,
717,"SK SPV IV, LLC",Collision repair site operator,"Series A common stock (12,500 units)",,8/18/2014,0.6,,,0.4,,(2),,,,
718,,,"Series B common stock (12,500 units)",,8/18/2014,0.6,,,0.4,,(2),,,,
720,"Wand Newco 3, Inc.",Collision repair company,Second lien senior secured loan ($180.2 par due 2/2027),7.34% (Libor + 7.25%/M),2/5/2019,178.0,,,178.4,,(2),,,,
721,,,,,,843.0,,843.4,,10.44,%,,,,
724,"Alera Group Intermediate Holdings, Inc.",Insurance service provider,Second lien senior secured loan ($50.6 par due 3/2026),8.60% (Libor + 8.50%/M),3/5/2019,50.6,,,50.6,,,,,,
725,Amynta Agency Borrower Inc. and Amynta Warranty Borrower Inc.,Insurance service provider,First lien senior secured loan ($1.0 par due 2/2025),4.60% (Libor + 4.50%/M),12/21/2018,1.0,,,1.0,,(2),,,,
726,"AQ Sunshine, Inc. (17)",Specialized insurance broker,First lien senior secured revolving loan ($0.4 par due 4/2024),7.00% (Libor + 6.00%/Q),4/15/2019,0.4,,,0.4,,(2)(13),,,,
727,,,First lien senior secured loan ($25.7 par due 4/2025),7.00% (Libor + 6.00%/Q),10/29/2020,25.7,,,25.7,,(2)(13),,,,
728,,,First lien senior secured loan ($1.4 par due 4/2025),7.00% (Libor + 6.00%/Q),6/28/2021,1.4,,,1.4,,(2)(13),,,,
729,,,First lien senior secured loan ($8.6 par due 4/2025),7.00% (Libor + 6.00%/Q),4/15/2019,8.6,,,8.6,,(13),,,,
731,Ardonagh Midco 2 plc and Ardonagh Midco 3 plc,Insurance broker and underwriting servicer,First lien senior secured loan ($70.1 par due 7/2026),"8.46% (GBP GBP Libor + 5.50% Cash, 2.21% PIK/Q)",6/26/2020,63.9,,,70.1,,(2)(6)(13),,,,
732,,,First lien senior secured loan ($14.8 par due 7/2026),"8.46% (GBP GBP Libor + 5.50% Cash, 2.21% PIK/S)",6/26/2020,14.7,,,14.8,,(2)(6)(13),,,,
733,,,First lien senior secured loan ($7.7 par due 7/2026),"8.71% (Euribor + 5.50% Cash, 2.21% PIK/Q)",6/26/2020,7.4,,,7.7,,(2)(6)(13),,,,
734,,,Senior subordinated loan ($1.2 par due 1/2027),11.50% PIK,6/26/2020,1.2,,,1.3,,(2)(6),,,,
736,Benecon Midco II LLC and Locutus Holdco LLC (17),Employee benefits provider for small and mid-size employers,"Common units (9,803,682 units)",,12/4/2020,10.0,,,13.0,,,,,,
737,"Foundation Risk Partners, Corp. (17)",Full service independent insurance agency,First lien senior secured loan ($3.8 par due 11/2023),5.75% (Libor + 4.75%/Q),12/30/2020,3.8,,,3.8,,(2)(13),,,,
738,,,First lien senior secured loan ($25.6 par due 11/2023),5.75% (Libor + 4.75%/Q),8/30/2019,25.6,,,25.6,,(13),,,,
739,,,Second lien senior secured loan ($40.8 par due 11/2024),9.50% (Libor + 8.50%/Q),8/9/2018,40.8,,,40.8,,(2)(13),,,,
740,,,Second lien senior secured loan ($27.4 par due 11/2024),9.50% (Libor + 8.50%/Q),5/1/2019,27.4,,,27.4,,(2)(13),,,,
741,,,Second lien senior secured loan ($14.8 par due 11/2024),9.50% (Libor + 8.50%/Q),8/30/2019,14.8,,,14.8,,(2)(13),,,,
742,,,Second lien senior secured loan ($27.5 par due 11/2024),9.50% (Libor + 8.50%/Q),11/10/2017,27.5,,,27.5,,(2)(13),,,,
744,"High Street Buyer, Inc. and High Street Holdco LLC (17)",Insurance brokerage platform,First lien senior secured loan ($66.7 par due 4/2028),6.75% (Libor + 6.00%/Q),4/16/2021,66.7,,,66.0,,(2)(13),,,,
745,,,"Series A preferred units (41,319,130 units)",10.00% PIK,4/16/2021,42.1,,,39.2,,(2),,,,
746,,,"Series A common units (4,649,000 units)",10.00% PIK,4/16/2021,4.6,,,4.6,,(2),,,,
747,,,"Series C common units (2,126,230 units)",10.00% PIK,4/16/2021,0,,,2.1,,(2),,,,
749,"K2 Insurance Services, LLC and K2 Holdco LP (17)",Specialty insurance and managing general agency,First lien senior secured revolving loan,,7/1/2019,0,,,0,,(2)(15),,,,
750,,,First lien senior secured loan ($51.2 par due 7/2024),6.00% (Libor + 5.00%/Q),7/1/2019,51.2,,,51.2,,(13),,,,
751,,,"Common units (799,000 units)",,7/1/2019,0.8,,,1.3,,(2),,,,
753,"NSM Insurance Group, LLC (17)",Insurance program administrator,First lien senior secured loan ($12.8 par due 5/2026),6.00% (Libor + 4.75%/Q),5/11/2018,12.8,,,12.8,,(13),,,,
754,OneDigital Borrower LLC (17),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured revolving loan,,11/16/2020,0,,,0,,(2)(15),,,,
756,People Corporation (17),"Provider of group benefits, group retirement and human resources services",First lien senior secured loan ($54.3 par due 2/2028),7.25% (CDOR + 6.25%/Q),2/18/2021,53.4,,,53.8,,(2)(6)(13),,,,
757,"RSC Acquisition, Inc. and RSC Insurance Brokerage, Inc. (17)",Insurance broker,First lien senior secured revolving loan ($0.2 par due 10/2026),6.50% (Libor + 5.50%/Q),11/1/2019,0.2,,,0.2,,(2)(13)(16),,,,
758,,,First lien senior secured loan ($33.3 par due 10/2026),6.50% (Libor + 5.50%/Q),11/1/2019,33.3,,,33.3,,(13),,,,
760,SCM Insurance Services Inc. (17),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",First lien senior secured loan ($20.9 par due 8/2024),6.00% (CDOR + 5.00%/M),8/29/2017,20.7,,,20.9,,(2)(6)(13),,,,
761,,,Second lien senior secured loan ($61.2 par due 3/2025),10.00% (CDOR + 9.00%/M),8/29/2017,60.5,,,61.2,,(2)(6)(13),,,,
763,"SelectQuote, Inc. (17)",Direct to consumer insurance distribution platform,First lien senior secured loan ($1.0 par due 11/2024),5.75% (Libor + 5.00%/M),11/5/2019,1.0,,,1.0,,(2)(13),,,,
764,"SG Acquisition, Inc.",Provider of insurance solutions for car sales,First lien senior secured loan ($81.4 par due 1/2027),5.50% (Libor + 5.00%/M),1/27/2020,81.4,,,81.4,,(13),,,,
765,"Spring Insurance Solutions, LLC (17)",Technology-based direct to consumer sales and marketing platform for insurance products,First lien senior secured loan ($19.0 par due 11/2025),7.50% (Libor + 6.50%/Q),11/23/2020,19.0,,,18.8,,(2)(13),,,,
766,"THG Acquisition, LLC (17)",Multi-line insurance broker,First lien senior secured revolving loan,,12/2/2019,0,,,0,,(2)(15),,,,
767,,,First lien senior secured loan ($22.5 par due 12/2026),7.25% (Libor + 6.25%/Q),12/15/2020,22.5,,,22.5,,(2)(13),,,,
768,,,First lien senior secured loan ($10.0 par due 12/2026),6.75% (Libor + 5.75%/Q),12/2/2019,10.0,,,10.0,,(2)(13),,,,
770,,,,,,805.0,,,814.8,,,10.09,%,,
772,"AEP Holdings, Inc. and Arrowhead Holdco Company","Distributor of non-discretionary, mission-critical aftermarket replacement parts",First lien senior secured loan ($16.6 par due 11/2025),6.75% (Euribor + 5.75%/Q),11/17/2020,16.6,,,16.6,,(2)(13),,,,
773,,,First lien senior secured loan ($16.9 par due 11/2025),6.75% (Euribor + 5.75%/Q),1/4/2021,17.5,,,16.9,,(2)(13),,,,
774,,,"Common stock (3,467 shares)",,8/31/2015,3.5,,,6.3,,(2),,,,
776,"Cadence Aerospace, LLC (17)",Aerospace precision components manufacturer,First lien senior secured revolving loan ($0.7 par due 11/2023),"9.50% (Libor + 3.25% Cash, 5.25% PIK/Q)",7/22/2020,0.7,,,0.6,,(2)(13),,,,
777,,,First lien senior secured revolving loan ($8.1 par due 11/2022),9.50% (Libor + 8.50%/Q),11/14/2017,8.1,,,7.6,,(2)(13)(16),,,,
778,,,First lien senior secured loan ($3.1 par due 11/2023),"9.50% (Libor + 3.25% Cash, 5.25% PIK/Q)",7/31/2020,3.1,,,2.9,,(13),,,,
779,,,First lien senior secured loan ($31.6 par due 11/2023),9.50% (Libor + 8.50%/Q),11/14/2017,31.5,,,29.4,,(13),,,,
780,,,First lien senior secured loan ($9.8 par due 11/2023),9.50% (Libor + 8.50%/Q),7/5/2018,9.8,,,9.1,,(2)(13),,,,
781,,,First lien senior secured loan ($12.0 par due 11/2023),9.50% (Libor + 8.50%/Q),10/31/2019,12.0,,,11.2,,(2)(13),,,,
782,,,First lien senior secured loan ($7.9 par due 11/2023),9.50% (Libor + 8.50%/Q),2/12/2020,7.9,,,7.3,,(2)(13),,,,
785,Creation Holdings Inc. (17),Manufacturer of electrical systems,First lien senior secured revolving loan ($11.0 par due 8/2024),6.75% (Libor + 5.75%/M),8/15/2019,11.0,,,11.0,,(2)(6)(13)(16),,,,
786,,,First lien senior secured loan ($17.6 par due 8/2025),6.75% (Libor + 5.75%/M),8/15/2019,17.5,,,17.6,,(6)(13),,,,
787,,,First lien senior secured loan ($6.7 par due 8/2025),6.75% (Libor + 5.75%/M),8/15/2019,6.7,,,6.7,,(6)(13),,,,
789,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($167.7 par due 8/2023),"8.50% (Libor + 6.00% Cash, 1.50% PIK/M)",7/26/2017,167.5,,,159.3,,(13),,,,
790,,,First lien senior secured loan ($4.3 par due 8/2023),"8.50% (Libor + 6.00% Cash, 1.50% PIK/M)",3/1/2017,4.3,,,4.1,,(2)(13),,,,
791,,,First lien senior secured loan ($3.6 par due 8/2023),"8.50% (Libor + 6.00% Cash, 1.50% PIK/M)",5/22/2020,3.6,,,3.4,,(13),,,,
792,,,First lien senior secured loan ($0.7 par due 2/2022),"8.50% (Libor + 6.00% Cash, 1.50% PIK/M)",5/22/2020,0.7,,,0.6,,(13),,,,
794,"Dynamic NC Aerospace Holdings, LLC and Dynamic NC Investment Holdings, LP (17)",Provider of aerospace technology and equipment,First lien senior secured loan ($26.0 par due 12/2026),7.50% (Libor + 6.50%/Q),12/30/2020,26.0,,,25.7,,(13),,,,
795,,,"Common units (9,773,000 units)",,12/30/2020,9.8,,,8.4,,,,,,
797,"EPS NASS Parent, Inc. (17)",Provider of maintenance and engineering services for electrical infrastructure,First lien senior secured revolving loan,,4/19/2021,0,,,0,,(2)(15),,,,
798,,,First lien senior secured loan ($52.2 par due 4/2028),6.75% (Libor + 5.75%/Q),4/19/2021,52.2,,,51.6,,(2)(13),,,,
800,"ESCP PPG Holdings, LLC (4)",Distributor of new equipment and aftermarket parts to the heavy-duty truck industry,"Class A units (3,500,000 units)",,12/14/2016,3.5,,,2.7,,(2),,,,
801,"Flow Control Solutions, Inc. (17)",Distributor and manufacturer of flow control systems components,First lien senior secured loan ($20.2 par due 11/2024),6.75% (Libor + 5.75%/Q),11/21/2018,20.2,,,20.2,,(13),,,,
802,"Harvey Tool Company, LLC (17)",Manufacturer of cutting tools used in the metalworking industry,First lien senior secured revolving loan,,10/12/2017,0,,,0,,(2)(15),,,,
803,,,First lien senior secured loan ($19.8 par due 10/2024),5.75% (Libor + 4.75%/Q),10/12/2017,19.8,,,19.8,,(13),,,,
804,,,Second lien senior secured loan ($43.7 par due 10/2025),9.50% (Libor + 8.50%/Q),10/12/2017,43.7,,,43.7,,(2)(13),,,,
806,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,Senior subordinated loan ($16.6 par due 6/2022),14.00%,1/3/2017,16.5,,,16.6,,(2),,,,
807,,,"Series A preferred stock (73,804,135 shares)",,1/3/2017,1.2,,,28.8,,,,,,
808,,,"Class A common stock (48,082 shares)",,1/3/2017,0,,,0.1,,,,,,
809,,,"Class B common stock (431,055 shares)",,1/3/2017,0.1,,,1.0,,,,,,
811,"Kene Acquisition, Inc. and Kene Holdings, L.P. (17)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured revolving loan,,8/8/2019,0,,,0,,(2)(15),,,,
812,,,First lien senior secured loan ($41.3 par due 8/2026),5.25% (Libor + 4.25%/M),8/8/2019,41.3,,,41.3,,(13),,,,
813,,,"Class A units (4,549,000 units)",,8/8/2019,4.5,,,4.5,,(2),,,,
815,"LTG Acquisition, Inc.","Designer and manufacturer of display, lighting and passenger communication systems for mass transportation markets","Class A membership units (5,000 units)",,1/3/2017,5.1,,,0,,,,,,
817,"Maverick Acquisition, Inc. (17)",Manufacturer of precision machined components for defense and high-tech industrial platforms,First lien senior secured loan ($47.3 par due 6/2027),7.00% (Libor + 6.00%/Q),6/1/2021,47.3,,,46.8,,(2)(13),,,,
818,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,First lien senior secured loan ($2.2 par due 1/2025),4.50% (Libor + 3.50%/Q),6/24/2021,2.0,,,2.0,,(2)(13)(20),,,,
819,,,Second lien senior secured loan ($68.4 par due 1/2026),10.00% (Libor + 9.00%/Q),1/22/2018,68.4,,,61.6,,(2)(13),,,,
820,,,Second lien senior secured loan ($23.6 par due 1/2026),10.00% (Libor + 9.00%/Q),5/28/2019,23.6,,,21.3,,(2)(13),,,,
822,"NCWS Intermediate, Inc. and NCWS Holdings LP (17)","Manufacturer and supplier of car wash equipment, parts and supplies to the conveyorized car wash market",First lien senior secured loan ($11.1 par due 12/2026),7.50% (Libor + 6.50%/Q),12/29/2020,11.1,,,11.1,,(2)(13),,,,
823,,,"Class A-2 common units (10,000,000 units)",,12/29/2020,10.0,,,14.1,,(2),,,,
825,"Osmose Utilities Services, Inc. and Pine Intermediate Holding LLC",Provider of structural integrity management services to transmission and distribution infrastructure,Second lien senior secured loan ($55.3 par due 6/2029),7.25% (Libor + 6.75%/M),6/23/2021,55.3,,,54.7,,(2)(13),,,,
826,"Sunk Rock Foundry Partners LP, Hatteras Electrical Manufacturing Holding Company and Sigma Electric Manufacturing Corporation, Diecast Beacon (17)","Manufacturer of metal castings, precision machined components and sub-assemblies in the electrical products, power transmission and distribution and general industrial markets",First lien senior secured revolving loan,,10/31/2017,0,,,0,,(2)(15),,,,
827,,,,,,783.6,,,786.6,,,9.74,%,,
829,"Birch Permian, LLC",Operator of private exploration oil and production company,Second lien senior secured loan ($88.3 par due 4/2023),9.50% (Libor + 8.00%/Q),4/12/2019,87.9,,,88.3,,(2)(13),,,,
830,"Cheyenne Petroleum Company Limited Partnership, CPC 2001 LLC and Mill Shoals LLC",Private oil exploration and production company,Second lien senior secured loan ($63.1 par due 1/2024),10.50% (Libor + 8.50%/Q),7/10/2019,63.1,,,62.5,,(2)(13),,,,
831,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC",Exploration and production company,First lien senior secured loan ($6.8 par due 10/2023),11.00% (Libor + 9.00%/Q),9/19/2019,6.7,,,6.8,,(2)(13),,,,
832,,,First lien senior secured loan ($38.3 par due 10/2023),10.00% (Libor + 8.00%/Q),9/19/2019,38.3,,,38.3,,(2)(13),,,,
833,,,"Preferred units (21,667 units)",8.00% PIK,10/26/2018,24.9,,,24.9,,,,,,
835,Penn Virginia Holding Corp.,Exploration and production company,Second lien senior secured loan ($65.8 par due 9/2024),9.25% (Libor + 8.25%/M),9/28/2017,65.8,,,65.8,,(2)(6)(13),,,,
836,Sundance Energy Inc. (4),Oil and gas producer,"Common stock (157,970 shares)",,4/23/2021,69.8,,,82.3,,(2),,,,
837,"VPROP Operating, LLC and V SandCo, LLC (5)(17)",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($6.6 par due 11/2024),11.00% PIK (Libor + 9.50%/M),11/6/2020,6.6,,,6.6,,(2)(13),,,,
838,,,First lien senior secured loan ($5.2 par due 11/2024),11.00% PIK (Libor + 9.50%/M),6/12/2020,5.2,,,5.2,,(2)(13),,,,
839,,,First lien senior secured loan ($23.8 par due 11/2024),11.00% PIK (Libor + 9.50%/M),3/1/2017,23.6,,,23.8,,(2)(13),,,,
840,,,"Class A units (347,900 units)",,11/6/2020,32.8,,,46.8,,(2),,,,
842,,,,,,424.7,,,451.3,,,5.59,%,,
844,American Seafoods Group LLC and American Seafoods Partners LLC,Harvester and processor of seafood,"Class A units (77,922 units)",,8/19/2015,0.1,,0.1,(2),,,,,,
845,,,"Warrant to purchase up to 7,422,078 Class A units (expires 8/2035)",,8/19/2015,7.4,,,12.8,,(2),,,,
847,"Bragg Live Food Products, LLC and SPC Investment Co., L.P. (4)(17)",Health food company,First lien senior secured revolving loan ($2.9 par due 12/2025),7.25% (Libor + 6.25%/Q),3/11/2019,2.9,,,2.9,,(2)(13),,,,
849,,,First lien senior secured loan ($39.6 par due 12/2025),7.25% (Libor + 6.25%/Q),12/28/2020,39.6,,,39.6,,(13),,,,
850,,,"Common units (14,850 units)",,3/11/2019,11.5,,,15.1,,(2),,,,
852,CHG PPC Parent LLC,Diversified food products manufacturer,Second lien senior secured loan ($94.6 par due 3/2026),7.10% (Libor + 7.00%/M),3/30/2018,94.6,,,94.6,,(2),,,,
853,"Gehl Foods, LLC and GF Parent LLC","Producer of low-acid, aseptic food and beverage products","Class A preferred units (2,940 units)",,5/13/2015,2.9,,,0,,(2),,,,
854,,,"Class A common units (60,000 units)",,5/13/2015,0.1,,,0,,(2),,,,
855,,,Class B common units (0.26 units),,5/13/2015,0,,,0,,(2),,,,
857,Hometown Food Company (17),Food distributor,First lien senior secured revolving loan,,8/31/2018,0,,,0,,(2)(15),,,,
858,"KC Culinarte Intermediate, LLC",Manufacturer of fresh refrigerated and frozen food products,First lien senior secured loan ($25.6 par due 8/2025),4.75% (Libor + 3.75%/M),1/24/2020,25.6,,,23.1,,(13),,,,
859,,,Second lien senior secured loan ($35.7 par due 8/2026),8.75% (Libor + 7.75%/M),8/24/2018,35.7,,,30.3,,(2)(13),,,,
861,"Manna Pro Products, LLC (17)",Manufacturer and supplier of specialty nutrition and care products for animals,First lien senior secured revolving loan ($0.6 par due 12/2026),0.65% (Libor + 0.50%/M),12/10/2020,0.6,,0.6,(2)(13),,,,,,
862,"NECCO Holdings, Inc. and New England Confectionery Company, Inc. (5)(17)",Producer and supplier of candy,First lien senior secured revolving loan ($17.9 par due 1/2018),,1/3/2017,5.9,,2.6,(12),,,,,,
863,,,First lien senior secured loan ($11.7 par due 11/2021),,1/3/2017,0.9,,,1.6,,(12),,,,
864,,,First lien senior secured loan ($2.2 par due 8/2018),,11/20/2017,2.1,,,0,,(12),,,,
865,,,First lien senior secured loan ($0.7 par due 11/2018),,11/20/2017,0.7,,,0.1,,(12),,,,
866,,,"Common stock (860,189 shares)",,1/3/2017,2.8,,,2.8,,,,,,
868,"RF HP SCF Investor, LLC",Branded specialty food company,Membership interest (10.08% interest),,12/22/2016,12.5,,,16.9,,(2)(6),,,,
869,"Teasdale Foods, Inc. and Familia Group Holdings Inc.","Provider of beans, sauces and hominy to the retail, foodservice and wholesale channels",First lien senior secured loan ($78.6 par due 12/2025),7.25% (Libor + 6.25%/Q),12/18/2020,78.6,,,78.6,,(2)(13),,,,
870,,,"Warrant to purchase up to 57,827 shares of common stock (expires 2/2034)",,2/4/2019,0,,,0,,(2),,,,
872,"Triton Water Holdings, Inc.",Producer and provider of bottled water brands,First lien senior secured loan ($1.0 par due 3/2028),4.00% (Libor + 3.50%/Q),3/17/2021,1.0,,,1.0,,(2)(13)(20),,,,
873,,,Senior subordinated loan ($0.1 par due 4/2029),6.25%,3/17/2021,0.1,,,0.1,,(2)(20),,,,
875,"Watermill Express, LLC and Watermill Express Holdings, LLC (17)",Owner and operator of self-service water and ice stations,First lien senior secured revolving loan,,4/20/2021,0,,,0,,(2)(15),,,,
876,,,First lien senior secured loan ($19.5 par due 4/2027),6.75% (Libor + 5.75%/Q),4/20/2021,19.5,,,19.4,,(2)(13),,,,
877,,,"Class A units (282,200 units)",8.00% PIK,4/20/2021,2.9,,,2.9,,,,,,
879,"Winebow Holdings, Inc. and The Vintner Group, Inc.",Importer and distributor of wine,First lien senior secured loan ($28.4 par due 7/2025),7.25% (Libor + 6.25%/M),4/19/2021,28.4,,,28.2,,(2)(13),,,,
880,,,,,,376.4,,,373.3,,,4.62,%,,
882,"Atlas Intermediate III, L.L.C. (17)",Specialty chemicals distributor,First lien senior secured loan ($5.8 par due 4/2025),6.75% (Libor + 5.75%/Q),3/31/2021,5.8,,,5.8,,(2)(13),,,,
884,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (17)",Provider of visual communications solutions,First lien senior secured revolving loan ($0.6 par due 3/2024),6.65% (Libor + 5.65%/M),3/13/2019,0.6,,,0.6,,(2)(13)(16),,,,
885,,,First lien senior secured loan ($20.7 par due 3/2025),6.65% (Libor + 5.65%/M),6/25/2021,20.7,,,20.7,,(2)(13),,,,
886,,,First lien senior secured loan ($16.1 par due 3/2025),6.65% (Libor + 5.65%/M),3/13/2019,16.1,,,16.1,,(13),,,,
887,,,First lien senior secured loan ($2.6 par due 3/2025),6.65% (Libor + 5.65%/M),8/27/2019,2.6,,,2.6,,(2)(13),,,,
888,,,Common units (600 units),,3/13/2019,0.6,,0.9,,(2),,,,,
890,"GPM Investments, LLC and ARKO Corp.",Convenience store operator,First lien senior secured loan ($17.3 par due 3/2027),5.50% (Libor + 4.50%/Q),2/28/2020,17.3,,,17.3,,(13),,,,
891,,,First lien senior secured loan ($14.9 par due 3/2027),5.50% (Libor + 4.50%/Q),2/28/2020,14.9,,,14.9,,(13),,,,
892,,,"Common stock (2,088,478 shares)",,12/22/2020,19.8,,,21.4,,,,,,
893,,,"Warrant to purchase up to 1,088,780 common stock (expires 12/2025)",,12/22/2020,1.6,,,2.5,,(2),,,,
895,"Marcone Yellowstone Buyer Inc. and Marcone Yellowstone Holdings, LLC (17)",Distributor of OEM appliance aftermarket parts,First lien senior secured loan ($56.6 par due 6/2028),6.25% (Libor + 5.50%/Q),6/23/2021,56.6,,,56.6,,(2)(13),,,,
896,,,"Class A common units (4,549 units)",,6/23/2021,4.5,,,4.5,,(2),,,,
898,"McKenzie Creative Brands, LLC (17)","Designer, manufacturer and distributor of hunting-related supplies",First lien senior secured loan ($84.5 par due 9/2023),6.50% (Libor + 5.50%/Q),9/18/2014,84.5,,,84.5,,(8)(13),,,,
899,,,First lien senior secured loan ($3.4 par due 9/2023),6.50% (Libor + 5.50%/Q),9/18/2014,3.4,,,3.4,,(13),,,,
901,"North Haven Falcon Buyer, LLC and North Haven Falcon Holding Company, LLC (17)",Manufacturer of aftermarket golf cart parts and accessories,First lien senior secured loan ($22.0 par due 5/2027),7.00% (Libor + 6.00%/Q),5/19/2021,22.0,,,21.8,,(2)(13),,,,
902,,,"Class A units (50,000 units)",,5/19/2021,5.0,,,5.0,,,,,,
904,Reddy Ice LLC (17),Packaged ice manufacturer and distributor,First lien senior secured revolving loan,,7/1/2019,0,,,0,,(2)(15),,,,
