,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,
694,,,First lien senior secured loan ($6.1 par due 5/2024),7.60% (Libor + 5.50%/Q),8/24/2018,6.1,,,6.1,,(2),
695,,,First lien senior secured loan ($9.3 par due 5/2024),7.60% (Libor + 5.50%/Q),5/31/2018,9.3,,,9.3,,(2),
696,,,"Preferred units (2,871,000 units)",,5/31/2018,2.9,,,3.2,,(2),
697,,,"Common units (29,000 units)",,5/31/2018,0,,,0.2,,(2),
699,Tyden Group Holding Corp. (8),"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Preferred stock (46,276 shares)",,1/3/2017,0.4,,,0.4,,,
700,,,"Common stock (5,521,203 shares)",,1/3/2017,2.0,,,3.9,,,
703,"VLS Recovery Services, LLC (19)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured revolving loan,,10/17/2017,0,,,0,,(2)(17),
704,,,First lien senior secured loan ($7.8 par due 10/2023),8.09% (Libor + 6.00%/M),10/26/2018,7.8,,,7.8,,(2)(15),
705,,,First lien senior secured loan ($0.7 par due 10/2023),8.09% (Libor + 6.00%/M),10/26/2018,0.7,,,0.7,,(2)(15),
706,,,First lien senior secured loan ($6.1 par due 10/2023),8.09% (Libor + 6.00%/M),10/17/2017,6.1,,,6.1,,(2)(15),
708,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,First lien senior secured loan ($107.2 par due 5/2022),7.01% (Libor + 4.75%/Q),8/1/2019,107.2,,,105.6,,(2)(15),
709,,,Second lien senior secured loan ($3.7 par due 5/2023),9.04% (Libor + 7.00%/M),5/14/2015,3.7,,,3.6,,(2)(15),
710,,,Second lien senior secured loan ($21.3 par due 5/2023),9.04% (Libor + 7.00%/M),5/14/2015,21.1,,,20.6,,(2)(15),
712,,,,,,793.5,,,797.6,,,10.82%
714,"Apex Clean Energy Holdings, LLC (19)","Developer, builder and owner of utility-scale wind and solar power facilities",First lien senior secured revolving loan,,12/12/2018,0,,,0,,(2)(17),
715,,,First lien senior secured loan ($86.7 par due 9/2022),8.85% (Libor + 6.75%/Q),9/24/2018,86.7,,,85.8,,(2)(15),
716,,,First lien senior secured loan ($9.8 par due 9/2022),8.88% (Libor + 6.75%/Q),6/10/2019,9.8,,,9.7,,(2)(15),
717,,,First lien senior secured loan ($3.0 par due 9/2022),9.02% (Libor + 6.75%/Q),6/10/2019,3.0,,,3.0,,(2)(15),
718,,,First lien senior secured loan ($3.9 par due 9/2022),8.90% (Libor + 6.75%/Q),6/10/2019,3.9,,,3.8,,(2)(15),
720,Beacon RNG LLC,Owner of natural gas facilities,"Class B units (35,000,000 units)",,3/11/2019,35.0,,,38.9,,,
721,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,Senior subordinated loan ($56.2 par due 12/2020),13.00% PIK,8/8/2014,56.2,,,53.4,,(2),
722,DGH Borrower LLC (19),"Developer, owner and operator of quick start, small-scale natural gas-fired power generation projects",First lien senior secured loan ($60.7 par due 6/2023),8.60% (Libor + 6.50%/Q),6/8/2018,60.7,,,60.1,,(2)(15),
723,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,First lien senior secured loan ($14.6 par due 11/2021),7.60% (Libor + 5.50%/Q),11/13/2014,14.5,,,14.0,,(2)(15),
724,,,Senior subordinated loan ($21.9 par due 12/2021),13.25%,11/13/2014,21.9,,,20.8,,(2),
725,,,Senior subordinated loan ($102.2 par due 12/2021),13.25%,11/13/2014,102.2,,,97.3,,(2),
727,"Heelstone Energy Holdings, LLC and Heelstone Renewable Energy, LLC (7)",Solar power generation facility developer and operator,"Preferred units (111,181 units)",,6/28/2019,50.6,,,50.6,,,
728,,,"Preferred units (2,700,000 units)",,6/28/2019,2.5,,,2.5,,,
729,,,"Common units (19,119 units)",,6/28/2019,0,,,0,,,
731,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,First lien senior secured loan ($0.1 par due 10/2018),,3/31/2015,0.1,,,0,,(2)(14),
732,,,First lien senior secured loan ($7.7 par due 10/2018),,3/31/2015,5.8,,,0,,(2)(14),
734,,,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock (expires 7/2023)",,7/25/2013,0,,,0,,(2)(8),
736,Moxie Patriot LLC,Gas turbine power generation facilities operator,First lien senior secured loan ($32.3 par due 12/2020),7.85% (Libor + 5.75%/Q),12/19/2013,32.2,,,29.4,,(2)(15),
737,Navisun LLC and Navisun Holdings LLC (7)(19),Owner and operater of commercial and industrial solar projects,First lien senior secured loan ($48.7 par due 11/2023),8.00% PIK,11/15/2017,48.7,,,48.7,,(2),
738,,,First lien senior secured loan ($2.9 par due 11/2023),9.00%,3/7/2019,2.9,,,2.9,,(2),
739,,,Series A preferred units,10.50% PIK,11/15/2017,5.9,,,5.9,,(2),
740,,,Class A units (550 units),,11/15/2017,0,,,0.5,,,
742,Panda Liberty LLC (fka Moxie Liberty LLC),Gas turbine power generation facilities operator,First lien senior secured loan ($49.2 par due 8/2020),8.60% (Libor + 6.50%/Q),4/6/2018,47.8,,,42.6,,(2)(15),
743,,,First lien senior secured loan ($33.7 par due 8/2020),8.60% (Libor + 6.50%/Q),8/21/2013,33.7,,,29.2,,(2)(15),
745,"Panda Temple Power, LLC and T1 Power Holdings LLC (6)",Gas turbine power generation facilities operator,Second lien senior secured loan ($9.7 par due 2/2023),10.05% PIK (Libor + 8.00%/M),3/6/2015,9.7,,,9.7,,(2)(15),
746,,,"Class A common units (616,122 shares)",,3/6/2015,15.0,,,12.2,,(2),
748,PERC Holdings 1 LLC,"Operator of recycled energy, combined heat and power, and energy efficiency facilities","Class B common units (21,653,543 units)",,10/20/2014,8.8,,,21.9,,(2),
749,Riverview Power LLC,Operator of natural gas and oil fired power generation facilities,First lien senior secured loan ($81.2 par due 12/2022),10.10% (Libor + 8.00%/Q),12/29/2016,79.8,,,81.2,,(2)(15),
750,"Sunrun Xanadu Issuer 2019-1, LLC and Sunrun Xanadu Holdings 2019-1, LLC",Residential solar energy provider,First lien senior secured loan ($0.5 par due 6/2054),3.98%,6/7/2019,0.5,,,0.5,,(2),
751,,,Second lien senior secured loan ($64.6 par due 7/2030),8.85% (Libor + 6.75%/Q),6/27/2019,64.6,,,63.3,,(2)(15),
753,,,,,,802.5,,,787.9,,,10.69%
755,"Chariot Acquisition, LLC (19)",Aftermarket golf cart parts and accessories,First lien senior secured loan ($17.7 par due 9/2021),8.60% (Libor + 6.50%/Q),1/3/2017,17.6,,,17.5,,(3)(15),
756,,,First lien senior secured loan ($9.0 par due 9/2021),8.60% (Libor + 6.50%/Q),1/3/2017,9.0,,,8.9,,(4)(15),
758,Creation Holdings Inc. (8)(19),Manufacturer of electrical systems,First lien senior secured revolving loan ($2.2 par due 8/2024),7.78% (Libor + 5.75%/M),8/15/2019,2.2,,,2.2,,(2)(15),
759,,,First lien senior secured loan ($35.9 par due 8/2025),7.78% (Libor + 5.75%/M),8/15/2019,35.5,,,35.5,,(2)(15),
761,"ECI Purchaser Company, LLC",Manufacturer of equipment to safely control pressurized gases,First lien senior secured loan ($21.8 par due 12/2019),8.45% (Libor + 6.25%/Q),7/26/2017,21.8,,,21.8,,(2)(15),
762,,,First lien senior secured loan ($161.1 par due 12/2019),8.71% (Libor + 6.25%/Q),7/26/2017,161.1,,,161.1,,(2)(15),
763,,,First lien senior secured loan ($0.5 par due 12/2019),8.45% (Libor + 6.25%/Q),7/26/2017,0.5,,,0.5,,(2)(15),
766,"Harvey Tool Company, LLC (19)",Cutting tool provider to the metalworking industry,First lien senior secured revolving loan,,10/12/2017,0,,,0,,(2)(17),
767,,,First lien senior secured loan ($30.4 par due 10/2024),6.85% (Libor + 4.75%/Q),10/12/2017,30.4,,,30.4,,(4)(15),
768,,,Second lien senior secured loan ($43.7 par due 10/2025),10.80% (Libor + 8.50%/Q),10/12/2017,43.7,,,43.7,,(2)(15),
770,"Ioxus, Inc. (6)",Energy storage devices,First lien senior secured loan ($5.7 par due 12/2019),"9.00% Cash, 3.00% PIK",4/29/2014,5.8,,,5.7,,(2),
771,,,First lien senior secured loan ($1.5 par due 12/2019),,4/29/2014,1.4,,,1.5,,(2),
772,,,"Series CC preferred stock (1,683,265 shares)",,9/7/2017,0.7,,,0,,(2),
773,,,"Warrant to purchase up to 30,256 shares of Series BB preferred stock (expires 8/2026)",,8/24/2016,0,,,0,,(2),
774,,,"Warrant to purchase up to 8,416,326 shares of Series CC preferred stock (expires 1/2027)",,1/27/2017,0,,,0,,(2),
775,,,"Warrant to purchase up to 75,968 shares of common stock (expires 1/2026)",,1/28/2016,0,,,0,,(2),
777,KPS Global LLC and Cool Group LLC,Walk-in cooler and freezer systems,First lien senior secured loan ($1.5 par due 4/2022),7.55% (Libor + 5.50%/M),4/5/2017,1.5,,,1.5,,(2)(15),
778,,,First lien senior secured loan ($4.2 par due 4/2022),8.61% (Libor + 6.56%/M),11/16/2018,4.2,,,4.2,,(2)(15),
779,,,First lien senior secured loan ($10.1 par due 4/2022),8.53% (Libor + 6.49%/M),4/5/2017,10.1,,,10.1,,(15),
780,,,First lien senior secured loan ($5.1 par due 4/2022),8.53% (Libor + 6.49%/M),4/5/2017,5.1,,,5.1,,(4)(15),
781,,,"Class A units (13,292 units)",,9/21/2018,1.1,,,1.8,,,
783,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C. (19)",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured loan ($11.7 par due 12/2025),7.04% (Libor + 5.00%/M),12/21/2018,11.7,,,11.5,,(2),
784,,,First lien senior secured loan ($101.8 par due 12/2025),7.33% (Libor + 5.00%/Q),12/21/2018,101.4,,,100.8,,,
785,,,First lien senior secured loan ($53.1 par due 12/2025),7.33% (Libor + 5.00%/Q),12/21/2018,52.9,,,52.6,,(3),
786,,,"Preferred units (59,453 units)","4.50% Cash, 9.25% PIK",10/9/2015,69.0,,,69.0,,,
788,Nordco Inc. (19),Railroad maintenance-of-way machinery,First lien senior secured revolving loan ($0.4 par due 8/2020),10.75% (Base Rate + 5.50%/Q),8/26/2015,0.4,,,0.4,,(2)(15),
789,"Pelican Products, Inc.",Flashlights,Second lien senior secured loan ($27.3 par due 5/2026),9.79% (Libor + 7.75%/M),5/4/2018,27.1,,,27.3,,(2)(15),
790,Saw Mill PCG Partners LLC,Metal precision engineered components,"Common units (1,000 units)",,1/30/2007,1.0,,,0,,(2),
791,"Sunk Rock Foundry Partners LP, Hatteras Electrical Manufacturing Holding Company and Sigma Electric Manufacturing Corporation (19)","Manufacturer of metal castings, precision machined components and sub-assemblies in the electrical products, power transmission and distribution and general industrial markets",First lien senior secured revolving loan,,10/31/2017,0,,,0,,(2)(17),
792,,,First lien senior secured loan ($3.5 par due 10/2023),6.83% (Libor + 4.75%/M),9/4/2019,3.5,,,3.5,,(2)(15),
794,"TWH Infrastructure Industries, Inc. (19)",Provider of engineered products used in the trenchless rehabilitation of wastewater infrastructure,First lien senior secured loan ($6.6 par due 4/2025),7.60% (Libor + 5.50%/Q),4/9/2019,6.6,,,6.6,,(2),
796,,,,,,625.3,,,623.2,,,8.45%
798,"AEP Holdings, Inc. and Arrowhead Holdco Company","Distributor of non-discretionary, mission-critical aftermarket replacement parts",First lien senior secured loan ($0.1 par due 8/2021),8.26% (EURIBOR + 6.00%/Q),6/28/2018,0.2,,,0.1,,(2)(15),
799,,,First lien senior secured loan ($25.8 par due 8/2021),8.26% (EURIBOR + 6.00%/Q),6/28/2018,27.1,,,24.5,,(2)(15),
800,,,"Common stock (3,467 shares)",,8/31/2015,3.5,,,2.3,,(2),
802,"ChargePoint, Inc.",Developer and operator of electric vehicle charging stations,"Warrant to purchase up to 809,126 shares of Series E preferred stock (expires 12/2024)",,12/30/2014,0.3,,,3.0,,(2),
803,"Dent Wizard International Corporation and DWH Equity Investors, L.P.",Automotive reconditioning services,"Infinite Electronics International, Inc. ($13.0 par due 4/2022)",6.05% (Libor + 4.00%/M),6/5/2019,12.9,,,13.0,,(2)(15),
804,,,Second lien senior secured loan ($45.0 par due 10/2022),10.04% (Libor + 8.00%/M),4/7/2015,45.0,,,45.0,,(3)(15),
805,,,"Class A common stock (10,000 shares)",,4/7/2015,0.1,,,0.6,,(2),
806,,,"Class B common stock (20,000 shares)",,4/7/2015,0.2,,,1.2,,(2),
808,"Eckler Industries, Inc. and Eckler Purchaser LLC (7)(19)",Restoration parts and accessories provider for classic automobiles,First lien senior secured revolving loan ($4.6 par due 5/2022),12.00% PIK,7/12/2012,4.6,,,4.1,,(2),
809,,,First lien senior secured loan ($20.0 par due 5/2022),12.00% PIK,7/12/2012,20.0,,,17.8,,(2),
810,,,"Class A common units (67,972 units)",,7/12/2012,16.4,,,0,,(2),
812,"ESCP PPG Holdings, LLC (6)",Distributor of new equipment and aftermarket parts to the heavy-duty truck industry,"Class A units (3,500,000 units)",,12/14/2016,3.5,,,3.5,,,
813,"GB Auto Service Holdings, LLC (19)",Automotive parts and repair services retailer,First lien senior secured revolving loan ($0.4 par due 10/2024),8.04% (Libor + 6.00%/M),10/19/2018,0.4,,,0.4,,(2)(15),
814,,,First lien senior secured loan ($27.2 par due 10/2024),8.04% (Libor + 6.00%/M),10/19/2018,27.2,,,27.2,,(2)(15),
815,,,First lien senior secured loan ($22.2 par due 10/2024),8.05% (Libor + 6.00%/M),10/19/2018,22.2,,,22.2,,(3)(15),
816,,,"Common units (4,084,227 units)",,10/19/2018,5.2,,,6.8,,(2),
818,"Mavis Tire Express Services Corp. and Mavis Tire Express Services TopCo, L.P. (19)",Auto parts retailer,Second lien senior secured loan ($1.4 par due 3/2026),9.55% (Libor + 7.50%/M),3/20/2018,1.4,,,1.4,,(2)(15),
819,,,Second lien senior secured loan ($153.9 par due 3/2026),9.55% (Libor + 7.50%/M),3/20/2018,152.0,,,152.4,,(2)(15),
820,,,"Class A units (12,400,000 units)",,3/20/2018,12.4,,,13.1,,(2),
822,"Simpson Performance Products, Inc.",Provider of motorsports safety equipment,First lien senior secured loan ($28.3 par due 2/2023),9.12% (Libor + 7.02%/Q),2/20/2015,28.3,,,28.3,,(3)(15),
823,"SK SPV IV, LLC",Collision repair site operator,"Series A common stock (12,500 units)",,8/18/2014,0.6,,,1.9,,(2),
824,,,"Series B common stock (12,500 units)",,8/18/2014,0.6,,,1.9,,(2),
827,"Wand Newco 3, Inc. (dba Caliber Collision)",Collision repair company,Second lien senior secured loan ($180.2 par due 2/2027),9.29% (Libor + 7.25%/M),2/5/2019,177.3,,,180.2,,(2),
828,,,,,,561.4,,,550.9,,,7.47%
830,"Birch Permian, LLC (19)",Operator of private exploration oil and production company,Second lien senior secured loan ($66.4 par due 4/2023),10.34% (Libor + 8.00%/Q),4/12/2019,65.8,,,65.7,,(2)(15),
831,"Cheyenne Petroleum Company Limited Partnership, CPC 2001 LLC and Mill Shoals LLC",Private oil exploration and production company,Second lien senior secured loan ($63.1 par due 1/2024),10.60% (Libor + 8.50%/Q),7/10/2019,63.1,,,62.5,,(2)(15),
832,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC (19)",Exploration and production company,First lien senior secured loan ($13.3 par due 10/2023),11.10% (Libor + 9.00%/Q),9/19/2019,13.2,,,13.3,,(2)(15),
833,,,First lien senior secured loan ($38.3 par due 10/2023),10.10% (Libor + 8.00%/Q),9/19/2019,38.3,,,38.3,,(2)(15),
834,,,"Preferred units (21,667 units)",8.00% PIK,10/26/2018,23.0,,,23.0,,,
836,Penn Virginia Holding Corp. (8),Exploration and production company,Second lien senior secured loan ($90.1 par due 9/2022),9.05% (Libor + 7.00%/M),9/28/2017,90.1,,,90.1,,(2)(15),
837,Petroflow Energy Corporation and TexOak Petro Holdings LLC (6),Oil and gas exploration and production company,First lien senior secured loan ($2.5 par due 6/2020),,6/29/2016,0.4,,,0,,(2)(14),
838,,,Second lien senior secured loan ($23.0 par due 12/2019),,6/29/2016,17.5,,,0,,(2)(14),
839,,,Second lien senior secured loan ($5.3 par due 12/2019),,6/29/2016,4.4,,,0,,(2)(14),
840,,,"Common units (202,000 units)",,6/29/2016,11.1,,,0,,,
842,"Sundance Energy, Inc.",Oil and gas producer,Second lien senior secured loan ($60.7 par due 4/2023),10.11% (Libor + 8.00%/Q),4/23/2018,59.8,,,59.5,,(2)(15),
843,"VPROP Operating, LLC and Vista Proppants and Logistics, LLC",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($27.3 par due 8/2021),"11.63% (Libor + 8.50% Cash, 1.00% PIK/Q)",8/1/2017,27.2,,,26.7,,(2)(15),
844,,,First lien senior secured loan ($34.0 par due 8/2021),"11.63% (Libor + 8.50% Cash, 1.00% PIK/Q)",11/9/2017,34.0,,,33.4,,(2)(15),
845,,,First lien senior secured loan ($14.6 par due 8/2021),"11.63% (Libor + 8.50% Cash, 1.00% PIK/Q)",3/1/2017,14.6,,,14.3,,(2)(15),
846,,,First lien senior secured loan ($72.9 par due 8/2021),"11.63% (Libor + 8.50% Cash, 1.00% PIK/Q)",3/1/2017,72.9,,,71.4,,(3)(15),
847,,,"Common units (997,864 units)",,11/9/2017,9.7,,,5.0,,(2),
849,,,,,,545.1,,,503.2,,,6.82%
852,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (7)(19)",Restaurant owner and operator,First lien senior secured loan ($5.2 par due 12/2019),,12/22/2016,4.8,,,0,,(2)(14),
853,,,First lien senior secured loan ($56.6 par due 12/2019),,11/27/2006,39.9,,,0,,(2)(14),
854,,,Promissory note ($31.8 par due 12/2023),,11/27/2006,13.8,,,0,,(2),
855,,,Warrant to purchase up to 0.95 units of Series D common stock (expires 12/2023),,12/18/2013,0,,,0,,(2),
857,"Cipriani USA, Inc.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($3.0 par due 5/2023),"10.28% (Libor + 6.25% Cash, 2.00% PIK/M)",8/20/2018,3.0,,,3.0,,(2)(15),
858,,,First lien senior secured loan ($12.2 par due 5/2023),"10.28% (Libor + 6.25% Cash, 2.00% PIK/M)",11/5/2018,12.2,,,12.2,,(2)(15),
859,,,First lien senior secured loan ($3.0 par due 5/2023),"10.28% (Libor + 6.25% Cash, 2.00% PIK/M)",11/5/2018,3.0,,,3.0,,(2)(15),
860,,,First lien senior secured loan ($68.3 par due 5/2023),"10.28% (Libor + 6.25% Cash, 2.00% PIK/M)",5/30/2018,66.1,,,68.3,,(2)(15),
861,,,First lien senior secured loan ($15.0 par due 5/2023),10.28% (Libor + 8.25%/M),7/3/2019,15.0,,,15.0,,(2)(15),
863,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (19)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured revolving loan ($5.5 par due 3/2023),7.54% (Libor + 5.50%/M),3/10/2017,5.5,,,5.5,,(2)(15),
864,,,First lien senior secured revolving loan ($1.0 par due 3/2023),9.50% (Base Rate + 4.50%/M),3/10/2017,1.0,,,1.0,,(2)(15),
865,,,First lien senior secured loan ($11.6 par due 3/2023),7.54% (Libor + 5.50%/M),3/10/2017,11.6,,,11.6,,(4)(15),
866,,,"Common units (2,950,000 units)",,3/10/2017,3.0,,,3.6,,(2),
868,FWR Holding Corporation (19),"Restaurant owner, operator and franchisor",First lien senior secured revolving loan ($0.5 par due 8/2023),9.50% (Base Rate + 4.50%/Q),8/21/2017,0.5,,,0.5,,(2)(15)(18),
869,,,First lien senior secured loan ($0.7 par due 8/2023),7.55% (Libor + 5.50%/M),2/28/2019,0.7,,,0.7,,(2),
870,,,First lien senior secured loan ($0.8 par due 8/2023),7.55% (Libor + 5.50%/M),2/28/2019,0.8,,,0.8,,(2)(15),
871,,,First lien senior secured loan ($0.5 par due 8/2023),7.55% (Libor + 5.50%/M),2/28/2019,0.5,,,0.5,,(2)(15),
872,,,First lien senior secured loan ($0.5 par due 8/2023),7.55% (Libor + 5.50%/M),8/21/2017,0.5,,,0.5,,(2)(15),
873,,,First lien senior secured loan ($4.0 par due 8/2023),7.55% (Libor + 5.50%/M),8/21/2017,4.0,,,4.0,,(2)(15),
875,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (19),Restaurant owner and operator,First lien senior secured revolving loan ($0.9 par due 2/2022),10.16% (Libor + 8.00%/Q),2/1/2017,0.9,,,0.9,,(2)(15)(18),
876,,,First lien senior secured revolving loan ($0.9 par due 2/2022),10.13% (Libor + 8.00%/Q),2/1/2017,0.9,,,0.9,,(2)(15)(18),
878,,,First lien senior secured loan ($19.5 par due 2/2022),10.13% (Libor + 8.00%/Q),2/1/2017,19.5,,,19.5,,(2)(15),
880,"Heritage Food Service Group, Inc. and WCI-HFG Holdings, LLC",Distributor of repair and replacement parts for commercial kitchen equipment,Second lien senior secured loan ($31.6 par due 10/2022),10.54% (Libor + 8.50%/Q),10/20/2015,31.6,,,31.6,,(2)(15),
881,,,"Preferred units (3,000,000 units)",8.00% PIK,10/20/2015,3.0,,,4.4,,(2),
883,"Jim N Nicks Management, LLC (19)",Restaurant owner and operator,First lien senior secured revolving loan ($2.8 par due 7/2023),7.35% (Libor + 5.25%/Q),7/10/2017,2.8,,,2.7,,(2)(15),
884,,,First lien senior secured loan ($1.2 par due 7/2023),7.35% (Libor + 5.25%/Q),7/10/2017,1.2,,,1.1,,(2)(15),
885,,,First lien senior secured loan ($13.9 par due 7/2023),7.35% (Libor + 5.25%/Q),7/10/2017,13.9,,,13.4,,(4)(15),
887,"Orion Foods, LLC (7)",Convenience food service retailer,First lien senior secured loan ($1.2 par due 9/2015),,4/1/2010,1.2,,,0.4,,(2)(14),
888,,,Second lien senior secured loan ($19.4 par due 9/2015),,4/1/2010,0,,,0,,(2)(14),
889,,,"Preferred units (10,000 units)",,10/28/2010,0,,,0,,(2),
890,,,"Class A common units (25,001 units)",,4/1/2010,0,,,0,,(2),
891,,,"Class B common units (1,122,452 units)",,4/1/2010,0,,,0,,(2),
893,"OTG Management, LLC (19)",Airport restaurant operator,First lien senior secured revolving loan ($6.9 par due 8/2021),9.30% (Libor + 7.00%/Q),8/26/2016,6.9,,,6.9,,(2)(15),
894,,,First lien senior secured revolving loan ($3.1 par due 8/2021),9.31% (Libor + 7.00%/Q),8/26/2016,3.1,,,3.1,,(2)(15),
895,,,First lien senior secured loan ($2.5 par due 8/2021),9.18% (Libor + 7.00%/Q),8/26/2016,2.5,,,2.5,,(2)(15),
896,,,First lien senior secured loan ($1.6 par due 8/2021),9.18% (Libor + 7.00%/Q),8/26/2016,1.6,,,1.6,,(2)(15),
897,,,First lien senior secured loan ($2.2 par due 8/2021),9.19% (Libor + 7.00%/Q),8/26/2016,2.2,,,2.2,,(2)(15),
898,,,First lien senior secured loan ($2.2 par due 8/2021),9.18% (Libor + 7.00%/Q),8/26/2016,2.2,,,2.2,,(2)(15),
899,,,First lien senior secured loan ($3.6 par due 8/2021),9.18% (Libor + 7.00%/Q),8/26/2016,3.6,,,3.6,,(2)(15),
900,,,First lien senior secured loan ($2.6 par due 8/2021),9.14% (Libor + 7.00%/Q),8/26/2016,2.6,,,2.6,,(2)(15),
901,,,First lien senior secured loan ($4.9 par due 8/2021),9.18% (Libor + 7.00%/Q),8/26/2016,4.9,,,4.9,,(2)(15),
902,,,First lien senior secured loan ($0.6 par due 8/2021),9.18% (Libor + 7.00%/Q),8/26/2016,0.6,,,0.6,,(2)(15),
903,,,First lien senior secured loan ($0.7 par due 8/2021),9.14% (Libor + 7.00%/Q),8/26/2016,0.7,,,0.7,,(2)(15),
904,,,First lien senior secured loan ($1.8 par due 8/2021),9.13% (Libor + 7.00%/Q),8/26/2016,1.8,,,1.8,,(2)(15),
905,,,First lien senior secured loan ($1.0 par due 8/2021),9.14% (Libor + 7.00%/Q),8/26/2016,1.0,,,1.0,,(2)(15),
906,,,First lien senior secured loan ($0.3 par due 8/2021),9.30% (Libor + 7.00%/Q),10/10/2018,0.3,,,0.3,,(2)(15),
907,,,First lien senior secured loan ($0.7 par due 8/2021),9.18% (Libor + 7.00%/Q),10/10/2018,0.7,,,0.7,,(2)(15),
908,,,First lien senior secured loan ($1.9 par due 8/2021),9.14% (Libor + 7.00%/Q),10/10/2018,1.9,,,1.9,,(2)(15),
909,,,First lien senior secured loan ($0.7 par due 8/2021),9.13% (Libor + 7.00%/Q),10/10/2018,0.7,,,0.7,,(2)(15),
911,,,First lien senior secured loan ($0.6 par due 8/2021),9.25% (Libor + 7.00%/Q),10/10/2018,0.6,,,0.6,,(2)(15),
912,,,First lien senior secured loan ($48.9 par due 8/2021),9.32% (Libor + 7.00%/Q),8/26/2016,48.9,,,48.9,,(3)(15),
913,,,First lien senior secured loan ($48.9 par due 8/2021),9.25% (Libor + 7.00%/Q),8/26/2016,48.9,,,48.9,,(3)(15),
914,,,Senior subordinated loan ($32.8 par due 2/2022),13.00% PIK,8/26/2016,32.7,,,32.8,,(2),
915,,,"Class A preferred units (3,000,000 units)",14.50% PIK,8/26/2016,34.8,,,44.8,,(2),
916,,,"Common units (3,000,000 units)",,1/5/2011,3.0,,,9.8,,(2),
917,,,Warrant to purchase up to 7.73% of common units,,6/19/2008,0.1,,,21.6,,(2),
919,SFE Intermediate Holdco LLC (19),Provider of outsourced foodservice to K-12 school districts,First lien senior secured loan ($10.7 par due 7/2024),6.88% (Libor + 4.75%/Q),9/5/2018,10.7,,,10.7,,(4)(15),
920,,,First lien senior secured loan ($6.6 par due 7/2024),7.01% (Libor + 4.75%/Q),7/31/2017,6.6,,,6.6,,(4)(15),
922,"Spectra Finance, LLC (19)",Venue management and food and beverage provider,First lien senior secured revolving loan ($3.6 par due 4/2023),6.03% (Libor + 4.00%/M),4/2/2018,3.6,,,3.6,,(2)(15)(18),
923,,,First lien senior secured loan ($3.4 par due 4/2024),6.35% (Libor + 4.25%/Q),4/2/2018,3.4,,,3.4,,(2)(15),
925,,,,,,491.5,,,474.1,,,6.43%
927,American Seafoods Group LLC and American Seafoods Partners LLC,Harvester and processor of seafood,"Class A units (77,922 units)",,8/19/2015,0.1,,,0.2,,(2),
928,,,"Warrant to purchase up to 7,422,078 Class A units (expires 8/2035)",,8/19/2015,7.4,,,21.8,,(2),
930,"Bragg Live Food Products, LLC and SPC Investment Co., L.P. (6)(19)",Health food company,First lien senior secured loan ($14.9 par due 3/2024),7.85% (Libor + 5.75%/Q),3/11/2019,14.9,,,14.8,,(15),
931,,,First lien senior secured loan ($21.9 par due 3/2024),7.85% (Libor + 5.75%/Q),3/11/2019,21.9,,,21.6,,(3)(15),
932,,,"Common units (14,850 units)",,3/11/2019,14.9,,,13.9,,(2),
934,CHG PPC Parent LLC,Diversified food products manufacturer,Second lien senior secured loan ($34.1 par due 3/2026),9.79% (Libor + 7.75%/M),1/31/2019,34.1,,,34.1,,(2),
935,,,Second lien senior secured loan ($60.5 par due 3/2026),9.54% (Libor + 7.50%/M),3/30/2018,60.5,,,60.5,,(2),
937,"DecoPac, Inc. (19)",Supplier of cake decorating solutions and products to in-store bakeries,First lien senior secured revolving loan ($1.1 par due 9/2023),6.29% (Libor + 4.25%/M),9/29/2017,1.1,,,1.1,,(2)(15),
938,"Edward Don & Company, LLC and VCP-EDC Co-Invest, LLC",Distributor of foodservice equipment and supplies,"Membership units (2,970,000 units)",,6/9/2017,3.0,,,3.0,,,
939,Ferraro Fine Foods Corp. and Italian Fine Foods Holdings L.P. (19),Specialty Italian food distributor,First lien senior secured revolving loan ($0.8 par due 5/2023),6.32% (Libor + 4.25%/M),5/9/2018,0.8,,,0.8,,(2),
940,,,First lien senior secured revolving loan ($0.3 par due 5/2023),6.28% (Libor + 4.25%/M),5/9/2018,0.3,,,0.3,,(2),
