,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1062,,"Summit Behavioral Healthcare, LLC",LLC interest,,No Value,,,No Value,,No Value,,2,,,98,,,0,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,,"Summit Behavioral Healthcare, LLC",LLC interest,,No Value,,,No Value,,No Value,,2,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,,"Surgical Information Systems, LLC",Common Stock,,No Value,,,No Value,,No Value,,4,,,414,,,0,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,,"WHCG Management, LLC",LLC interest,,No Value,,,No Value,,No Value,,1,,,414,,,0,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,,,,,,,,,,,,,,22615,,,0.7,,,16594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,,"Captive Resources Midco, LLC  (17)",LLC units,,No Value,,,No Value,,No Value,,425,,,0,,,0,,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,,Insurance - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,,"Orchid Underwriters Agency, LLC",LP interest,,No Value,,,No Value,,No Value,,86,,,,98,,,0,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,,,,,,,,,,,,,,98,,,0,,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,,"Leisure, Amusement, Motion Pictures, Entertainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,,"LMP TR Holdings, LLC",LLC units,,No Value,,,No Value,,No Value,,712,,,712,,,0,,,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,,"PADI Holdco, Inc.  (17)",LLC units,,No Value,,,No Value,,No Value,,1,,,969,,,0,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,,WBZ Investment LLC,LLC interest,,No Value,,,No Value,,No Value,,68,,117,,,0,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,,WBZ Investment LLC,LLC interest,,No Value,,,No Value,,No Value,,46,,,80,,,0,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,,WBZ Investment LLC,LLC interest,,No Value,,,No Value,,No Value,,38,,,65,,,0,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,,WBZ Investment LLC,LLC interest,,No Value,,,No Value,,No Value,,33,,,58,,,0,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,WBZ Investment LLC,LLC interest,,No Value,,,No Value,,No Value,,14,,,24,,,0,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,,WBZ Investment LLC,LLC interest,,No Value,,,No Value,,No Value,,1,,,2,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,,,,,,,,,,,,,,2027,,,0,,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,,Oil and Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,,W3 Co.,LLC units,,No Value,,,No Value,,No Value,,3,,,1632,,,0.1,,,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,,W3 Co.,Preferred stock,,No Value,,,No Value,,No Value,,0,,,224,,,0,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,,,,,,,,,,,,,,1856,,,0.1,,,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,,Personal and Non Durable Consumer Products (Mfg. Only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,,"Georgica Pine Clothiers, LLC  (17)",LLC interest,,No Value,,,No Value,,No Value,,20,,,239,,,0,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,,"Massage Envy, LLC",LLC interest,,No Value,,,No Value,,No Value,,749,,,210,,,0.1,,,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,,,,,,,,,,,,,,449,,,0.1,,,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,,"Personal, Food and Miscellaneous Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,,"Blue River Pet Care, LLC",LLC units,,No Value,,,No Value,,No Value,,0,,,76,,,0,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,,"Captain D's, LLC",LLC interest,,No Value,,,No Value,,No Value,,158,,,156,,,0,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,,Encorevet Group LLC,Preferred stock,,No Value,,,No Value,,No Value,,0,,,15,,,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,,"Midwest Veterinary Partners, LLC",LLC units,,No Value,,,No Value,,No Value,,0,,,29,,,0,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,,"Midwest Veterinary Partners, LLC",LLC units,,No Value,,,No Value,,No Value,,6,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,,"PPV Intermediate Holdings II, LLC",LLC interest,,No Value,,,No Value,,No Value,,241,,,231,,,0,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,,R.G. Barry Corporation,Preferred stock,,No Value,,,No Value,,No Value,,0,,,161,,,0,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,,"Ruby Slipper Cafe LLC, The",LLC units,,No Value,,,No Value,,No Value,,31,,,373,,,0,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,"Southern Veterinary Partners, LLC",LLC units,,No Value,,,No Value,,No Value,,1,,,717,,,0.1,,,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,,"Southern Veterinary Partners, LLC",LLC units,,No Value,,,No Value,,No Value,,148,,,188,,,0,,,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,,"Wetzel's Pretzels, LLC",Common Stock,,No Value,,,No Value,,No Value,,0,,,416,,,0,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,,,,,,,,,,,,,,2362,,,0.1,,,2680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,,Printing and Publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,,"Brandmuscle, Inc.",LLC interest,,No Value,,,No Value,,No Value,,0,,,335,,,0,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,,Retail Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,,2nd Ave. LLC,LP interest,,No Value,,,No Value,,No Value,,653,,,653,,,0,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,,Batteries Plus Holding Corporation,LP interest,,No Value,,,No Value,,No Value,,10,,,1286,,,0.1,,,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,,"Cycle Gear, Inc.",LLC units,,No Value,,,No Value,,No Value,,27,,,462,,,0,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,,"DTLR, Inc.",LLC interest,,No Value,,,No Value,,No Value,,4,,411,,,0,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,,"Elite Sportswear, L.P.",LLC interest,,No Value,,,No Value,,No Value,,0,,,165,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,,"Feeders Supply Company, LLC",Preferred stock,,No Value,,,No Value,,No Value,,4,,,400,,,0,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,,"Feeders Supply Company, LLC",LLC units,,No Value,,,No Value,,No Value,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,,Jet Equipment & Tools Ltd.  (8)(9)(12),LLC units,,No Value,,,No Value,,No Value,,1,,,948,,,0.1,,,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,,Retail Stores - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,,"Paper Source, Inc.",Common Stock,,No Value,,,No Value,,No Value,,8,,,,1387,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,,Pet Holdings ULC  (8)(12),LP interest,,No Value,,,No Value,,No Value,,677,,,483,,,0,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,,"Pet Supplies Plus, LLC  (15)",LLC units,,No Value,,,No Value,,No Value,,144,,,181,,,0,,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,,"Sola Franchise, LLC and Sola Salon Studios, LLC",LLC units,,No Value,,,No Value,,No Value,,4,,,496,,,0,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,,"Sola Franchise, LLC and Sola Salon Studios, LLC",LLC units,,No Value,,,No Value,,No Value,,1,,,101,,,0,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
903,,NTS Technical Systems,Common Stock,,N/A,,,N/A,,N/A,,2,,,,1506,,,-,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,,NTS Technical Systems,Preferred stock,,N/A,,,N/A,,N/A,,-,,,256,,,-,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,,NTS Technical Systems,Preferred stock,,N/A,,,N/A,,N/A,,-,,,128,,,-,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,,Whitcraft LLC,Common Stock,,N/A,,,N/A,,N/A,,11,,,2285,,,0.2,,,3458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,,,,,,,,,,,,,,4175,,,0.2,,,4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,,"Grease Monkey International, LLC",LLC units,,N/A,,,N/A,,N/A,,803,,,1304,,,0.1,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,,Polk Acquisition Corp.,LP interest,,N/A,,,N/A,,N/A,,5,,,314,,,-,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,,"Quick Quack Car Wash Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,-,,,508,,,-,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,,,,,,,,,,,,,,2126,,,0.1,,,2497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,,"Benihana, Inc.",LLC units,,N/A,,,N/A,,N/A,,43,,,699,,,-,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,,"C. J. Foods, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,75,,,-,,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,,"Cafe Rio Holding, Inc.",Common Stock,,N/A,,,N/A,,N/A,,5,,,602,,,-,,,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,,Global ID Corporation,LLC interest,,N/A,,,N/A,,N/A,,5,,,603,,,0.1,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,,"Hopdoddy Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,44,,,217,,,-,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,,"Hopdoddy Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,20,,,61,,,-,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,,"Mendocino Farms, LLC",Common Stock,,N/A,,,N/A,,N/A,,169,,,770,,,0.1,,,737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,,"Purfoods, LLC",LLC interest,,N/A,,,N/A,,N/A,,736,,,1222,,,0.1,,,2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,,"Rubio's Restaurants, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,2,,,945,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,,"SSRG Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,6,,,61,,,-,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,,Wood Fired Holding Corp.,LLC units,,N/A,,,N/A,,N/A,,437,,,444,,,-,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,,Wood Fired Holding Corp.,LLC units,,N/A,,,N/A,,N/A,,437,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,,,,,,,,,,,,,,5699,,,0.3,,,5949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,,"Brooks Equipment Company, LLC",Common Stock,,N/A,,,N/A,,N/A,,10,,,1021,,,0.1,,,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,,Groundworks LLC,LLC units,,N/A,,,N/A,,N/A,,-,,,151,,,-,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,,Groundworks LLC,LLC units,,N/A,,,N/A,,N/A,,-,,,17,,,-,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,,,,,,,,,,,,,,1189,,,0.1,,,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,,"Flexan, LLC",Preferred stock,,N/A,,,N/A,,N/A,,-,,,137,,,-,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,,"Flexan, LLC",LLC interest,,N/A,,,N/A,,N/A,,1,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,,"Chemicals, Plastics and Rubber - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,,Inhance Technologies Holdings LLC,LLC units,,N/A,,,N/A,,N/A,,-,,,,124,,,-,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,,,,,,,,,,,,,,261,,,-,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,,"Inventus Power, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,1,,,372,,,-,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,,"Inventus Power, Inc.",LLC units,,N/A,,,N/A,,N/A,,-,,,88,,,-,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,,"Inventus Power, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,20,,,-,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,,"Inventus Power, Inc.",Common Stock,,N/A,,,N/A,,N/A,,1,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,,"Reladyne, Inc.",LP units,,N/A,,,N/A,,N/A,,1,,,931,,,-,,,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,,,,,,,,,,,,,,1411,,,-,,,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,,"Accela, Inc.",LLC units,,N/A,,,N/A,,N/A,,670,,,418,,,-,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,,Agility Recovery Solutions Inc.,LLC units,,N/A,,,N/A,,N/A,,97,,,604,,,0.1,,,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,,"Arctic Wolfs Networks, Inc. and Arctic Wolf Networks Canada, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,587,,,462,,,-,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,"Astute Holdings, Inc.",LP interest,,N/A,,,N/A,,N/A,,-,,,294,,,-,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,,"Calabrio, Inc.",Common Stock,,N/A,,,N/A,,N/A,,26,,,205,,,-,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,,Centrify Corporation,LP interest,,N/A,,,N/A,,N/A,,1,,,690,,,-,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,,Centrify Corporation,LP interest,,N/A,,,N/A,,N/A,,263,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,,"Cloudbees, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,71,,,466,,,-,,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,,"Cloudbees, Inc.",Warrant,,N/A,,,N/A,,N/A,,131,,,247,,,-,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,,"Confluence Technologies, Inc.",LLC interest,,N/A,,,N/A,,N/A,,3,,,412,,,-,,,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,,"Connexin Software, Inc.",LLC interest,,N/A,,,N/A,,N/A,,154,,,192,,,-,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,,"Convercent, Inc.",Warrant,,N/A,,,N/A,,N/A,,325,,,63,,,-,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,,"Digital Guardian, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,356,,,434,,,-,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,,"Digital Guardian, Inc.",Warrant,,N/A,,,N/A,,N/A,,122,,,225,,,-,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,,"Digital Guardian, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,74,,,142,,,-,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,,"Digital Guardian, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,67,,,123,,,-,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,,"Digital Guardian, Inc.",Warrant,,N/A,,,N/A,,N/A,,12,,,33,,,-,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,,DISA Holdings Acquisition Subsidiary Corp.,Common Stock,,N/A,,,N/A,,N/A,,-,,,154,,,-,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,,EWC Growth Partners LLC,LLC interest,,N/A,,,N/A,,N/A,,-,,,12,,,-,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,,"GS Acquisitionco, Inc.",LP interest,,N/A,,,N/A,,N/A,,2,,,291,,,-,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,,"HealthcareSource HR, Inc.",LLC interest,,N/A,,,N/A,,N/A,,-,,,621,,,0.1,,,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,,"HSI Halo Acquisition, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,288,,,-,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,,"HSI Halo Acquisition, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,,Hydraulic Authority III Limited  (8)(9)(10),Preferred stock,,N/A,,,N/A,,N/A,,284,,,384,,,-,,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,,Hydraulic Authority III Limited  (8)(9)(10),Common Stock,,N/A,,,N/A,,N/A,,6,,,43,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,,"Property Brands, Inc.",LLC units,,N/A,,,N/A,,N/A,,63,,,766,,,0.1,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,,Internet Truckstop Group LLC,LP interest,,N/A,,,N/A,,N/A,,408,,,447,,,-,,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,,"Kareo, Inc.",Warrant,,N/A,,,N/A,,N/A,,53,,,162,,,-,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,,"Kareo, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,1,,,8,,,-,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,"Kareo, Inc.",Warrant,,N/A,,,N/A,,N/A,,5,,,6,,,-,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,,Maverick Bidco Inc.,LLC units,,N/A,,,N/A,,N/A,,2,,,723,,,-,,,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,,"MetricStream, Inc.",Warrant,,N/A,,,N/A,,N/A,,168,,,263,,,-,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,,"Namely, Inc.",Warrant,,N/A,,,N/A,,N/A,,17,,,28,,,-,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,,Net Health Acquisition Corp.,LP interest,,N/A,,,N/A,,N/A,,1,,,,1440,,,0.1,,,,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,,"Nexus Brands Group, Inc.",LP interest,,N/A,,,N/A,,N/A,,-,,,547,,,-,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,,"Onapsis, Inc., Virtual Forge GMBH and Onapsis GMBH",Warrant,,N/A,,,N/A,,N/A,,4,,,9,,,-,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,,"PCS Intermediate II Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,37,,,367,,,-,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,,"Personify, Inc.",LLC units,,N/A,,,N/A,,N/A,,639,,,828,,,0.1,,,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,,"Pride Midco, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,2,,,2594,,,0.1,,,2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,,"Project Alpha Intermediate Holding, Inc.",Common Stock,,N/A,,,N/A,,N/A,,1,,,964,,,0.1,,,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,,"Project Alpha Intermediate Holding, Inc.",Common Stock,,N/A,,,N/A,,N/A,,202,,,329,,,0.1,,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,,"RegEd Aquireco, LLC",LP interest,,N/A,,,N/A,,N/A,,-,,,316,,,-,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,,"RegEd Aquireco, LLC",LP interest,,N/A,,,N/A,,N/A,,3,,,21,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,,"SnapLogic, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,184,,,458,,,-,,,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,,"SnapLogic, Inc.",Warrant,,N/A,,,N/A,,N/A,,69,,,27,,,-,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,,"Caliper Software, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,3,,,2734,,,0.1,,,2877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,,"Caliper Software, Inc.",Common Stock,,N/A,,,N/A,,N/A,,221,,,283,,,-,,,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,,"Caliper Software, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,37,,,-,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,,Telesoft Holdings LLC,LP interest,,N/A,,,N/A,,N/A,,6,,,6,,,-,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,,"Vendavo, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,1017,,,1017,,,0.1,,,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,,Verisys Corporation,LLC interest,,N/A,,,N/A,,N/A,,579,,,712,,,-,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,"Vitalyst, LLC",Preferred stock,,N/A,,,N/A,,N/A,,-,,,61,,,-,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,"Vitalyst, LLC",Common Stock,,N/A,,,N/A,,N/A,,1,,,7,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,"Workforce Software, LLC",Common Stock,,N/A,,,N/A,,N/A,,-,,,973,,,-,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,"Xmatters, Inc. and Alarmpoint, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,474,,,494,,,-,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,"Xmatters, Inc. and Alarmpoint, Inc.",Warrant,,N/A,,,N/A,,N/A,,84,,,64,,,-,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
