,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
663,NTS Technical Systems,Preferred stock,,N/A,,,N/A,,N/A,,-,,,128,,,-,,,177,,,,
664,"Tresys Technology Holdings, Inc.",Common stock,,N/A,,,N/A,,N/A,,295,,,295,,,-,,,-,,,,
665,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
666,Aerospace and Defense - (continued),,,,,,,,,,,,,,,,,,,,,,,
667,Whitcraft LLC,Common stock,,N/A,,,N/A,,N/A,,4,,,,375,,,0.1,,,,611,,
668,,,,,,,,,,,,,2560,,,0.2,,,1727,,,,,
669,Automobile,,,,,,,,,,,,,,,,,,,,,,,
670,"Grease Monkey International, LLC",LLC units,,N/A,,,N/A,,N/A,,354,,,354,,,0.1,,,512,,,,
671,Polk Acquisition Corp.,LP interest,,N/A,,,N/A,,N/A,,1,,,144,,,-,,,95,,,,
672,"Quick Quack Car Wash Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,-,,,207,,,-,,,207,,,,
673,,,,,,,,,,,,,705,,,0.1,,,814,,,,,
674,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,
675,"Benihana, Inc.",LLC units,,N/A,,,N/A,,N/A,,43,,,699,,,0.1,,,856,,,,
676,"C. J. Foods, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,75,,,0.1,,,505,,,,
677,"Cafe Rio Holding, Inc.",Common stock,,N/A,,,N/A,,N/A,,2,,,224,,,-,,,265,,,,
678,Global ID Corporation,LLC interest,,N/A,,,N/A,,N/A,,2,,,242,,,-,,,346,,,,
679,"Hopdoddy Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,27,,,130,,,-,,,122,,,,
680,"Hopdoddy Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,12,,,36,,,-,,,35,,,,
681,"Mendocino Farms, LLC",Common stock,,N/A,,,N/A,,N/A,,11,,,50,,,-,,,50,,,,
682,"Purfoods, LLC",LLC interest,,N/A,,,N/A,,N/A,,381,,,381,,,0.1,,,527,,,,
683,"Rubio's Restaurants, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,2,,,945,,,0.1,,,1236,,,,
684,Uinta Brewing Company,LP interest,,N/A,,,N/A,,N/A,,462,,,462,,,-,,,-,,,,
685,,,,,,,,,,,,,3244,,,0.4,,,3942,,,,,
686,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,,,,
687,"Brooks Equipment Company, LLC",Common stock,,N/A,,,N/A,,N/A,,10,,,1021,,,0.3,,,2369,,,,
688,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,
689,"Flexan, LLC",Preferred stock,,N/A,,,N/A,,N/A,,-,,,90,,,-,,,71,,,,
690,"Flexan, LLC",Common stock,,N/A,,,N/A,,N/A,,1,,,-,,,-,,,-,,,,
691,Inhance Technologies Holdings LLC,LLC units,,N/A,,,N/A,,N/A,,-,,,70,,,-,,,70,,,,
692,,,,,,,,,,,,,160,,,-,,,141,,,,,
693,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
694,"Inventus Power, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,370,,,-,,,-,,,,
695,"Inventus Power, Inc.",LLC units,,N/A,,,N/A,,N/A,,-,,,54,,,-,,,48,,,,
696,"Inventus Power, Inc.",Common stock,,N/A,,,N/A,,N/A,,-,,,-,,,-,,,-,,,,
697,"Reladyne, Inc.",LP interest,,N/A,,,N/A,,N/A,,-,,,249,,,0.1,,,498,,,,
698,"Sunless Merger Sub, Inc.",LP interest,,N/A,,,N/A,,N/A,,160,,,160,,,-,,,-,,,,
699,,,,,,,,,,,,,833,,,0.1,,,546,,,,,
700,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,
701,"Accela, Inc.",LLC units,,N/A,,,N/A,,N/A,,296,,,296,,,-,,,325,,,,
702,Agility Recovery Solutions Inc.,Preferred stock,,N/A,,,N/A,,N/A,,67,,,341,,,0.1,,,424,,,,
703,Apttus Corporation,Preferred stock,,N/A,,,N/A,,N/A,,18,,,263,,,-,,,354,,,,
704,Apttus Corporation,Warrant,,N/A,,,N/A,,N/A,,34,,,194,,,-,,,185,,,,
705,Centrify Corporation,LP interest,,N/A,,,N/A,,N/A,,-,,,348,,,-,,,348,,,,
706,Centrify Corporation,LP interest,,N/A,,,N/A,,N/A,,123,,,-,,,-,,,-,,,,
707,"Cloudbees, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,33,,,207,,,-,,,207,,,,
708,"Cloudbees, Inc.",Warrant,,N/A,,,N/A,,N/A,,29,,,39,,,-,,,39,,,,
709,"Confluence Technologies, Inc.",LLC interest,,N/A,,,N/A,,N/A,,1,,,87,,,-,,,100,,,,
710,"Connexin Software, Inc.",LLC interest,,N/A,,,N/A,,N/A,,69,,,69,,,-,,,91,,,,
711,"Digital Guardian, Inc.",Warrant,,N/A,,,N/A,,N/A,,57,,,10,,,-,,,10,,,,
712,DISA Holdings Acquisition Subsidiary Corp.,Common stock,,N/A,,,N/A,,N/A,,-,,,154,,,-,,,248,,,,
713,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
714,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,,,,,,,,
715,"GS Acquisitionco, Inc.",LP interest,,N/A,,,N/A,,N/A,,1,,,,98,,,-,,,,127,,
716,"HealthcareSource HR, Inc.",LLC interest,,N/A,,,N/A,,N/A,,-,,,348,,,0.1,,,413,,,,
717,"Host Analytics, Inc.",Warrant,,N/A,,,N/A,,N/A,,368,,,134,,,0.1,,,384,,,,
718,"Jobvite, Inc.",Warrant,,N/A,,,N/A,,N/A,,72,,,47,,,-,,,47,,,,
719,"Kareo, Inc.",Warrant,,N/A,,,N/A,,N/A,,23,,,160,,,-,,,2,,,,
720,"Kareo, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,1,,,4,,,-,,,5,,,,
721,Maverick Bidco Inc.,LLC units,,N/A,,,N/A,,N/A,,1,,,369,,,0.1,,,437,,,,
722,MMan Acquisition Co.,LP interest,,N/A,,,N/A,,N/A,,263,,,263,,,-,,,206,,,,
723,Net Health Acquisition Corp.,LP interest,,N/A,,,N/A,,N/A,,-,,,346,,,0.1,,,388,,,,
724,"Nexus Brands Group, Inc.",LP interest,,N/A,,,N/A,,N/A,,-,,,136,,,-,,,155,,,,
725,"Personify, Inc.",LLC units,,N/A,,,N/A,,N/A,,297,,,297,,,-,,,297,,,,
726,"Project Alpha Intermediate Holding, Inc.",Common stock,,N/A,,,N/A,,N/A,,-,,,417,,,0.1,,,500,,,,
727,"Project Alpha Intermediate Holding, Inc.",Common stock,,N/A,,,N/A,,N/A,,103,,,4,,,-,,,51,,,,
728,"Property Brands, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,28,,,284,,,-,,,307,,,,
729,"Valant Medical Solutions, Inc.",Warrant,,N/A,,,N/A,,N/A,,5,,,68,,,-,,,51,,,,
730,"Vendavo, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,1017,,,1017,,,0.1,,,1332,,,,
731,Verisys Corporation,LLC interest,,N/A,,,N/A,,N/A,,261,,,261,,,-,,,239,,,,
732,"Vitalyst, LLC",Preferred stock,,N/A,,,N/A,,N/A,,-,,,61,,,-,,,88,,,,
733,"Vitalyst, LLC",Common stock,,N/A,,,N/A,,N/A,,1,,,7,,,-,,,-,,,,
734,"Workforce Software, LLC",LLC units,,N/A,,,N/A,,N/A,,323,,,323,,,0.1,,,371,,,,
735,"Xmatters, Inc. and Alarmpoint, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,242,,,221,,,-,,,211,,,,
736,"Xmatters, Inc. and Alarmpoint, Inc.",Warrant,,N/A,,,N/A,,N/A,,43,,,34,,,-,,,16,,,,
737,"Xmatters, Inc. and Alarmpoint, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,10,,,10,,,-,,,12,,,,
738,,,,,,,,,,,,,6917,,,0.8,,,7970,,,,,
739,Ecological,,,,,,,,,,,,,,,,,,,,,,,
740,"Pace Analytical Services, LLC",Common stock,,N/A,,,N/A,,N/A,,3,,,304,,,-,,,280,,,,
741,Electronics,,,,,,,,,,,,,,,,,,,,,,,
742,Diligent Corporation  (13),Preferred stock,,N/A,,,N/A,,N/A,,56,,,1,,,-,,,206,,,,
743,Project Silverback Holdings Corp.,Preferred stock,,N/A,,,N/A,,N/A,,3,,,6,,,-,,,-,,,,
744,"SEI, Inc.",LLC units,,N/A,,,N/A,,N/A,,340,,,265,,,0.1,,,643,,,,
745,"Sloan Company, Inc., The",LLC units,,N/A,,,N/A,,N/A,,-,,,152,,,-,,,-,,,,
746,"Sloan Company, Inc., The",LLC units,,N/A,,,N/A,,N/A,,2,,,14,,,-,,,-,,,,
747,,,,,,,,,,,,,438,,,0.1,,,849,,,,,
748,Grocery,,,,,,,,,,,,,,,,,,,,,,,
749,"MyWebGrocer, Inc.",LLC units,,N/A,,,N/A,,N/A,,1418,,,1446,,,-,,,-,,,,
750,"MyWebGrocer, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,71,,,165,,,-,,,41,,,,
751,,,,,,,,,,,,,1611,,,-,,,41,,,,,
752,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,
753,"Active Day, Inc.",LLC interest,,N/A,,,N/A,,N/A,,1,,,614,,,0.1,,,446,,,,
754,"Acuity Eyecare Holdings, LLC",LLC interest,,N/A,,,N/A,,N/A,,198,,,198,,,-,,,196,,,,
755,"ADCS Clinics Intermediate Holdings, LLC",Preferred stock,,N/A,,,N/A,,N/A,,1,,,579,,,0.1,,,363,,,,
756,"ADCS Clinics Intermediate Holdings, LLC",Common stock,,N/A,,,N/A,,N/A,,-,,,6,,,-,,,-,,,,
757,"Advanced Pain Management Holdings, Inc.  (7)",Preferred stock,,N/A,,,N/A,,N/A,,8,,,829,,,-,,,-,,,,
758,"Advanced Pain Management Holdings, Inc.  (7)",Common stock,,N/A,,,N/A,,N/A,,67,,,67,,,-,,,-,,,,
759,"Advanced Pain Management Holdings, Inc.  (7)",Preferred stock,,N/A,,,N/A,,N/A,,1,,,64,,,-,,,-,,,,
760,"BIORECLAMATIONIVT, LLC",LLC units,,N/A,,,N/A,,N/A,,-,,,407,,,0.1,,,666,,,,
761,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
762,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,,,,,,,,,,,,,
763,"DCA Investment Holding, LLC",LLC units,,N/A,,,N/A,,N/A,,8637,,,,864,,,0.1,,,,1073,,
764,"DCA Investment Holding, LLC",LLC units,,N/A,,,N/A,,N/A,,87,,,9,,,-,,,-,,,,
765,Deca Dental Management LLC,LLC units,,N/A,,,N/A,,N/A,,357,,,357,,,0.1,,,428,,,,
766,Dental Holdings Corporation,LLC units,,N/A,,,N/A,,N/A,,883,,,831,,,0.1,,,733,,,,
767,Elite Dental Partners LLC,Common stock,,N/A,,,N/A,,N/A,,-,,,360,,,0.1,,,360,,,,
768,"Encore GC Acquisition, LLC",LLC units,,N/A,,,N/A,,N/A,,18,,,182,,,-,,,239,,,,
769,"Encore GC Acquisition, LLC",LLC units,,N/A,,,N/A,,N/A,,18,,,-,,,-,,,19,,,,
770,"ERG Buyer, LLC",LLC units,,N/A,,,N/A,,N/A,,-,,,349,,,0.1,,,349,,,,
771,"ERG Buyer, LLC",LLC units,,N/A,,,N/A,,N/A,,4,,,4,,,-,,,4,,,,
772,Eyecare Services Partners Holdings LLC,LLC units,,N/A,,,N/A,,N/A,,-,,,133,,,-,,,147,,,,
773,Eyecare Services Partners Holdings LLC,LLC units,,N/A,,,N/A,,N/A,,-,,,1,,,-,,,5,,,,
774,"G & H Wire Company, Inc.",LLC interest,,N/A,,,N/A,,N/A,,148,,,148,,,-,,,122,,,,
775,"IntegraMed America, Inc.",LLC interest,,N/A,,,N/A,,N/A,,-,,,417,,,-,,,172,,,,
776,"Katena Holdings, Inc.",LLC units,,N/A,,,N/A,,N/A,,-,,,387,,,-,,,293,,,,
777,"Lombart Brothers, Inc.",Common stock,,N/A,,,N/A,,N/A,,1,,,157,,,-,,,177,,,,
778,"MD Now Holdings, Inc.",LLC units,,N/A,,,N/A,,N/A,,7,,,68,,,-,,,68,,,,
779,"MWD Management, LLC & MWD Services, Inc.",LLC interest,,N/A,,,N/A,,N/A,,182,,,182,,,-,,,122,,,,
780,"Oliver Street Dermatology Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,234,,,234,,,-,,,346,,,,
781,"Pentec Acquisition Sub, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,1,,,116,,,-,,,178,,,,
782,"Pinnacle Treatment Centers, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,231,,,-,,,268,,,,
783,"Pinnacle Treatment Centers, Inc.",Common stock,,N/A,,,N/A,,N/A,,2,,,2,,,-,,,6,,,,
784,"Radiology Partners, Inc.",LLC units,,N/A,,,N/A,,N/A,,43,,,85,,,-,,,191,,,,
785,"Radiology Partners, Inc.",LLC units,,N/A,,,N/A,,N/A,,11,,,76,,,-,,,48,,,,
786,RXH Buyer Corporation,LP interest,,N/A,,,N/A,,N/A,,7,,,683,,,-,,,290,,,,
787,"Sage Dental Management, LLC",LLC units,,N/A,,,N/A,,N/A,,-,,,249,,,-,,,28,,,,
788,"Sage Dental Management, LLC",LLC units,,N/A,,,N/A,,N/A,,3,,,3,,,-,,,-,,,,
789,"SLMP, LLC",LLC interest,,N/A,,,N/A,,N/A,,289,,,289,,,-,,,308,,,,
790,"Spear Education, LLC",LLC units,,N/A,,,N/A,,N/A,,-,,,62,,,-,,,75,,,,
791,"Spear Education, LLC",LLC units,,N/A,,,N/A,,N/A,,1,,,1,,,-,,,28,,,,
792,SSH Corporation,Common stock,,N/A,,,N/A,,N/A,,-,,,40,,,-,,,187,,,,
793,"Summit Behavioral Healthcare, LLC",LLC interest,,N/A,,,N/A,,N/A,,1,,,68,,,-,,,73,,,,
794,"Summit Behavioral Healthcare, LLC",LLC interest,,N/A,,,N/A,,N/A,,1,,,-,,,-,,,3,,,,
795,"Surgical Information Systems, LLC",Common stock,,N/A,,,N/A,,N/A,,4,,,414,,,0.1,,,535,,,,
796,"U.S. Renal Care, Inc.",LP interest,,N/A,,,N/A,,N/A,,1,,,2665,,,0.2,,,1796,,,,
797,"WHCG Management, LLC",LLC interest,,N/A,,,N/A,,N/A,,-,,,246,,,-,,,135,,,,
798,,,,,,,,,,,,,12677,,,1.1,,,10477,,,,,
799,Insurance,,,,,,,,,,,,,,,,,,,,,,,
800,"Captive Resources Midco, LLC",LLC units,,N/A,,,N/A,,N/A,,1,,,-,,,0.1,,,393,,,,
801,"Internet Pipeline, Inc.",Preferred stock,,N/A,,,N/A,,N/A,,-,,,72,,,-,,,100,,,,
802,"Internet Pipeline, Inc.",Common stock,,N/A,,,N/A,,N/A,,44,,,1,,,-,,,174,,,,
803,,,,,,,,,,,,,73,,,0.1,,,667,,,,,
804,"Leisure, Amusement, Motion Pictures, Entertainment",,,,,,,,,,,,,,,,,,,,,,,
805,"LMP TR Holdings, LLC",LLC units,,N/A,,,N/A,,N/A,,712,,,712,,,0.1,,,1151,,,,
806,"PADI Holdco, Inc.",LLC units,,N/A,,,N/A,,N/A,,-,,,414,,,-,,,454,,,,
807,"Titan Fitness, LLC",LLC units,,N/A,,,N/A,,N/A,,7,,,712,,,0.2,,,1403,,,,
808,WBZ Investment LLC,LLC interest,,N/A,,,N/A,,N/A,,31,,,49,,,-,,,49,,,,
809,WBZ Investment LLC,LLC interest,,N/A,,,N/A,,N/A,,21,,,33,,,-,,,33,,,,
810,WBZ Investment LLC,LLC interest,,N/A,,,N/A,,N/A,,18,,,27,,,-,,,27,,,,
811,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
812,"Leisure, Amusement, Motion Pictures, Entertainment - (continued)",,,,,,,,,,,,,,,,,,,,,,,
813,WBZ Investment LLC,LLC interest,,N/A,,,N/A,,N/A,,15,,,,24,,,-,,,,24,,
814,WBZ Investment LLC,LLC interest,,N/A,,,N/A,,N/A,,7,,,10,,,-,,,10,,,,
815,WBZ Investment LLC,LLC interest,,N/A,,,N/A,,N/A,,1,,,1,,,-,,,1,,,,
816,,,,,,,,,,,,,1982,,,0.3,,,3152,,,,,
817,Personal and Non Durable Consumer Products (Mfg. Only),,,,,,,,,,,,,,,,,,,,,,,
818,"Georgica Pine Clothiers, LLC",LLC units,,N/A,,,N/A,,N/A,,11,,,106,,,-,,,176,,,,
819,"Massage Envy, LLC",LLC interest,,N/A,,,N/A,,N/A,,749,,,210,,,0.2,,,1490,,,,
820,Team Technologies Acquisition Company,Common stock,,N/A,,,N/A,,N/A,,-,,,114,,,-,,,292,,,,
821,,,,,,,,,,,,,430,,,0.2,,,1958,,,,,
822,"Personal, Food and Miscellaneous Services",,,,,,,,,,,,,,,,,,,,,,,
823,"Captain D's, LLC",LLC interest,,N/A,,,N/A,,N/A,,70,,,70,,,-,,,64,,,,
824,"Community Veterinary Partners, LLC",Common stock,,N/A,,,N/A,,N/A,,2,,,244,,,-,,,310,,,,
825,"PPV Intermediate Holdings II, LLC",LLC interest,,N/A,,,N/A,,N/A,,13,,,13,,,-,,,13,,,,
826,R.G. Barry Corporation,Preferred stock,,N/A,,,N/A,,N/A,,-,,,161,,,-,,,176,,,,
827,"Ruby Slipper Cafe LLC, The",LLC units,,N/A,,,N/A,,N/A,,12,,,123,,,-,,,151,,,,
828,"Southern Veterinary Partners, LLC",LLC units,,N/A,,,N/A,,N/A,,-,,,216,,,0.1,,,333,,,,
829,"Southern Veterinary Partners, LLC",LLC units,,N/A,,,N/A,,N/A,,64,,,2,,,-,,,24,,,,
830,"Veterinary Specialists of North America, LLC",LLC units,,N/A,,,N/A,,N/A,,-,,,106,,,-,,,185,,,,
831,"Wetzel's Pretzels, LLC",Common stock,,N/A,,,N/A,,N/A,,-,,,160,,,-,,,221,,,,
832,,,,,,,,,,,,,1095,,,0.1,,,1477,,,,,
833,Printing and Publishing,,,,,,,,,,,,,,,,,,,,,,,
834,"Brandmuscle, Inc.",LLC interest,,N/A,,,N/A,,N/A,,-,,,240,,,-,,,166,,,,
835,Retail Stores,,,,,,,,,,,,,,,,,,,,,,,
836,Batteries Plus Holding Corporation,LP interest,,N/A,,,N/A,,N/A,,5,,,529,,,0.1,,,816,,,,
837,"Cycle Gear, Inc.",LLC units,,N/A,,,N/A,,N/A,,19,,,248,,,-,,,463,,,,
838,"DTLR, Inc.",LLC interest,,N/A,,,N/A,,N/A,,4,,,411,,,0.1,,,734,,,,
839,"Elite Sportswear, L.P.",LLC interest,,N/A,,,N/A,,N/A,,-,,,165,,,-,,,36,,,,
840,"Feeders Supply Company, LLC",Preferred stock,,N/A,,,N/A,,N/A,,2,,,192,,,-,,,241,,,,
841,"Feeders Supply Company, LLC",Common stock,,N/A,,,N/A,,N/A,,-,,,-,,,-,,,52,,,,
842,"Marshall Retail Group LLC, The",LLC units,,N/A,,,N/A,,N/A,,15,,,154,,,-,,,95,,,,
843,"Paper Source, Inc.",Common stock,,N/A,,,N/A,,N/A,,8,,,1387,,,0.1,,,606,,,,
844,Pet Holdings ULC  (8)(10),LP interest,,N/A,,,N/A,,N/A,,455,,,386,,,0.1,,,537,,,,
845,,,,,,,,,,,,,3472,,,0.4,,,3580,,,,,
846,Total non-controlled/non-affiliate company equity investments,,,,,,,,,,37762,,,4.2,,,,40156,,,,,,
847,Total non-controlled/non-affiliate company investments,,,,,,,,1679746,,,,1697892,,,176.0,,,,1704473,,,,
848,Non-controlled affiliate company investments  (14),,,,,,,,,,,,,,,,,,,,,,,
849,Debt investments,,,,,,,,,,,,,,,,,,,,,,,
850,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,
851,"Switchfly, LLC  (8)",One stop,,P + 2.00,(c)(f),,7.25,,04/2020,,,2295,,,,2258,,,0.2,,,,2066,
852,"Switchfly, LLC  (8)",One stop,,P + 2.00,(f),,7.25,,06/2018,,192,,,192,,,-,,,173,,,,
853,"Switchfly, LLC  (8)",One stop,,P + 2.00,(f),,7.25,,04/2020,,17,,,17,,,-,,,15,,,,
854,,,,,,,,,,,2504,,,2467,,,0.2,,,2254,,,,
855,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
856,"Mining, Steel, Iron and Non-Precious Metals",,,,,,,,,,,,,,,,,,,,,,,
857,"Benetech, Inc.*  (8)",One stop,,L + 10.00,(a),,10.24 cash/2.00 PIK,,05/2019,,,4257,,,,4255,,,0.4,,,,4257,
858,"Benetech, Inc.  (8)",One stop,,P + 8.75,(a)(f),,11.77 cash/2.00 PIK,,05/2019,,223,,,223,,,-,,,223,,,,
859,,,,,,,,,,,4480,,,4478,,,0.4,,,4480,,,,
860,Total non-controlled affiliate company debt investments,,,,,,,6984,,,6945,,,0.6,,,6734,,,,,,,
861,Equity Investments  (11)(12),,,,,,,,,,,,,,,,,,,,,,,
862,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,
863,Switchfly LLC  (8),LLC units,,N/A,,,N/A,,N/A,,408,,,,408,,,0.1,,,,534,,
864,,,,,,,,,,,,,408,,,0.1,,,534,,,,,
865,"Mining, Steel, Iron and Non-Precious Metals",,,,,,,,,,,,,,,,,,,,,,,
866,"Benetech, Inc.  (8)",LLC interest,,N/A,,,N/A,,N/A,,56,,,,-,,,-,,,,16,,
867,"Benetech, Inc.  (8)",LLC interest,,N/A,,,N/A,,N/A,,56,,,-,,,-,,,-,,,,
868,,,,,,,,,,,,,-,,,-,,,16,,,,,
869,Total non-controlled affiliate company equity investments,,,,,,,,,,408,,,0.1,,,,550,,,,,,
870,Total non-controlled affiliate company investments,,,,,,,,6984,,,,7353,,,0.7,,,,7284,,,,
871,Controlled affiliate company investments  (15),,,,,,,,,,,,,,,,,,,,,,,
872,Equity investments,,,,,,,,,,,,,,,,,,,,,,,
873,Investment Funds and Vehicles,,,,,,,,,,,,,,,,,,,,,,,
874,Senior Loan Fund LLC  (8)(16),LLC interest,,N/A,,,N/A,,N/A,,75407,,,,75407,,,7.3,,,,71084,,
875,Total controlled affiliate company equity investments,,,,,,,,,,75407,,,7.3,,,,71084,,,,,,
876,Total investments,,,,,,,,1686730,,,,1780652,,,184.0,,,,1782841,,,,
877,"Cash and cash equivalents, foreign currencies and restricted cash and cash equivalents",,,,,,,,,,,,,,,,,,,,,,,
878,"Cash, foreign currencies and restricted cash",,,,,,,,,35173,,,3.6,,,,35173,,,,,,,
879,BlackRock Liquidity Funds T-Fund Institutional Shares (CUSIP 09248U718),2.00  (17),,,,,,,10532,,,1.1,,,10532,,,,,,,,,
880,"Total cash and cash equivalents, foreign currencies and restricted cash and cash equivalents",,,,,,,45705,,,4.7,,,,45705,,,,,,,,,
881,"Total investments and cash and cash equivalents, foreign currencies and restricted cash and cash equivalents",,,,,,,1826357,,,188.7,,,,1828546,,,,,,,,,
882,(2),"For portfolio companies with multiple interest rate contracts, the interest rate shown is a weighted average current interest rate in effect as of  September 30, 2018  .",,,,,,,,,,,,,,,,,,,,,,
