598,,Centrify Corporation+,One stop,,L + 6.00%,(c),,7.00%,,03/2028,,"16,791",,,"16,551",,,0.7,,"16,791",,,,,,,
599,,Centrify Corporation+,One stop,,L + 6.00%,(c),,7.00%,,03/2028,,"9,707",,,"9,566",,,0.4,,"9,707",,,,,,,
600,,Centrify Corporation+(5),One stop,,L + 6.00%,,,N/A(6),,03/2027,,0,,,(3),,,0,,0,,,,,,,
601,,"Episerver, Inc.+",One stop,,L + 5.50%,(c),,6.50%,,04/2026,,"21,767",,,"21,447",,,0.8,,"21,441",,,,,,,
602,,"Episerver, Inc.+~(8)(9)",One stop,,L + 5.75%,(g),,5.75%,,04/2026,,"20,384",,,"20,630",,,0.8,,"21,171",,,,,,,
603,,"Episerver, Inc.#^",One stop,,L + 5.50%,(c),,6.50%,,04/2026,,"12,092",,,"12,217",,,0.5,,"11,911",,,,,,,
604,,"Episerver, Inc.+(5)",One stop,,L + 5.50%,,,N/A(6),,04/2026,,0,,,(5),,,0,,(8),,,,,,,
605,,"Gamma Technologies, LLC*#+^",One stop,,L + 4.75%,(c),,5.75%,,06/2024,,"46,983",,,"47,238",,,1.8,,"46,983",,,,,,,
606,,"Gamma Technologies, LLC+",One stop,,L + 4.75%,,,N/A(6),,06/2024,,0,,,0,,,0,,0,,,,,,,
607,,"Infinisource, Inc.~^",One stop,,L + 4.50%,(c),,5.50%,,10/2026,,"28,960",,,"28,592",,,1.1,,"28,960",,,,,,,
608,,"Infinisource, Inc.+(8)",One stop,,L + 4.50%,(c),,5.50%,,10/2026,,282,,,280,,,0.1,,282,,,,,,,
609,,"Infinisource, Inc.+",One stop,,L + 4.50%,(c),,5.50%,,10/2026,,110,,,109,,,0,,110,,,,,,,
610,,"Infinisource, Inc.+(5)",One stop,,L + 4.50%,,,N/A(6),,10/2026,,0,,,(1),,,0,,0,,,,,,,
611,,"PCS Intermediate II Holdings, LLC~(8)",One stop,,L + 5.25%,(c),,6.25%,,01/2026,,"14,383",,,"14,274",,,0.6,,"14,383",,,,,,,
612,,"PCS Intermediate II Holdings, LLC+",One stop,,L + 5.25%,(c),,6.25%,,01/2026,,"2,076",,,"2,056",,,0.1,,"2,076",,,,,,,
613,,"PCS Intermediate II Holdings, LLC+(5)",One stop,,L + 5.25%,,,N/A(6),,01/2026,,0,,,(1),,,0,,0,,,,,,,
614,,"Recordxtechnologies, LLC#",One stop,,L + 5.50%,(c),,6.50%,,12/2025,,738,,,731,,,0.1,,723,,,,,,,
615,,"Recordxtechnologies, LLC+",One stop,,L + 5.50%,(c),,6.50%,,12/2025,,115,,,114,,,0.1,,113,,,,,,,
616,,"Recordxtechnologies, LLC+",One stop,,L + 5.50%,(c),,6.50%,,12/2025,,42,,,41,,,0.1,,40,,,,,,,
617,,"Red Dawn SEI Buyer, Inc.+~(8)(9)",Senior loan,,L + 4.50%,(i),,5.50%,,11/2025,,"23,947",,,"23,727",,,1.0,,"24,302",,,,,,,
618,,"Red Dawn SEI Buyer, Inc.^",Senior loan,,L + 4.25%,(c),,5.25%,,11/2025,,746,,,739,,,0.1,,743,,,,,,,
619,,"Red Dawn SEI Buyer, Inc.+",Senior loan,,L + 4.25%,(c),,5.25%,,11/2025,,133,,,132,,,0,,132,,,,,,,
620,,"Red Dawn SEI Buyer, Inc.+",Senior loan,,L + 4.25%,(c),,5.25%,,11/2025,,13,,,12,,,0,,13,,,,,,,
621,,"Red Dawn SEI Buyer, Inc.+(5)",Senior loan,,L + 4.50%,,,N/A(6),,11/2025,,0,,,(51),,,0,,31,,,,,,,
622,,Saturn Borrower Inc.+~,One stop,,L + 6.50%,(c),,7.50%,,09/2026,,"20,232",,,"19,693",,,0.8,,"20,232",,,,,,,
623,,Saturn Borrower Inc.+(5),One stop,,L + 6.50%,,,N/A(6),,09/2026,,0,,,(3),,,0,,0,,,,,,,
624,,,,,,,,,,,,"256,153",,,"255,011",,,10.6,,"256,896",,,,,,,
626,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
627,,Leisure Products,,,,,,,,,,,,,,,,,,,,,,,,,
628,,WBZ Investment LLC#+,One stop,,L + 7.50%,(c),,6.50% cash/2.00% PIK,,09/2024,,,"8,597",,,,"8,644",,,0.3,%,,"8,338",,,,
629,,WBZ Investment LLC+,One stop,,L + 7.50%,(c),,6.50% cash/2.00% PIK,,09/2024,,"1,231",,,"1,225",,,0,,"1,194",,,,,,,
630,,WBZ Investment LLC+,One stop,,L + 7.50%,(c),,6.50% cash/2.00% PIK,,09/2024,,856,,,879,,,0,,830,,,,,,,
631,,WBZ Investment LLC+,One stop,,L + 7.50%,(c),,6.50% cash/2.00% PIK,,09/2024,,437,,,450,,,0,,424,,,,,,,
632,,WBZ Investment LLC+,One stop,,L + 7.50%,(c),,6.50% cash/2.00% PIK,,09/2024,,82,,,81,,,0,,78,,,,,,,
633,,,,,,,,,,,,"11,203",,,"11,279",,,0.3,,"10,864",,,,,,,
634,,Life Sciences Tools & Services,,,,,,,,,,,,,,,,,,,,,,,,,
635,,"Pace Analytical Services, LLC*#+",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,"29,408",,,"29,436",,,1.2,,"29,408",,,,,,,
636,,"Pace Analytical Services, LLC+",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,"6,993",,,"6,912",,,0.3,,"6,993",,,,,,,
637,,"Pace Analytical Services, LLC+",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,"3,505",,,"3,414",,,0.1,,"3,505",,,,,,,
638,,"Pace Analytical Services, LLC#^",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,"2,735",,,"2,737",,,0.1,,"2,735",,,,,,,
639,,"Pace Analytical Services, LLC*#",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,"1,638",,,"1,657",,,0.1,,"1,638",,,,,,,
640,,"Pace Analytical Services, LLC*#",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,"1,507",,,"1,511",,,0.1,,"1,507",,,,,,,
641,,"Pace Analytical Services, LLC*#",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,"1,254",,,"1,253",,,0,,"1,254",,,,,,,
642,,"Pace Analytical Services, LLC#^",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,"1,213",,,"1,227",,,0,,"1,213",,,,,,,
643,,"Pace Analytical Services, LLC+",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,985,,,970,,,0,,985,,,,,,,
644,,"Pace Analytical Services, LLC*#",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,672,,,672,,,0,,672,,,,,,,
645,,"Pace Analytical Services, LLC*#",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,556,,,561,,,0,,556,,,,,,,
646,,"Pace Analytical Services, LLC*",One stop,,L + 5.50%,(c),,6.50%,,04/2024,,186,,,188,,,0,,186,,,,,,,
647,,"Pace Analytical Services, LLC+(5)",One stop,,L + 5.50%,,,N/A(6),,04/2024,,0,,,(2),,,0,,0,,,,,,,
648,,,,,,,,,,,,"50,652",,,"50,536",,,1.9,,"50,652",,,,,,,
649,,Machinery,,,,,,,,,,,,,,,,,,,,,,,,,
650,,"Bad Boy Mowers Acquisition, LLC+(8)",Senior loan,,L + 4.50%,(c),,5.25%,,03/2028,,"2,034",,,"2,029",,,0.1,,"2,034",,,,,,,
651,,"Blackbird Purchaser, Inc. *+~^",Senior loan,,L + 4.50%,(c)(f),,4.65%,,04/2026,,"15,879",,,"16,115",,,0.6,,"15,879",,,,,,,
652,,"Blackbird Purchaser, Inc. +",Senior loan,,L + 4.50%,(c),,4.65%,,04/2024,,86,,,86,,,0,,86,,,,,,,
653,,"Chase Industries, Inc.+~",Senior loan,,L + 7.00%,(d),,6.50% cash/1.50% PIK,,05/2025,,"12,059",,,"12,160",,,0.4,,"10,435",,,,,,,
654,,"Chase Industries, Inc.+",Senior loan,,L + 7.00%,(d),,6.50% cash/1.50% PIK,,05/2025,,985,,,"1,014",,,0,,850,,,,,,,
655,,"Chase Industries, Inc.+",Senior loan,,L + 7.00%,(a)(d),,6.50% cash/1.50% PIK,,05/2023,,292,,,294,,,0,,264,,,,,,,
656,,"Time Manufacturing Acquisition, LLC~",Senior loan,,L + 5.00%,(b)(c),,6.00%,,02/2023,,705,,,703,,,0,,705,,,,,,,
657,,,,,,,,,,,,"32,040",,,"32,401",,,1.1,,"30,253",,,,,,,
659,,Marine,,,,,,,,,,,,,,,,,,,,,,,,,
660,,Veson Nautical LLC#^,One stop,,L + 5.00%,(c),,6.00%,,11/2025,,"9,668",,,"9,584",,,0.4,,"9,571",,,,,,,
661,,Veson Nautical LLC+,One stop,,L + 5.75%,(c),,6.75%,,11/2025,,"7,227",,,"7,155",,,0.3,,"7,155",,,,,,,
662,,Veson Nautical LLC+(5),One stop,,L + 5.00%,,,N/A(6),,11/2025,,0,,,(1),,,0,,(1),,,,,,,
663,,,,,,,,,,,,"16,895",,,"16,738",,,0.7,,"16,725",,,,,,,
664,,Media,,,,,,,,,,,,,,,,,,,,,,,,,
665,,"Triple Lift, Inc.+",One stop,,L + 5.75%,(c),,6.50%,,05/2028,,"5,411",,,"5,305",,,0.2,,"5,303",,,,,,,
666,,"Triple Lift, Inc.+(5)",One stop,,L + 5.75%,,,N/A(6),,05/2028,,0,,,(1),,,0,,(1),,,,,,,
667,,,,,,,,,,,,"5,411",,,"5,304",,,0.2,,"5,302",,,,,,,
670,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
671,,Multiline Retail,,,,,,,,,,,,,,,,,,,,,,,,,
672,,Mills Fleet Farm Group LLC*#+~^,One stop,,L + 6.00%,(c),,7.00%,,10/2024,,,"46,470",,,,"46,374",,,1.8,%,,"46,470",,,,
674,,"Oil, Gas & Consumable Fuels",,,,,,,,,,,,,,,,,,,,,,,,,
675,,"3ES Innovation, Inc.*+~(8)(12)",One stop,,L + 6.75%,(c),,7.75%,,05/2025,,"20,682",,,"20,801",,,0.8,,"20,424",,,,,,,
676,,"3ES Innovation, Inc.+(5)(8)(12)",One stop,,L + 6.75%,,,N/A(6),,05/2025,,0,,,(1),,,0,,(2),,,,,,,
677,,"Drilling Info Holdings, Inc.*#+~^",Senior loan,,L + 4.25%,(a),,4.35%,,07/2025,,"37,549",,,"37,951",,,1.5,,"37,471",,,,,,,
678,,"Drilling Info Holdings, Inc.~",Senior loan,,L + 4.50%,(a),,4.60%,,07/2025,,"17,211",,,"16,849",,,0.7,,"17,333",,,,,,,
679,,"Drilling Info Holdings, Inc.+(5)",Senior loan,,L + 4.25%,,,N/A(6),,07/2023,,0,,,(1),,,0,,(4),,,,,,,
680,,"Drilling Info Holdings, Inc.+(5)",Senior loan,,L + 4.50%,,,N/A(6),,07/2023,,0,,,(2),,,0,,(1),,,,,,,
681,,"Project Power Buyer, LLC*#^",One stop,,L + 6.25%,(c),,7.25%,,05/2026,,"15,664",,,"15,791",,,0.6,,"15,664",,,,,,,
682,,"Project Power Buyer, LLC+(5)",One stop,,L + 6.25%,,,N/A(6),,05/2025,,0,,,(1),,,0,,0,,,,,,,
683,,,,,,,,,,,,"91,106",,,"91,387",,,3.6,,"90,885",,,,,,,
684,,Paper & Forest Products,,,,,,,,,,,,,,,,,,,,,,,,,
685,,"Messenger, LLC+~",One stop,,L + 6.00%,(c)(f),,7.00%,,08/2023,,"8,944",,,"8,998",,,0.4,,"8,944",,,,,,,
686,,"Messenger, LLC+",One stop,,L + 6.00%,,,N/A(6),,08/2023,,0,,,0,,,0,,0,,,,,,,
687,,,,,,,,,,,,"8,944",,,"8,998",,,0.4,,"8,944",,,,,,,
689,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
690,,Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,
691,,"IMPLUS Footwear, LLC+~",One stop,,L + 7.75%,(c),,8.75%,,04/2024,,,"30,743",,,,"31,066",,,1.1,%,,"28,284",,,,
692,,"IMPLUS Footwear, LLC+~",One stop,,L + 7.75%,(c),,8.75%,,04/2024,,"5,251",,,"5,305",,,0.2,,"4,831",,,,,,,
693,,"IMPLUS Footwear, LLC*+",One stop,,L + 7.75%,(c),,8.75%,,04/2024,,756,,,776,,,0,,696,,,,,,,
694,,,,,,,,,,,,"36,750",,,"37,147",,,1.3,,"33,811",,,,,,,
695,,Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,
696,,"ACP Ulysses Buyer, Inc.#^",Senior loan,,L + 5.00%,(a),,6.00%,,02/2026,,"13,111",,,"13,008",,,0.5,,"13,111",,,,,,,
697,,"Amalthea Parent, Inc.*#+(8)(12)",One stop,,L + 5.25%,(b),,6.25%,,03/2027,,"26,030",,,"25,781",,,1.0,,"26,030",,,,,,,
698,,"Amalthea Parent, Inc.+(5)(8)(12)",One stop,,L + 5.25%,,,N/A(6),,03/2027,,0,,,(3),,,0,,0,,,,,,,
699,,"Amalthea Parent, Inc.+(5)(8)(12)",One stop,,L + 5.25%,,,N/A(6),,03/2027,,0,,,(47),,,0,,0,,,,,,,
700,,"Apothecary Products, LLC+",Senior loan,,L + 4.50%,(a),,5.50%,,07/2023,,"2,891",,,"2,968",,,0.1,,"2,891",,,,,,,
701,,"Apothecary Products, LLC+",Senior loan,,L + 4.50%,(a),,5.50%,,07/2023,,78,,,78,,,0,,78,,,,,,,
702,,"BIOVT, LLC*#+^",One stop,,L + 5.75%,(a),,6.75%,,07/2022,,"35,168",,,"34,997",,,1.4,,"35,168",,,,,,,
703,,"BIOVT, LLC#^",One stop,,L + 5.75%,(a),,6.75%,,07/2022,,"1,978",,,"1,967",,,0.1,,"1,978",,,,,,,
704,,"BIOVT, LLC*",One stop,,L + 5.75%,(a),,6.75%,,07/2022,,"1,857",,,"1,847",,,0.1,,"1,857",,,,,,,
705,,"BIOVT, LLC+",One stop,,L + 5.75%,(a),,6.75%,,07/2022,,102,,,102,,,0,,102,,,,,,,
706,,,,,,,,,,,,"81,215",,,"80,698",,,3.2,,"81,215",,,,,,,
707,,Professional Services,,,,,,,,,,,,,,,,,,,,,,,,,
708,,"Brandmuscle, Inc.#",Senior loan,,L + 4.75%,(c),,5.75%,,12/2021,,"7,665",,,"7,672",,,0.3,,"7,664",,,,,,,
709,,"Brandmuscle, Inc.#",Senior loan,,L + 5.00%,(c),,6.00%,,12/2021,,"1,068",,,"1,073",,,0,,"1,069",,,,,,,
710,,"Brandmuscle, Inc.+",Senior loan,,L + 4.75%,,,N/A(6),,12/2021,,0,,,0,,,0,,0,,,,,,,
711,,DISA Holdings Acquisition Subsidiary Corp.+~,Senior loan,,L + 4.25%,(a),,5.25%,,06/2022,,"9,012",,,"9,065",,,0.3,,"8,832",,,,,,,
712,,DISA Holdings Acquisition Subsidiary Corp.+(5),Senior loan,,L + 4.25%,,,N/A(6),,06/2022,,0,,,0,,,0,,(29),,,,,,,
713,,Net Health Acquisition Corp.+,One stop,,L + 5.75%,(c),,6.75%,,12/2025,,"13,403",,,"13,278",,,0.5,,"13,403",,,,,,,
714,,Net Health Acquisition Corp.*#,One stop,,L + 5.75%,(c),,6.75%,,12/2025,,"8,488",,,"8,510",,,0.3,,"8,488",,,,,,,
715,,Net Health Acquisition Corp.~^,One stop,,L + 5.75%,(c),,6.75%,,12/2025,,"6,794",,,"6,839",,,0.3,,"6,794",,,,,,,
716,,Net Health Acquisition Corp.#,One stop,,L + 5.75%,(c),,6.75%,,12/2025,,"4,291",,,"4,236",,,0.2,,"4,291",,,,,,,
717,,Net Health Acquisition Corp.*#,One stop,,L + 5.75%,(c),,6.75%,,12/2025,,"1,186",,,"1,189",,,0,,"1,186",,,,,,,
718,,Net Health Acquisition Corp.+(5),One stop,,L + 5.75%,,,N/A(6),,12/2025,,0,,,(3),,,0,,0,,,,,,,
719,,"Nexus Brands Group, Inc.*#",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,"9,306",,,"9,377",,,0.4,,"9,213",,,,,,,
720,,"Nexus Brands Group, Inc.+~(8)(9)",One stop,,S + 6.00%,(n),,7.00%,,11/2023,,"7,090",,,"7,192",,,0.3,,"7,727",,,,,,,
721,,"Nexus Brands Group, Inc.#+",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,"1,971",,,"2,019",,,0.1,,"1,951",,,,,,,
722,,"Nexus Brands Group, Inc.#~",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,"1,426",,,"1,462",,,0.1,,"1,412",,,,,,,
723,,"Nexus Brands Group, Inc.+(8)(9)",One stop,,S + 6.00%,(n),,7.00%,,11/2023,,820,,,819,,,0,,842,,,,,,,
724,,"Nexus Brands Group, Inc.~",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,759,,,755,,,0,,752,,,,,,,
725,,"Nexus Brands Group, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,514,,,514,,,0,,509,,,,,,,
726,,"Nexus Brands Group, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,487,,,482,,,0,,482,,,,,,,
727,,"Nexus Brands Group, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,85,,,84,,,0,,84,,,,,,,
728,,"Nexus Brands Group, Inc.+",One stop,,L + 6.00%,(a)(c),,7.00%,,11/2023,,60,,,62,,,0,,58,,,,,,,
729,,"Nexus Brands Group, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,54,,,53,,,0,,53,,,,,,,
730,,"Nexus Brands Group, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,11/2023,,11,,,11,,,0,,11,,,,,,,
731,,"Nexus Brands Group, Inc.+(8)(9)",One stop,,L + 6.00%,,,N/A(6),,11/2023,,0,,,0,,,0,,0,,,,,,,
732,,"Nexus Brands Group, Inc.+(5)",One stop,,L + 6.00%,,,N/A(6),,11/2023,,0,,,(45),,,0,,(47),,,,,,,
733,,"PlanSource Holdings, Inc. +~",One stop,,L + 6.25%,(c),,7.25%,,04/2025,,"11,416",,,"11,522",,,0.4,,"11,416",,,,,,,
734,,"PlanSource Holdings, Inc. +(5)",One stop,,L + 6.25%,,,N/A(6),,04/2025,,0,,,(1),,,0,,0,,,,,,,
735,,"Teaching Company, The*#+",One stop,,L + 4.75%,(c),,5.75%,,07/2023,,"17,508",,,"17,637",,,0.7,,"17,508",,,,,,,
736,,"Teaching Company, The+",One stop,,L + 4.75%,,,N/A(6),,07/2023,,0,,,0,,,0,,0,,,,,,,
737,,,,,,,,,,,,"103,414",,,"103,802",,,3.9,,"103,669",,,,,,,
739,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
740,,Real Estate Management & Development,,,,,,,,,,,,,,,,,,,,,,,,,
741,,MRI Software LLC*+^,One stop,,L + 5.50%,(c),,6.50%,,02/2026,,,"14,490",,,,"14,380",,,0.6,%,,"14,490",,,,
742,,MRI Software LLC+,One stop,,L + 5.50%,(c),,6.50%,,02/2026,,"1,930",,,"1,888",,,0.1,,"1,930",,,,,,,
743,,MRI Software LLC+(5),One stop,,L + 5.50%,,,N/A(6),,02/2026,,0,,,(2),,,0,,0,,,,,,,
744,,MRI Software LLC+,One stop,,L + 5.50%,,,N/A(6),,02/2026,,0,,,0,,,0,,0,,,,,,,
745,,MRI Software LLC+(5),One stop,,L + 5.50%,,,N/A(6),,02/2026,,0,,,(1),,,0,,0,,,,,,,
746,,MRI Software LLC+(5),One stop,,L + 5.50%,,,N/A(6),,02/2026,,0,,,(6),,,0,,0,,,,,,,
747,,"Property Brands, Inc.#+",One stop,,L + 6.00%,(d),,7.00%,,01/2024,,"19,692",,,"19,841",,,0.8,,"19,692",,,,,,,
748,,"Property Brands, Inc.~^",One stop,,L + 6.00%,(c),,7.00%,,01/2024,,"13,564",,,"13,393",,,0.5,,"13,564",,,,,,,
749,,"Property Brands, Inc.*#",One stop,,L + 6.00%,(d),,7.00%,,01/2024,,"6,602",,,"6,686",,,0.3,,"6,602",,,,,,,
750,,"Property Brands, Inc.~^",One stop,,L + 6.00%,(d),,7.00%,,01/2024,,"3,218",,,"3,300",,,0.1,,"3,218",,,,,,,
751,,"Property Brands, Inc.#+",One stop,,L + 6.00%,(d),,7.00%,,01/2024,,"1,414",,,"1,448",,,0.1,,"1,414",,,,,,,
752,,"Property Brands, Inc.#+",One stop,,L + 6.00%,(d),,7.00%,,01/2024,,"1,196",,,"1,225",,,0,,"1,196",,,,,,,
753,,"Property Brands, Inc.#+",One stop,,L + 6.00%,(c),,7.00%,,01/2024,,"1,179",,,"1,209",,,0,,"1,179",,,,,,,
754,,"Property Brands, Inc.+",One stop,,L + 6.00%,(d),,7.00%,,01/2024,,944,,,938,,,0,,944,,,,,,,
755,,"Property Brands, Inc.+",One stop,,L + 6.00%,(d),,7.00%,,01/2024,,498,,,510,,,0,,498,,,,,,,
756,,"Property Brands, Inc.+",One stop,,L + 6.00%,(d),,7.00%,,01/2024,,200,,,199,,,0,,200,,,,,,,
757,,,,,,,,,,,,"64,927",,,"65,008",,,2.5,,,"64,927",,,,,,
758,,Road & Rail,,,,,,,,,,,,,,,,,,,,,,,,,
759,,Internet Truckstop Group LLC*#,One stop,,L + 5.75%,(c),,6.75%,,04/2025,,"22,415",,,"22,844",,,0.9,,"22,415",,,,,,,
760,,Internet Truckstop Group LLC+,One stop,,L + 5.75%,(c),,6.75%,,04/2025,,"9,814",,,"9,677",,,0.4,,"9,814",,,,,,,
761,,Internet Truckstop Group LLC+(5),One stop,,L + 5.75%,,,N/A(6),,04/2025,,0,,,(2),,,0,,0,,,,,,,
762,,,,,,,,,,,,"32,229",,,"32,519",,,1.3,,"32,229",,,,,,,
764,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
765,,Software,,,,,,,,,,,,,,,,,,,,,,,,,
766,,"Accela, Inc.*#+",One stop,,L + 4.94%,(a),,4.25% cash/1.69% PIK,,09/2023,,,"4,537",,,,"4,537",,,0.2,%,,"4,537",,,,
767,,"Accela, Inc.+",One stop,,L + 7.00%,,,N/A(6),,09/2023,,0,,,0,,,0,,0,,,,,,,
768,,"Appfire Technologies, LLC+",One stop,,L + 5.00%,(c),,6.00%,,03/2027,,"34,021",,,"33,545",,,1.3,,"33,894",,,,,,,
769,,"Appfire Technologies, LLC+(5)",One stop,,L + 5.00%,,,N/A(6),,03/2027,,0,,,(1),,,0,,(1),,,,,,,
770,,"Appfire Technologies, LLC+",One stop,,L + 5.00%,,,N/A(6),,03/2027,,0,,,0,,,0,,0,,,,,,,
771,,"Apptio, Inc. +~",One stop,,L + 7.25%,(d),,8.25%,,01/2025,,"57,010",,,"57,597",,,2.2,,"57,010",,,,,,,
772,,"Apptio, Inc. +",One stop,,L + 7.25%,(d),,8.25%,,01/2025,,76,,,75,,,0,,76,,,,,,,
773,,Aras Corporation+,One stop,,L + 7.00%,(c),,4.25% cash/3.75% PIK,,04/2027,,"10,084",,,"9,986",,,0.4,,"9,983",,,,,,,
774,,Aras Corporation+(5),One stop,,L + 6.50%,,,N/A(6),,04/2027,,0,,,(1),,,0,,(1),,,,,,,
775,,Aras Corporation+(5),One stop,,L + 6.50%,,,N/A(6),,04/2027,,0,,,(13),,,0,,(13),,,,,,,
776,,"Astute Holdings, Inc. +",One stop,,L + 6.50%,(c),,7.50%,,04/2025,,"10,744",,,"10,857",,,0.4,,"10,744",,,,,,,
777,,"Astute Holdings, Inc. +",One stop,,L + 6.50%,(c),,7.50%,,04/2025,,"2,746",,,"2,739",,,0.1,,"2,746",,,,,,,
778,,"Astute Holdings, Inc. +(5)",One stop,,L + 6.50%,,,N/A(6),,04/2025,,0,,,(1),,,0,,0,,,,,,,
779,,Axiom Merger Sub Inc.+~^,One stop,,L + 6.00%,(c)(d),,7.00%,,04/2026,,"5,802",,,"5,836",,,0.2,,"5,744",,,,,,,
780,,Axiom Merger Sub Inc.+~(8)(9),One stop,,E + 5.50%,(g),,5.50%,,04/2026,,"2,392",,,"2,407",,,0.1,,"2,514",,,,,,,
781,,Axiom Merger Sub Inc.+,One stop,,L + 6.00%,(c),,7.00%,,04/2026,,275,,,272,,,0,,272,,,,,,,
782,,Axiom Merger Sub Inc.+(5),One stop,,L + 6.00%,,,N/A(6),,04/2026,,0,,,(1),,,0,,0,,,,,,,
783,,Axiom Merger Sub Inc.+(5),One stop,,L + 6.00%,,,N/A(6),,04/2026,,0,,,(1),,,0,,(1),,,,,,,
784,,"Bearcat Buyer, Inc.+~",Senior loan,,L + 4.25%,(c),,5.25%,,07/2026,,"2,906",,,"2,926",,,0.1,,"2,906",,,,,,,
785,,"Bearcat Buyer, Inc.+",Senior loan,,L + 4.25%,(c),,5.25%,,07/2026,,518,,,518,,,0,,518,,,,,,,
786,,"Bearcat Buyer, Inc.~",Senior loan,,L + 4.25%,(c),,5.25%,,07/2026,,307,,,305,,,0,,307,,,,,,,
787,,"Bearcat Buyer, Inc.+",Senior loan,,L + 4.25%,,,N/A(6),,07/2024,,0,,,0,,,0,,0,,,,,,,
788,,"Beqom North America, Inc.+",One stop,,L + 7.50%,(d),,7.00% cash/1.50% PIK,,06/2026,,920,,,915,,,0,,962,,,,,,,
789,,"Beqom North America, Inc.+",One stop,,L + 6.00%,,,N/A(6),,06/2026,,0,,,0,,,0,,0,,,,,,,
790,,"Bullhorn, Inc.*#+~^",One stop,,L + 5.75%,(c),,6.75%,,09/2026,,"66,794",,,"65,800",,,2.6,,"66,935",,,,,,,
791,,"Bullhorn, Inc.+(8)(9)",One stop,,L + 6.00%,(i),,6.08%,,09/2026,,"11,918",,,"11,736",,,0.5,,"13,422",,,,,,,
792,,"Bullhorn, Inc.+(8)(9)",One stop,,E + 5.75%,(g),,5.75%,,09/2026,,"4,786",,,"4,712",,,0.2,,"5,143",,,,,,,
793,,"Bullhorn, Inc.+",One stop,,L + 5.75%,(c),,6.75%,,09/2026,,97,,,96,,,0,,97,,,,,,,
794,,"Bullhorn, Inc.+",One stop,,L + 5.75%,(c),,6.75%,,09/2026,,77,,,76,,,0,,77,,,,,,,
795,,"Bullhorn, Inc.+(5)",One stop,,L + 5.75%,,,N/A(6),,09/2026,,0,,,(4),,,0,,1,,,,,,,
796,,"Bullhorn, Inc.+(5)",One stop,,L + 5.75%,,,N/A(6),,09/2026,,0,,,(3),,,0,,0,,,,,,,
797,,"Burning Glass Intermediate Holdings Company, Inc.+",One stop,,L + 5.00%,(a),,6.00%,,06/2028,,"9,918",,,"9,722",,,0.4,,"9,819",,,,,,,
798,,"Burning Glass Intermediate Holdings Company, Inc.+(5)",One stop,,L + 5.00%,,,N/A(6),,06/2026,,0,,,(2),,,0,,(1),,,,,,,
799,,"Calabrio, Inc. +",One stop,,L + 7.00%,(c),,8.00%,,04/2027,,"53,683",,,"52,905",,,2.1,,"52,877",,,,,,,
800,,"Calabrio, Inc. +(5)",One stop,,L + 7.00%,,,N/A(6),,04/2027,,0,,,(4),,,0,,(4),,,,,,,
801,,"Clearwater Analytics, LLC+",One stop,,L + 6.25%,(c),,7.25%,,10/2025,,"17,310",,,"17,161",,,0.7,,"17,310",,,,,,,
802,,"Clearwater Analytics, LLC*#+",One stop,,L + 6.25%,(c),,7.25%,,10/2025,,"14,242",,,"14,198",,,0.6,,"14,242",,,,,,,
